timestamp,open,high,low,close
2020-03-04,7.8887,7.8887,7.8216,7.8454
2020-03-03,7.7875,7.8887,7.7875,7.8887
2020-03-02,7.8288,7.8288,7.7761,7.7875
2020-02-28,7.8619,7.9239,7.8102,7.8288
2020-02-27,7.8629,7.9239,7.8154,7.8619
2020-02-26,7.8894,7.9101,7.8255,7.8492
2020-02-25,7.8910,7.9178,7.8910,7.8910
2020-02-24,7.9054,7.9436,7.8910,7.8910
2020-02-21,7.9459,7.9727,7.9077,7.9459
2020-02-20,7.9317,7.9451,7.9183,7.9451
2020-02-19,7.9356,7.9356,7.9057,7.9160
2020-02-18,7.9150,7.9356,7.8954,7.9057
2020-02-17,7.8946,7.9462,7.8946,7.8946
2020-02-14,7.9469,7.9469,7.9046,7.9469
2020-02-13,7.9567,7.9567,7.9248,7.9485
2020-02-12,7.9309,7.9567,7.9299,7.9330
2020-02-11,7.9121,7.9544,7.9069,7.9338
2020-02-10,7.9142,7.9441,7.9121,7.9131
2020-02-07,7.9149,7.9149,7.8582,7.9149
2020-02-06,7.9131,7.9142,7.8904,7.9142
2020-02-05,7.9160,7.9170,7.8954,7.9108
2020-02-04,7.9315,7.9346,7.8593,7.9005
2020-02-03,7.8739,7.9358,7.8719,7.9338
2020-01-31,7.8995,7.8995,7.8623,7.8747
2020-01-30,7.8848,7.8982,7.8497,7.8600
2020-01-29,7.9108,7.9108,7.8778,7.8871
2020-01-28,7.8954,7.9077,7.8840,7.9077
2020-01-27,7.9286,7.9286,7.8925,7.8977
2020-01-24,7.9273,7.9315,7.9046,7.9263
2020-01-23,7.9188,7.9322,7.9054,7.9281
2020-01-22,7.9436,7.9436,7.9013,7.9085
2020-01-21,7.9237,7.9444,7.9072,7.9072
2020-01-20,7.9242,7.9294,7.9108,7.9108
2020-01-17,7.9204,7.9204,7.9204,7.9204
2020-01-16,7.9250,7.9508,7.9013,7.9250
2020-01-15,7.9562,7.9676,7.9087,7.9242
2020-01-14,7.9521,7.9624,7.9397,7.9397
2020-01-13,7.9149,7.9727,7.9149,7.9552
2020-01-10,7.9521,7.9696,7.9119,7.9696
2020-01-09,7.9676,7.9696,7.9315,7.9521
2020-01-08,7.9322,7.9787,7.9322,7.9322
2020-01-07,7.9418,7.9830,7.9315,7.9315
2020-01-06,7.9544,7.9544,7.8987,7.9441
2020-01-03,7.9583,7.9583,7.9025,7.9583
2020-01-01,7.9456,7.9828,7.9456,7.9456
2019-12-31,7.9694,8.0365,7.9487,7.9487
2019-12-30,8.0654,8.0685,7.9600,7.9755
2019-12-27,8.0354,8.0560,7.9941,8.0529
2019-12-26,8.0346,8.0614,8.0284,8.0346
2019-12-25,8.0568,8.0650,8.0568,8.0568
2019-12-24,8.0591,8.0808,8.0354,8.0591
2019-12-23,8.0119,8.0862,8.0119,8.0584
2019-12-20,8.0870,8.0870,8.0127,8.0870
2019-12-19,8.1233,8.1243,8.0582,8.0633
2019-12-18,8.0995,8.1243,8.0344,8.0582
2019-12-17,8.0995,8.1253,8.0747,8.0995
2019-12-16,8.1243,8.1243,8.0747,8.0995
2019-12-13,8.0664,8.1243,8.0664,8.1243
2019-12-12,8.0892,8.1253,8.0664,8.0664
2019-12-11,8.0996,8.0996,8.0790,8.0790
2019-12-10,8.0857,8.1012,8.0651,8.0806
2019-12-09,8.0478,8.1181,8.0478,8.0943
2019-12-06,8.1202,8.1202,8.0478,8.0478
2019-12-05,8.1243,8.1243,8.0478,8.0478
2019-12-04,8.0854,8.1246,8.0689,8.0937
2019-12-03,8.0973,8.1282,8.0457,8.0839
2019-12-02,8.0576,8.1288,8.0576,8.0988
2019-11-29,8.0576,8.1288,8.0576,8.0576
2019-11-28,8.0834,8.0988,8.0576,8.0576
2019-11-27,8.0885,8.1226,8.0524,8.0834
2019-11-26,8.0816,8.1218,8.0465,8.0877
2019-11-25,8.0274,8.1120,8.0274,8.1048
2019-11-22,8.0313,8.0870,8.0313,8.0870
2019-11-21,8.0655,8.0800,8.0243,8.0243
2019-11-20,8.0655,8.0759,8.0418,8.0655
2019-11-19,8.0544,8.0761,8.0441,8.0648
2019-11-18,8.0761,8.0772,8.0112,8.0576
2019-11-15,8.0080,8.0730,8.0080,8.0730
2019-11-14,8.0756,8.0756,8.0096,8.0096
2019-11-13,8.0655,8.0748,8.0315,8.0748
2019-11-12,8.0436,8.0849,8.0385,8.0663
2019-11-11,8.0062,8.0568,8.0062,8.0444
2019-11-08,8.0070,8.0576,8.0070,8.0070
2019-11-06,8.0405,8.0560,8.0354,8.0405
2019-11-05,8.0721,8.0721,8.0184,8.0452
2019-11-04,8.0488,8.0674,8.0137,8.0674
2019-11-01,8.0519,8.0540,8.0406,8.0519
2019-10-31,8.0294,8.0552,8.0088,8.0480
2019-10-30,8.0318,8.0441,8.0276,8.0287
2019-10-29,8.0465,8.0568,8.0310,8.0341
2019-10-28,8.0529,8.0591,8.0292,8.0488
2019-10-25,8.0604,8.0604,8.0181,8.0522
2019-10-24,8.0674,8.0661,8.0540,8.0612
2019-10-23,8.0619,8.0661,8.0465,8.0465
2019-10-22,8.0594,8.0645,8.0367,8.0604
2019-10-21,8.0181,8.0687,8.0181,8.0625
2019-10-18,8.0596,8.0596,8.0173,8.0596
2019-10-17,8.0519,8.0612,8.0158,8.0158
2019-10-16,8.0620,8.0620,8.0496,8.0558
2019-10-15,8.0563,8.0635,8.0243,8.0480
