time,MFI
2019-11-15,82.4462
2019-11-14,82.9782
2019-11-13,100.0000
2019-11-12,100.0000
2019-11-11,100.0000
2019-11-08,100.0000
2019-11-07,86.1164
2019-11-06,82.0740
2019-11-05,56.7094
2019-11-04,32.5511
2019-11-01,46.3390
2019-10-31,71.0753
2019-10-30,77.6944
2019-10-29,82.0869
2019-10-28,95.0757
2019-10-25,88.2189
2019-10-24,70.9851
2019-10-23,37.1604
2019-10-22,60.0906
2019-10-21,62.6918
2019-10-18,82.9710
2019-10-17,100.0000
2019-10-16,100.0000
2019-10-15,100.0000
2019-10-14,100.0000
2019-10-11,100.0000
2019-10-10,100.0000
2019-10-09,68.3348
2019-10-08,54.5927
2019-10-07,51.9850
2019-10-04,34.8677
2019-10-03,40.1805
2019-10-02,71.6700
2019-10-01,66.5194
2019-09-30,45.9906
2019-09-27,47.4235
2019-09-26,26.9305
2019-09-25,13.3577
2019-09-24,28.4369
2019-09-23,38.4314
2019-09-20,37.7533
2019-09-19,39.2953
2019-09-18,48.0580
2019-09-17,57.3533
2019-09-16,69.9027
2019-09-13,83.9225
2019-09-12,100.0000
2019-09-11,100.0000
2019-09-10,79.1812
2019-09-09,60.0256
2019-09-06,65.5870
2019-09-05,66.4764
2019-09-04,61.3664
2019-09-03,80.9120
2019-08-30,82.5828
2019-08-29,50.7670
2019-08-28,53.2243
2019-08-27,36.1316
2019-08-26,34.0395
2019-08-23,50.2539
2019-08-22,73.2432
2019-08-21,48.2660
2019-08-20,45.4413
2019-08-19,46.8860
2019-08-16,31.0952
2019-08-15,16.0606
2019-08-14,36.5134
2019-08-13,63.5382
2019-08-12,64.5036
2019-08-09,58.9743
2019-08-08,54.4474
2019-08-07,32.2907
2019-08-06,41.1836
2019-08-05,45.4406
2019-08-02,65.0914
2019-08-01,59.8861
2019-07-31,45.9681
2019-07-30,48.5689
2019-07-29,46.1732
2019-07-26,31.4357
2019-07-25,46.5884
2019-07-24,66.9988
2019-07-23,65.3919
2019-07-22,68.1743
2019-07-19,88.3071
2019-07-18,88.7680
2019-07-17,100.0000
2019-07-16,100.0000
2019-07-15,86.3163
2019-07-12,69.0775
2019-07-11,47.2452
2019-07-10,55.5775
2019-07-09,34.0843
2019-07-08,50.7598
2019-07-05,64.4701
2019-07-03,66.0148
2019-07-02,60.2828
2019-07-01,65.6398
2019-06-28,62.9058
2019-06-27,40.9348
2019-06-26,35.3633
2019-06-25,15.0168
2019-06-24,41.4279
2019-06-21,48.7944
2019-06-20,63.7645
2019-06-19,69.1982
2019-06-18,59.1562
2019-06-17,57.9138
2019-06-14,56.1295
2019-06-13,61.8716
2019-06-12,79.0446
2019-06-11,100.0000
2019-06-10,100.0000
2019-06-07,84.3560
2019-06-06,68.6930
2019-06-05,61.1257
2019-06-04,38.4968
2019-06-03,14.9489
2019-05-31,14.4213
2019-05-30,11.0249
2019-05-29,-0.0000
2019-05-28,21.2883
2019-05-24,18.8824
2019-05-23,17.8860
2019-05-22,21.5000
2019-05-21,24.3498
2019-05-20,12.8952
2019-05-17,14.8050
2019-05-16,18.2295
2019-05-15,18.4178
2019-05-14,18.7350
2019-05-13,-0.0000
2019-05-10,27.2558
2019-05-09,60.5967
2019-05-08,76.4135
2019-05-07,72.2331
2019-05-06,85.9527
2019-05-03,86.8657
2019-05-02,57.6984
2019-05-01,32.0148
2019-04-30,31.5654
2019-04-29,19.5464
2019-04-26,-0.0000
2019-04-25,10.0353
2019-04-24,25.2155
2019-04-23,44.9398
2019-04-22,45.8023
2019-04-18,71.8443
2019-04-17,49.4382
2019-04-16,51.9851
2019-04-15,35.2708
2019-04-12,60.9381
2019-04-11,66.3234
2019-04-10,51.3234
2019-04-09,52.3841
2019-04-08,52.5056
2019-04-05,50.9161
2019-04-04,44.3972
2019-04-03,83.9117
2019-04-02,84.0502
2019-04-01,100.0000
2019-03-29,74.9130
2019-03-28,55.6064
2019-03-27,54.5546
2019-03-26,52.3000
2019-03-25,30.0450
2019-03-22,29.6802
2019-03-21,25.8025
2019-03-20,28.1605
2019-03-19,28.6395
2019-03-18,30.8985
2019-03-15,49.6947
2019-03-14,80.2249
2019-03-13,81.2033
2019-03-12,82.5797
2019-03-11,66.0510
2019-03-08,44.0547
2019-03-07,24.4731
2019-03-06,26.7688
2019-03-05,28.6359
2019-03-04,32.2340
2019-03-01,48.4126
2019-02-28,67.5034
2019-02-27,44.3066
2019-02-26,18.0342
2019-02-25,33.5191
2019-02-22,27.6731
2019-02-21,28.0171
2019-02-20,31.7494
2019-02-19,33.6142
2019-02-15,41.2359
2019-02-14,25.1217
2019-02-13,23.9634
2019-02-12,41.0843
2019-02-11,61.2846
2019-02-08,38.2403
2019-02-07,58.3820
2019-02-06,49.6520
2019-02-05,56.2520
2019-02-04,53.6572
2019-02-01,55.3024
2019-01-31,54.8666
2019-01-30,83.0544
2019-01-29,51.4149
2019-01-28,32.7690
2019-01-25,23.2073
2019-01-24,19.5966
2019-01-23,16.4949
2019-01-22,30.9604
2019-01-18,35.0107
2019-01-17,79.1678
2019-01-16,80.9320
2019-01-15,81.3475
2019-01-14,81.8756
2019-01-11,100.0000
2019-01-10,100.0000
2019-01-09,81.0191
2019-01-08,55.6698
2019-01-07,54.7687
2019-01-04,57.4205
2019-01-03,39.0447
2019-01-02,55.8699
2018-12-31,64.5544
2018-12-28,45.8287
2018-12-27,20.8006
2018-12-26,20.6364
2018-12-24,-0.0000
2018-12-21,-0.0000
2018-12-20,-0.0000
2018-12-19,21.1666
2018-12-18,38.1320
2018-12-17,57.8025
2018-12-14,59.3718
2018-12-13,82.3017
2018-12-12,82.3983
2018-12-11,83.8252
2018-12-10,84.5259
2018-12-07,100.0000
2018-12-06,91.0989
2018-12-04,89.9100
2018-12-03,88.9927
2018-11-30,88.6731
2018-11-29,72.1171
2018-11-28,67.8452
2018-11-27,45.9650
2018-11-26,51.8441
2018-11-23,51.1252
2018-11-21,63.5724
2018-11-20,77.2364
2018-11-19,100.0000
2018-11-16,76.7013
2018-11-15,55.6236
2018-11-14,59.5485
2018-11-13,62.5911
2018-11-12,64.1151
2018-11-09,62.4281
2018-11-08,79.1563
2018-11-07,79.5408
2018-11-06,79.5502
2018-11-05,58.5497
2018-11-02,81.0335
2018-11-01,86.3823
2018-10-31,88.3655
2018-10-30,89.6851
2018-10-29,100.0000
2018-10-26,94.8642
2018-10-25,82.0474
2018-10-24,67.9071
2018-10-23,59.3262
2018-10-22,48.1621
2018-10-19,62.7968
2018-10-18,85.3794
