time,RSI

2019-11-04,73.8337

2019-11-01,69.6542

2019-10-31,73.2782

2019-10-30,73.4491

2019-10-29,75.3388

2019-10-28,93.6413

2019-10-25,94.3113

2019-10-24,90.7089

2019-10-23,53.2341

2019-10-22,56.9065

2019-10-21,50.6065

2019-10-18,62.7865

2019-10-17,87.2232

2019-10-16,85.1830

2019-10-15,83.4071

2019-10-14,82.5715

2019-10-11,71.2922

2019-10-10,64.9985

2019-10-09,64.5844

2019-10-08,55.6246

2019-10-07,50.4041

2019-10-04,33.5109

2019-10-03,36.0067

2019-10-02,57.7131

2019-10-01,62.3581

2019-09-30,55.3122

2019-09-27,58.1862

2019-09-26,59.0235

2019-09-25,34.8490

2019-09-24,19.8686

2019-09-23,50.1447

2019-09-20,47.9988

2019-09-19,72.4584

2019-09-18,65.0480

2019-09-17,71.4794

2019-09-16,67.5729

2019-09-13,77.8730

2019-09-12,80.6293

2019-09-11,85.0505

2019-09-10,74.5637

2019-09-09,68.9025

2019-09-06,60.8312

2019-09-05,67.7336

2019-09-04,48.0168

2019-09-03,63.0005

2019-08-30,65.2580

2019-08-29,57.3023

2019-08-28,40.0757

2019-08-27,34.8907

2019-08-26,36.4270

2019-08-23,26.2632

2019-08-22,42.4919

2019-08-21,38.7756

2019-08-20,48.2885

2019-08-19,50.1881

2019-08-16,35.8479

2019-08-15,25.0793

2019-08-14,28.6390

2019-08-13,51.0311

2019-08-12,35.2595

2019-08-09,47.5253

2019-08-08,56.0836

2019-08-07,44.1490

2019-08-06,36.6086

2019-08-05,29.6980

2019-08-02,37.8828

2019-08-01,36.7477

2019-07-31,47.8187

2019-07-30,48.8040

2019-07-29,38.7182

2019-07-26,24.5563

2019-07-25,25.0231

2019-07-24,84.2703

2019-07-23,79.0994

2019-07-22,72.1062

2019-07-19,84.7350

2019-07-18,79.3702

2019-07-17,86.2704

2019-07-16,84.2067

2019-07-15,89.0422

2019-07-12,83.2613

2019-07-11,75.2089

2019-07-10,76.6659

2019-07-09,59.1266

2019-07-08,60.2720

2019-07-05,71.1392

2019-07-03,78.5263

2019-07-02,58.8892

2019-07-01,72.2737

2019-06-28,62.6596

2019-06-27,60.8445

2019-06-26,49.5467

2019-06-25,51.1679

2019-06-24,64.5459

2019-06-21,60.7828

2019-06-20,56.0908

2019-06-19,79.1108

2019-06-18,77.2578

2019-06-17,78.2102

2019-06-14,66.7934

2019-06-13,65.3421

2019-06-12,58.6928

2019-06-11,79.1839

2019-06-10,75.5007

2019-06-07,65.9217

2019-06-06,69.6938

2019-06-05,56.9825

2019-06-04,51.8179

2019-06-03,9.1000

2019-05-31,13.0017

2019-05-30,15.6566

2019-05-29,17.1589

2019-05-28,12.4029

2019-05-24,13.4291

2019-05-23,16.1151

2019-05-22,7.7305

2019-05-21,12.0376

2019-05-20,12.1605

2019-05-17,14.5701

2019-05-16,28.2186

2019-05-15,33.4664

2019-05-14,33.9690

2019-05-13,19.7801

2019-05-10,33.2865

2019-05-09,37.2924

2019-05-08,41.9927

2019-05-07,45.5585

2019-05-06,61.0183

2019-05-03,60.6181

2019-05-02,44.5614

2019-05-01,20.6766

2019-04-30,24.6110

2019-04-29,27.0578

2019-04-26,10.9272

2019-04-25,16.7872

2019-04-24,27.0269

2019-04-23,35.1832

2019-04-22,31.5567

2019-04-18,53.4011

2019-04-17,47.8198

2019-04-16,53.1649

2019-04-15,33.7520

2019-04-12,36.0102

2019-04-11,37.0931

2019-04-10,49.8083

2019-04-09,42.0015

2019-04-08,43.2796

2019-04-05,45.4685

2019-04-04,34.6878

2019-04-03,73.6973

2019-04-02,66.1912

2019-04-01,75.8244

2019-03-29,63.9803

2019-03-28,61.9987

2019-03-27,56.0922

2019-03-26,42.8562

2019-03-25,23.7000

2019-03-22,27.8811

2019-03-21,41.3595

2019-03-20,40.3384

2019-03-19,25.1113

2019-03-18,26.9227

2019-03-15,32.4252

2019-03-14,54.0380

2019-03-13,52.2870

2019-03-12,42.4677

2019-03-11,54.6042

2019-03-08,42.8957

2019-03-07,25.8608

2019-03-06,25.0314

2019-03-05,25.2249

2019-03-04,30.8304

2019-03-01,38.0658

2019-02-28,76.0593

2019-02-27,71.3772

2019-02-26,41.1285

2019-02-25,43.0925

2019-02-22,31.3999

2019-02-21,20.1496

2019-02-20,35.1742

2019-02-19,41.9821

2019-02-15,47.3096

2019-02-14,35.2483

2019-02-13,43.8438

2019-02-12,52.2815

2019-02-11,54.6629

2019-02-08,39.6259

2019-02-07,42.3557

2019-02-06,61.6482

2019-02-05,72.9554

2019-02-04,61.3335

2019-02-01,60.2346

2019-01-31,51.8859

2019-01-30,55.0008

2019-01-29,34.7469

2019-01-28,32.4234

2019-01-25,32.9978

2019-01-24,23.9685

2019-01-23,17.6773

2019-01-22,21.8596

2019-01-18,23.1514

2019-01-17,63.8919

2019-01-16,62.4119

2019-01-15,60.7575

2019-01-14,49.8170

2019-01-11,69.7679

2019-01-10,67.9388

2019-01-09,62.8870

2019-01-08,60.4236

2019-01-07,60.1641

2019-01-04,48.1158

2019-01-03,31.4788

2019-01-02,36.7945

2018-12-31,53.6307

2018-12-28,54.5731

2018-12-27,40.7667

2018-12-26,47.2115

2018-12-24,13.4854

2018-12-21,22.6987

2018-12-20,14.2604

2018-12-19,21.9361

2018-12-18,24.3568

2018-12-17,32.3754

2018-12-14,53.9406

2018-12-13,81.9127

2018-12-12,70.7545

2018-12-11,71.3071

2018-12-10,69.3822

2018-12-07,59.7396

2018-12-06,72.7344

2018-12-04,69.1997

2018-12-03,68.0047

2018-11-30,59.7309

2018-11-29,46.9829

2018-11-28,57.4544

2018-11-27,52.4567

2018-11-26,55.1876

2018-11-23,24.8271

2018-11-21,37.1738

2018-11-20,53.0562

2018-11-19,68.0016

2018-11-16,70.2245

2018-11-15,63.5663

2018-11-14,57.8649

2018-11-13,50.5112

2018-11-12,38.3413

