timestamp,open,high,low,close
2020-03-13,2.0775,2.0951,2.0613,2.0848
2020-03-12,2.0792,2.0899,2.0649,2.0800
2020-03-11,2.0971,2.1063,2.0543,2.0792
2020-03-10,2.0891,2.1036,2.0007,2.0971
2020-03-09,2.0741,2.1012,2.0629,2.0914
2020-03-08,2.0797,2.0816,2.0797,2.0816
2020-03-07,2.0797,2.0797,2.0797,2.0797
2020-03-06,2.0859,2.0942,2.0661,2.0870
2020-03-05,2.0825,2.0960,2.0664,2.0796
2020-03-04,2.0858,2.0940,2.0659,2.0827
2020-03-03,2.0848,2.0904,2.0656,2.0752
2020-03-02,2.0574,2.0842,2.0528,2.0811
2020-03-01,2.0586,2.0611,2.0586,2.0611
2020-02-28,2.0522,2.0659,2.0387,2.0586
2020-02-27,2.0469,2.0587,2.0093,2.0521
2020-02-26,2.0331,2.0526,2.0232,2.0463
2020-02-25,2.0284,2.0367,2.0208,2.0331
2020-02-24,2.0276,2.0318,1.9612,2.0278
2020-02-23,2.0251,2.0276,2.0251,2.0276
2020-02-21,2.0297,2.0401,1.9718,2.0251
2020-02-20,2.0412,2.0513,2.0166,2.0297
2020-02-19,2.0421,2.0530,1.9923,2.0393
2020-02-18,2.0545,2.0585,1.9828,2.0409
2020-02-17,2.0412,2.0562,2.0412,2.0471
2020-02-16,2.0406,2.0436,2.0405,2.0436
2020-02-15,2.0402,2.0455,2.0402,2.0442
2020-02-14,2.0433,2.0521,2.0340,2.0402
2020-02-13,2.0358,2.0497,2.0297,2.0433
2020-02-12,2.0372,2.0462,2.0266,2.0352
2020-02-11,2.0212,2.0401,1.9900,2.0317
2020-02-10,2.0082,2.0293,2.0031,2.0194
2020-02-09,2.0082,2.0107,2.0082,2.0106
2020-02-08,2.0082,2.0082,2.0082,2.0082
2020-02-07,2.0139,2.0233,1.9810,2.0082
2020-02-06,2.0090,2.0232,2.0029,2.0133
2020-02-05,2.0062,2.0218,1.9828,2.0090
2020-02-04,1.9919,2.0127,1.9825,2.0068
2020-02-03,1.9826,1.9990,1.9684,1.9925
2020-02-02,1.9843,1.9844,1.9825,1.9825
2020-02-01,1.9826,1.9826,1.9826,1.9826
2020-01-31,1.9873,2.0004,1.9771,1.9825
2020-01-30,1.9995,2.0063,1.9725,1.9873
2020-01-29,1.9964,2.0066,1.9844,1.9923
2020-01-28,1.9926,2.0017,1.9827,1.9987
2020-01-27,1.9908,1.9999,1.9798,1.9860
2020-01-26,1.9908,1.9944,1.9908,1.9908
2020-01-24,1.9909,2.0056,1.9894,1.9974
2020-01-23,2.0019,2.0088,1.9894,1.9903
2020-01-22,1.9975,2.0062,1.9894,1.9942
2020-01-21,2.0083,2.0133,1.9905,1.9969
2020-01-20,1.9998,2.0069,1.9975,1.9987
2020-01-19,2.0022,2.0022,1.9998,1.9998
2020-01-18,1.9998,1.9998,1.9998,1.9998
2020-01-17,1.9976,2.0126,1.9952,1.9998
2020-01-16,2.0029,2.0109,1.9926,1.9982
2020-01-15,2.0033,2.0119,1.9876,1.9933
2020-01-14,2.0023,2.0116,1.9950,2.0033
2020-01-13,1.9868,2.0075,1.9856,2.0022
2020-01-12,1.9886,1.9886,1.9868,1.9868
2020-01-10,1.9902,2.0001,1.9812,1.9868
2020-01-09,1.9947,1.9984,1.9827,1.9890
2020-01-08,1.9844,1.9978,1.9768,1.9892
2020-01-07,1.9805,1.9952,1.9796,1.9868
2020-01-06,1.9854,1.9932,1.9779,1.9805
2020-01-05,1.9854,1.9872,1.9854,1.9854
2020-01-03,1.9913,1.9942,1.9743,1.9848
2020-01-02,1.9981,1.9985,1.9757,1.9913
2020-01-01,1.9981,2.0053,1.9981,1.9981
2019-12-31,1.9996,2.0032,1.9879,1.9981
2019-12-30,1.9845,2.0027,1.9845,1.9996
2019-12-29,1.9845,1.9869,1.9845,1.9845
2019-12-28,1.9845,1.9845,1.9845,1.9845
2019-12-27,1.9800,1.9954,1.9782,1.9845
2019-12-26,1.9814,1.9951,1.9727,1.9800
2019-12-25,1.9766,1.9838,1.9760,1.9814
2019-12-24,1.9801,1.9975,1.9697,1.9772
2019-12-23,1.9762,1.9921,1.9726,1.9807
2019-12-22,1.9768,1.9792,1.9768,1.9768
2019-12-21,1.9768,1.9768,1.9768,1.9768
2019-12-20,1.9802,1.9923,1.9720,1.9768
2019-12-19,1.9755,1.9941,1.9731,1.9802
2019-12-18,1.9750,1.9887,1.9719,1.9731
2019-12-17,1.9806,1.9995,1.9737,1.9750
2019-12-16,1.9703,1.9873,1.9674,1.9806
2019-12-15,1.9703,1.9721,1.9703,1.9703
2019-12-13,1.9827,1.9923,1.9660,1.9703
2019-12-12,1.9625,1.9812,1.9553,1.9708
2019-12-11,1.9589,1.9714,1.9529,1.9630
2019-12-10,1.9698,1.9723,1.9475,1.9576
2019-12-09,1.9608,1.9681,1.9469,1.9644
2019-12-08,1.9608,1.9608,1.9608,1.9608
2019-12-07,1.9608,1.9608,1.9608,1.9608
2019-12-06,1.9679,1.9706,1.9548,1.9632
2019-12-05,1.9624,1.9703,1.9539,1.9673
2019-12-04,1.9579,1.9672,1.9515,1.9630
2019-12-03,1.9635,1.9669,1.9515,1.9579
2019-12-02,1.9590,1.9673,1.9531,1.9641
2019-12-01,1.9603,1.9621,1.9602,1.9602
2019-11-29,1.9634,1.9680,1.9528,1.9621
2019-11-28,1.9635,1.9671,1.9544,1.9610
