time,PPO
2019-11-15,-6.7861
2019-11-14,-6.4984
2019-11-13,-6.3839
2019-11-12,-6.0843
2019-11-11,-5.7504
2019-11-08,-5.5480
2019-11-07,-5.5685
2019-11-06,-5.3471
2019-11-05,-4.9056
2019-11-04,-4.3738
2019-11-01,-3.4756
2019-10-31,-2.9698
2019-10-30,-2.0176
2019-10-29,-1.3861
2019-10-28,-0.9530
2019-10-25,-0.9290
2019-10-24,-0.9038
2019-10-23,-0.9337
2019-10-22,-0.4056
2019-10-21,0.1078
2019-10-18,0.3395
2019-10-17,0.1250
2019-10-16,0.1124
2019-10-15,0.1172
2019-10-14,-0.4157
2019-10-11,-1.0853
2019-10-10,-1.8984
2019-10-09,-2.7216
2019-10-08,-3.1969
2019-10-07,-3.4910
2019-10-04,-3.9485
2019-10-03,-4.5146
2019-10-02,-5.0446
2019-10-01,-5.4839
2019-09-30,-6.0537
2019-09-27,-6.4569
2019-09-26,-6.9717
2019-09-25,-7.5062
2019-09-24,-7.8518
2019-09-23,-7.3094
2019-09-20,-6.4630
2019-09-19,-5.5424
2019-09-18,-5.0556
2019-09-17,-4.4095
2019-09-16,-3.7230
2019-09-13,-2.9994
2019-09-12,-1.9774
2019-09-11,-1.2384
2019-09-10,-0.4860
2019-09-09,0.1386
2019-09-06,0.6021
2019-09-05,0.3456
2019-09-04,-0.2225
2019-09-03,-0.9750
2019-08-30,-1.9766
2019-08-29,-2.8315
2019-08-28,-3.2701
2019-08-27,-3.6434
2019-08-26,-3.9466
2019-08-23,-4.2712
2019-08-22,-5.0129
2019-08-21,-5.7294
2019-08-20,-6.4370
2019-08-19,-6.5080
2019-08-16,-6.1998
2019-08-15,-5.8436
2019-08-14,-5.4150
2019-08-13,-4.9501
2019-08-12,-4.2175
2019-08-09,-3.4836
2019-08-08,-2.8066
2019-08-07,-2.1405
2019-08-06,-1.0985
2019-08-05,-0.2107
2019-08-02,0.6994
2019-08-01,1.3973
2019-07-31,1.7569
2019-07-30,2.1443
2019-07-29,2.1597
2019-07-26,2.1788
2019-07-25,2.0104
2019-07-24,2.0142
2019-07-23,2.0358
2019-07-22,1.8739
2019-07-19,1.5657
2019-07-18,1.1575
2019-07-17,0.7655
2019-07-16,0.2661
2019-07-15,-0.0861
2019-07-12,-0.5915
2019-07-11,-0.8760
2019-07-10,-0.7922
2019-07-09,-0.3066
2019-07-08,0.1437
2019-07-05,0.7460
2019-07-03,1.1800
2019-07-02,1.4478
2019-07-01,1.7118
2019-06-28,2.0777
2019-06-27,2.4439
2019-06-26,2.6370
2019-06-25,3.1090
2019-06-24,3.5061
2019-06-21,3.4656
2019-06-20,3.2750
2019-06-19,2.6154
2019-06-18,1.9410
2019-06-17,1.5402
2019-06-14,0.9113
2019-06-13,0.4775
2019-06-12,0.3052
2019-06-11,0.0593
2019-06-10,-0.1395
2019-06-07,-0.1642
2019-06-06,-0.1165
2019-06-05,-0.1681
2019-06-04,0.0879
2019-06-03,0.7748
2019-05-31,1.2326
2019-05-30,1.2342
2019-05-29,0.9446
2019-05-28,1.2993
2019-05-24,1.6279
2019-05-23,1.8063
2019-05-22,1.7828
2019-05-21,1.7172
2019-05-20,1.6404
2019-05-17,1.6334
2019-05-16,1.3291
2019-05-15,1.5845
2019-05-14,2.0231
2019-05-13,2.5358
2019-05-10,3.1411
2019-05-09,3.0141
2019-05-08,2.8665
2019-05-07,2.7491
2019-05-06,2.2770
2019-05-03,1.8956
2019-05-02,1.7491
2019-05-01,1.4414
2019-04-30,1.1647
2019-04-29,0.6495
2019-04-26,-0.0441
2019-04-25,-0.7146
2019-04-24,-1.3215
2019-04-23,-1.7980
2019-04-22,-2.2539
2019-04-18,-2.2212
2019-04-17,-1.8578
2019-04-16,-1.6357
2019-04-15,-1.3318
2019-04-12,-1.1172
2019-04-11,-0.7605
2019-04-10,-0.0186
2019-04-09,0.7071
2019-04-08,1.3637
2019-04-05,2.2177
2019-04-04,2.7863
2019-04-03,3.4097
2019-04-02,3.8039
2019-04-01,4.1476
2019-03-29,4.6626
2019-03-28,5.0226
2019-03-27,5.3297
2019-03-26,5.4909
2019-03-25,5.2931
2019-03-22,4.9998
