timestamp,open,high,low,close
2020-03-06,4.3594,4.3594,4.3042,4.3107
2020-03-05,4.3851,4.4081,4.3851,4.4037
2020-03-04,4.3963,4.4272,4.3791,4.4132
2020-03-03,4.3804,4.3804,4.3552,4.3585
2020-03-02,4.4278,4.4399,4.3840,4.3884
2020-02-28,4.5138,4.5171,4.4905,4.4905
2020-02-27,4.5075,4.5343,4.5019,4.5219
2020-02-26,4.5630,4.5630,4.5183,4.5261
2020-02-25,4.5639,4.5672,4.5387,4.5387
2020-02-24,4.5690,4.5690,4.5529,4.5574
2020-02-21,4.5708,4.5775,4.5675,4.5731
2020-02-20,4.5928,4.5984,4.5849,4.5973
2020-02-19,4.5925,4.5971,4.5734,4.5867
2020-02-18,4.5920,4.5965,4.5819,4.5864
2020-02-17,4.5851,4.5941,4.5806,4.5941
2020-02-14,4.5783,4.5816,4.5672,4.5672
2020-02-13,4.5418,4.5803,4.5373,4.5681
2020-02-11,4.5345,4.5423,4.5232,4.5243
2020-02-10,4.5062,4.5396,4.5062,4.5385
2019-10-28,4.4132,4.4232,4.3961,4.3983
