timestamp,open,high,low,close
2020-03-13,4.0937,4.0937,4.0645,4.0645
2020-03-11,4.0918,4.0918,4.0581,4.0581
2020-03-10,4.1024,4.1024,4.0880,4.0880
2020-03-09,4.0654,4.0798,4.0654,4.0702
2020-03-06,4.0550,4.0598,4.0407,4.0598
2020-03-05,4.0532,4.0532,4.0484,4.0532
2020-03-04,4.0293,4.0533,4.0293,4.0533
2020-02-28,4.0345,4.0345,4.0202,4.0202
2020-02-27,4.0336,4.0336,4.0336,4.0336
2020-02-26,4.0327,4.0327,4.0327,4.0327
2020-02-25,4.0322,4.0322,4.0322,4.0322
2020-02-24,4.0617,4.0617,4.0330,4.0330
2020-02-21,4.0611,4.0611,4.0611,4.0611
2020-02-20,4.0613,4.0756,4.0613,4.0613
2020-02-19,4.0778,4.0826,4.0635,4.0635
2020-02-18,4.0806,4.0901,4.0806,4.0806
2020-02-17,4.0862,4.0862,4.0814,4.0814
2020-02-14,4.0910,4.0910,4.0814,4.0814
2020-02-13,4.0819,4.0915,4.0819,4.0915
2020-02-12,4.0739,4.0835,4.0643,4.0835
2020-02-11,4.0670,4.0862,4.0670,4.0718
2020-02-10,4.1096,4.1191,4.0664,4.0664
