time,ADX

2019-11-08,34.5114

2019-11-07,37.9725

2019-11-06,35.7248

2019-11-05,36.9211

2019-11-04,32.0456

2019-11-01,27.1043

2019-10-31,25.8522

2019-10-30,29.0423

2019-10-29,30.1919

2019-10-28,33.3039

2019-10-25,37.1938

2019-10-24,42.9410

2019-10-23,47.0039

2019-10-22,41.3607

2019-10-21,35.1318

2019-10-18,31.5252

2019-10-17,27.0170

2019-10-16,32.0225

2019-10-15,32.5910

2019-10-14,37.7714

2019-10-11,36.8034

2019-10-10,35.0226

2019-10-09,37.5891

2019-10-08,41.2077

2019-10-07,46.6326

2019-10-04,49.6081

2019-10-03,56.0712

2019-10-02,69.2915

2019-10-01,71.0169

2019-09-30,75.7997

2019-09-27,77.1697

2019-09-26,80.3132

2019-09-25,87.7797

2019-09-24,85.7240

2019-09-23,83.5120

2019-09-20,82.4227

2019-09-19,81.5646

2019-09-18,81.6955

2019-09-17,81.8591

2019-09-16,83.4171

2019-09-13,80.5190

2019-09-12,76.8963

2019-09-11,72.7205

2019-09-10,68.2545

2019-09-09,62.7461

2019-09-06,57.9516

2019-09-05,53.8477

2019-09-04,48.8101

2019-09-03,44.0815

2019-08-30,38.1709

2019-08-29,31.5508

2019-08-28,25.5891

2019-08-27,18.5365

2019-08-26,19.7305

2019-08-23,20.4135

2019-08-22,20.7414

2019-08-21,17.9794

2019-08-20,18.2018

2019-08-19,16.5254

2019-08-16,19.7445

2019-08-15,19.7970

2019-08-14,19.8627

2019-08-13,19.9651

2019-08-12,20.2387

2019-08-09,22.0255

2019-08-08,25.3084

2019-08-07,30.5842

2019-08-06,27.6775

2019-08-05,27.0203

2019-08-02,25.0555

2019-08-01,26.7983

2019-07-31,25.5124

2019-07-30,29.8289

2019-07-29,34.3158

2019-07-26,39.9244

2019-07-25,36.1291

2019-07-24,31.3851

2019-07-23,25.4550

2019-07-22,30.6925

2019-07-19,29.7901

2019-07-18,33.8299

2019-07-17,33.4326

2019-07-16,28.0882

2019-07-15,21.4077

2019-07-12,20.3593

2019-07-11,19.0488

2019-07-10,19.5419

2019-07-09,14.7151

2019-07-08,18.2044

2019-07-05,22.5136

2019-07-03,21.8763

2019-07-02,24.3259

2019-07-01,27.3878

2019-06-28,33.9446

2019-06-27,30.6988

2019-06-26,27.5201

2019-06-25,23.5466

2019-06-24,18.5798

2019-06-21,21.3368

2019-06-20,20.0977

2019-06-19,16.9423

2019-06-18,20.7447

2019-06-17,20.3386

2019-06-14,20.1857

2019-06-13,22.5325

2019-06-12,25.5544

2019-06-11,29.4781

2019-06-10,34.3827

2019-06-07,27.2754

2019-06-06,20.9306

2019-06-05,19.4171

2019-06-04,19.0454

2019-06-03,20.6743

2019-05-31,19.9570

2019-05-30,19.2382

2019-05-29,19.4737

2019-05-28,16.3884

2019-05-24,20.0219

2019-05-23,19.0078

2019-05-22,16.3127

2019-05-21,18.9993

2019-05-20,21.8581

2019-05-17,25.8983

2019-05-16,30.9486

2019-05-15,32.3513

2019-05-14,29.4206

2019-05-13,34.6296

2019-05-10,41.1408

2019-05-09,38.2022

2019-05-08,39.5578

2019-05-07,42.0659

2019-05-06,45.2009

2019-05-03,49.1197

2019-05-02,46.6845

2019-05-01,50.8931

2019-04-30,46.3037

2019-04-29,42.5647

2019-04-26,38.2343

2019-04-25,34.0639

2019-04-24,34.4138

2019-04-23,30.2981

2019-04-22,26.9979

2019-04-18,28.4253

2019-04-17,31.3688

2019-04-16,38.4335

2019-04-15,32.8783

2019-04-12,27.7240

2019-04-11,21.2812

2019-04-10,21.6600

2019-04-09,22.1334

2019-04-08,27.2067

2019-04-05,26.4488

2019-04-04,31.1017

2019-04-03,33.0684

2019-04-02,34.2451

2019-04-01,35.8719

2019-03-29,35.4627

2019-03-28,38.1597

2019-03-27,43.8018

2019-03-26,50.8543

2019-03-25,48.3821

2019-03-22,47.5142

2019-03-21,38.3619

2019-03-20,26.9214

2019-03-19,14.5541

2019-03-18,17.7032

2019-03-15,17.5618

2019-03-14,20.4027

2019-03-13,25.2000

2019-03-12,28.8441

2019-03-11,34.9058

2019-03-08,42.5970

2019-03-07,42.0497

2019-03-06,43.5824

2019-03-05,39.6257

2019-03-04,36.5037

2019-03-01,32.6013

2019-02-28,30.1623

2019-02-27,28.8820

2019-02-26,32.3390

2019-02-25,39.5050

2019-02-22,48.1115

2019-02-21,52.6430

2019-02-20,58.3073

2019-02-19,65.6738

2019-02-15,60.7319

2019-02-14,56.9790

2019-02-13,52.5324

2019-02-12,47.2461

2019-02-11,43.9125

2019-02-08,43.7358

2019-02-07,48.1236

2019-02-06,58.8784

2019-02-05,63.3253

2019-02-04,58.7877

2019-02-01,54.4779

2019-01-31,49.7492

2019-01-30,43.9451

2019-01-29,41.3410

2019-01-28,43.0329

2019-01-25,45.1477

2019-01-24,42.3643

2019-01-23,46.2741

2019-01-22,51.1613

2019-01-18,58.2287

2019-01-17,54.5724

2019-01-16,50.5336

2019-01-15,47.8446

2019-01-14,45.6094

2019-01-11,44.4576

2019-01-10,38.1552

2019-01-09,32.8283

2019-01-08,28.9046

2019-01-07,24.9121

2019-01-04,22.8773

2019-01-03,25.9172

2019-01-02,25.2168

2018-12-31,30.3173

2018-12-28,29.0579

2018-12-27,28.4800

2018-12-26,29.1168

2018-12-24,31.0618

2018-12-21,29.9300

2018-12-20,28.6282

2018-12-19,28.0000

2018-12-18,33.8359

2018-12-17,29.1300

2018-12-14,23.2477

2018-12-13,19.5785

2018-12-12,16.8691

2018-12-11,18.2974

2018-12-10,16.7202

2018-12-07,19.7446

2018-12-06,23.5252

2018-12-04,22.4752

2018-12-03,26.5939

2018-11-30,23.3319

2018-11-29,23.0979

2018-11-28,24.4340

2018-11-27,28.5094

2018-11-26,33.5972

2018-11-23,39.9570

2018-11-21,41.1133

2018-11-20,43.5914

2018-11-19,39.8656

2018-11-16,37.1154

2018-11-15,41.6644

2018-11-14,43.5495

2018-11-13,38.8721

2018-11-12,36.7815

2018-11-09,34.3241

2018-11-08,40.1116

2018-11-07,38.8546

2018-11-06,38.5825

2018-11-05,42.8289

2018-11-02,48.1369

2018-11-01,47.3268

2018-10-31,50.9397

2018-10-30,62.1092

2018-10-29,57.8235

2018-10-26,52.4665

2018-10-25,49.3151

2018-10-24,46.3163

2018-10-23,42.5678

2018-10-22,40.4966

2018-10-19,40.5990

2018-10-18,40.7269

2018-10-17,43.2969

2018-10-16,52.8438

2018-10-15,64.7774

2018-10-12,66.4794

2018-10-11,69.5389

2018-10-10,64.3775

2018-10-09,58.3553

2018-10-08,52.1282

2018-10-05,45.1845

2018-10-04,39.5765

2018-10-03,34.0576

2018-10-02,31.4152

2018-10-01,28.1122

2018-09-28,32.2317

2018-09-27,26.7983

2018-09-26,21.9084

2018-09-25,21.6529

2018-09-24,24.9256

2018-09-21,22.1696

2018-09-20,24.9140

2018-09-19,28.3444

2018-09-18,32.6324

2018-09-17,39.2536

2018-09-14,47.5300

2018-09-13,43.0301

2018-09-12,38.9803

2018-09-11,38.1302

2018-09-10,37.0239

2018-09-07,39.5926

2018-09-06,48.2772

2018-09-05,51.7918

2018-09-04,57.7142

2018-08-31,54.1203

2018-08-30,50.3045

2018-08-29,47.8567

2018-08-28,41.6961

2018-08-27,35.9876

2018-08-24,29.6023

2018-08-23,24.6163

2018-08-22,21.0529

2018-08-21,23.4761

2018-08-20,28.1059

2018-08-17,31.0783

2018-08-16,36.8293

2018-08-15,38.0552

2018-08-14,39.5877

2018-08-13,40.5116

2018-08-10,38.6035

2018-08-09,33.3393

2018-08-08,28.5758

2018-08-07,30.0503

2018-08-06,33.8090

2018-08-03,36.9610

2018-08-02,40.9010

2018-08-01,45.4849

2018-07-31,41.1279

2018-07-30,35.6816

2018-07-27,29.3251

2018-07-26,26.5393

2018-07-25,31.9431

2018-07-24,34.5777

2018-07-23,40.0510

2018-07-20,48.6558

2018-07-19,49.7370

2018-07-18,51.0884

2018-07-17,46.8586

2018-07-16,41.5713

2018-07-13,37.4760

2018-07-12,32.3568

2018-07-11,27.4565

2018-07-10,31.6846

2018-07-09,31.6869

2018-07-06,31.6899

2018-07-05,27.1235

2018-07-03,27.0988

2018-07-02,30.3208

2018-06-29,35.2363

2018-06-28,42.6980

2018-06-27,45.7804

2018-06-26,51.6994

2018-06-25,54.0191

2018-06-22,56.9187

2018-06-21,69.5160

2018-06-20,73.2164

2018-06-19,69.5239

2018-06-18,66.1418

2018-06-15,62.0119

2018-06-14,57.4526

2018-06-13,53.2352

2018-06-12,50.6978

2018-06-11,49.5275

2018-06-08,48.0645

2018-06-07,47.9622

2018-06-06,52.8670

2018-06-05,45.4643

2018-06-04,37.3189

2018-06-01,28.8568

2018-05-31,20.4908

2018-05-30,18.2004

2018-05-29,17.7109

2018-05-25,17.0990

2018-05-24,19.8882

2018-05-23,22.1991

2018-05-22,20.5922

2018-05-21,19.4734

2018-05-18,22.4540

2018-05-17,22.6103

2018-05-16,25.7184

2018-05-15,31.4587

2018-05-14,30.7099

2018-05-11,34.0628

2018-05-10,32.6092

2018-05-09,34.8164

2018-05-08,30.0154

2018-05-07,27.6097

2018-05-04,27.9930

2018-05-03,31.9556

2018-05-02,36.9089

2018-05-01,41.2574

2018-04-30,38.2966

2018-04-27,38.5279

2018-04-26,38.8169

2018-04-25,42.8900

2018-04-24,41.1630

2018-04-23,40.3440

2018-04-20,44.1053

2018-04-19,51.5656

2018-04-18,52.1906

2018-04-17,45.2597

2018-04-16,37.4095

2018-04-13,33.1140

2018-04-12,31.8326

2018-04-11,30.2307

2018-04-10,28.2284

2018-04-09,26.1432

2018-04-06,30.4292

2018-04-05,33.3270

2018-04-04,36.2915

2018-04-03,43.9027

2018-04-02,49.4680

2018-03-29,51.2603

2018-03-28,56.0046

2018-03-27,52.4034

2018-03-26,51.1046

2018-03-23,52.7664

2018-03-22,54.8436

2018-03-21,63.0322

2018-03-20,62.0510

2018-03-19,62.1420

2018-03-16,66.7252

2018-03-15,64.4918

2018-03-14,64.6742

2018-03-13,64.9022

2018-03-12,68.3400

2018-03-09,64.8235

2018-03-08,60.8768

2018-03-07,56.7699

2018-03-06,52.8754

2018-03-05,48.9186

2018-03-02,45.8783

2018-03-01,50.0278

2018-02-28,59.5273

2018-02-27,59.8110

2018-02-26,58.6533

2018-02-23,57.2063

2018-02-22,56.7301

2018-02-21,56.1347

2018-02-20,51.3739

2018-02-16,46.8796

2018-02-15,41.3426

2018-02-14,34.7979

2018-02-13,28.0342

2018-02-12,28.5736

2018-02-09,35.3768

2018-02-08,28.7991

2018-02-07,25.6507

2018-02-06,25.4483

2018-02-05,18.7938

2018-02-02,21.8044

2018-02-01,22.6606

2018-01-31,23.7309

2018-01-30,26.3120

2018-01-29,30.6282

2018-01-26,31.1694

2018-01-25,32.4778

2018-01-24,38.6814

2018-01-23,38.1699

2018-01-22,39.7973

2018-01-19,43.2373

2018-01-18,39.6296

2018-01-17,38.9885

2018-01-16,45.5105

2018-01-12,53.6630

2018-01-11,50.2503

2018-01-10,46.7598

2018-01-09,42.3968

2018-01-08,38.7371

2018-01-05,35.1924

2018-01-04,30.7616

2018-01-03,26.1309

2018-01-02,30.2409

2017-12-29,34.0637

2017-12-28,33.1134

2017-12-27,36.1720

2017-12-26,43.8438

2017-12-22,53.3558

2017-12-21,63.4188

2017-12-20,59.5335

2017-12-19,55.2717

2017-12-18,49.9444

2017-12-15,44.3597

2017-12-14,39.0653

2017-12-13,33.2747

2017-12-12,28.0991

2017-12-11,30.7070

2017-12-08,31.9426

2017-12-07,36.2842

2017-12-06,36.7607

2017-12-05,31.3890

2017-12-04,28.5815

2017-12-01,25.0721

2017-11-30,24.2478

2017-11-29,28.8165

2017-11-28,29.7243

2017-11-27,36.2245

2017-11-24,43.1315

2017-11-22,45.0947

2017-11-21,45.7133

2017-11-20,47.6270

2017-11-17,52.4355

2017-11-16,61.4980

2017-11-15,69.9211

2017-11-14,65.8008

2017-11-13,61.0708

2017-11-10,55.4676

2017-11-09,48.4636

2017-11-08,40.6929

2017-11-07,31.1665

2017-11-06,34.3390

2017-11-03,28.8243

2017-11-02,27.1387

2017-11-01,25.0316

2017-10-31,25.9559

2017-10-30,21.1852

2017-10-27,17.2364

2017-10-26,20.6755

2017-10-25,20.8688

2017-10-24,22.8363

2017-10-23,18.1139

2017-10-20,15.4027

2017-10-19,18.3486

2017-10-18,21.8560

2017-10-17,23.1064

2017-10-16,28.1410

2017-10-13,29.5754

2017-10-12,26.8473

2017-10-11,22.9104

2017-10-10,20.4028

2017-10-09,22.4310

2017-10-06,23.4833

2017-10-05,29.1218

2017-10-04,33.8852

2017-10-03,41.4438

2017-10-02,42.1734

2017-09-29,40.2124

2017-09-28,40.5068

2017-09-27,45.1089

2017-09-26,54.2068

2017-09-25,53.3375

2017-09-22,52.2508

2017-09-21,62.5552

2017-09-20,75.4357

2017-09-19,74.7092

2017-09-18,71.7288

2017-09-15,68.0034

2017-09-14,63.7742

2017-09-13,59.8832

2017-09-12,56.2637

2017-09-11,52.1169

2017-09-08,48.8909

2017-09-07,47.3047

2017-09-06,45.3219

2017-09-05,42.0558

2017-09-01,42.7985

2017-08-31,36.0614

2017-08-30,27.6399

2017-08-29,20.7931

2017-08-28,24.9399

2017-08-25,25.5084

2017-08-24,21.1555

2017-08-23,23.6253

2017-08-22,26.7125

2017-08-21,30.9884

2017-08-18,33.1560

2017-08-17,39.7904

2017-08-16,48.0835

2017-08-15,54.9533

2017-08-14,67.8268

2017-08-11,80.4915

2017-08-10,78.0495

2017-08-09,74.9970

2017-08-08,71.1813

2017-08-07,67.7513

2017-08-04,63.6375

2017-08-03,60.1445

2017-08-02,57.1335

2017-08-01,53.3697

2017-07-31,48.9037

2017-07-28,43.4897

2017-07-27,36.7223

2017-07-26,45.8392

2017-07-25,41.4053

2017-07-24,37.8942

2017-07-21,34.3694

2017-07-20,39.0847

2017-07-19,44.9788

2017-07-18,40.2701

2017-07-17,39.9142

2017-07-14,35.8725

2017-07-13,29.8918

2017-07-12,24.1860

2017-07-11,17.6802

2017-07-10,18.2860

2017-07-07,20.8480

2017-07-06,25.3660

2017-07-05,26.0507

2017-07-03,26.9067

2017-06-30,23.4781

2017-06-29,22.4617

2017-06-28,21.5160

2017-06-27,25.8278

2017-06-26,31.0027

2017-06-23,32.3308

2017-06-22,29.7495

2017-06-21,36.9279

2017-06-20,40.0780

2017-06-19,47.0444

2017-06-16,55.5456

2017-06-15,53.6704

2017-06-14,48.0280

2017-06-13,42.3005

2017-06-12,36.2503

2017-06-09,28.6877

2017-06-08,27.2346

2017-06-07,30.8755

2017-06-06,26.6401

2017-06-05,21.3459

2017-06-02,21.6157

2017-06-01,25.4754

2017-05-31,23.3163

2017-05-30,19.8480

2017-05-26,19.1607

2017-05-25,19.3795

2017-05-24,19.6530

2017-05-23,19.9197

2017-05-22,20.2530

2017-05-19,24.4173

2017-05-18,28.2854

2017-05-17,26.7796

2017-05-16,24.8974

2017-05-15,28.5033

2017-05-12,26.3705

2017-05-11,28.0818

2017-05-10,30.2209

2017-05-09,30.7798

2017-05-08,34.0733

2017-05-05,31.8926

2017-05-04,32.8436

2017-05-03,37.4875

2017-05-02,41.9579

2017-05-01,47.5459

2017-04-28,49.1864

2017-04-27,47.9750

2017-04-26,46.9841

2017-04-25,41.6019

2017-04-24,36.6904

2017-04-21,42.7354

2017-04-20,39.9935

2017-04-19,36.5661

2017-04-18,32.2819

2017-04-17,31.1824

2017-04-13,38.0134

2017-04-12,46.6087

2017-04-11,49.2550

2017-04-10,57.0414

2017-04-07,54.8304

2017-04-06,53.9361

2017-04-05,51.0783

2017-04-04,45.2054

2017-04-03,38.8442

2017-03-31,32.7383

2017-03-30,40.5111

2017-03-29,37.6558

2017-03-28,35.9328

2017-03-27,33.7790

2017-03-24,27.5398

2017-03-23,28.8559

2017-03-22,28.9823

2017-03-21,31.3092

2017-03-20,37.5570

2017-03-17,40.3927

2017-03-16,41.8639

2017-03-15,42.0534

2017-03-14,47.4586

2017-03-13,40.5701

2017-03-10,33.1595

2017-03-09,28.1761

2017-03-08,28.3536

2017-03-07,28.5754

2017-03-06,31.4179

2017-03-03,29.0892

2017-03-02,29.1388

2017-03-01,31.4406

2017-02-28,38.9276

2017-02-27,48.2865

2017-02-24,53.5094

2017-02-23,60.0380

2017-02-22,62.9814

2017-02-21,58.1227

2017-02-17,52.5958

2017-02-16,47.0893

2017-02-15,38.1304

2017-02-14,27.7295

2017-02-13,33.9295

2017-02-10,41.6796

2017-02-09,40.4674

2017-02-08,38.2913

2017-02-07,45.2181

2017-02-06,47.3781

2017-02-03,50.0782

2017-02-02,50.5072

2017-02-01,51.0435

2017-01-31,53.5454

2017-01-30,61.9827

2017-01-27,75.3546

2017-01-26,85.8277

2017-01-25,93.9304

2017-01-24,92.7010

2017-01-23,91.2916

2017-01-20,89.6619

2017-01-19,87.6247

2017-01-18,85.1266

2017-01-17,82.3836

2017-01-13,79.5323

2017-01-12,75.9993

2017-01-11,71.6634

2017-01-10,66.3260

2017-01-09,61.3561

2017-01-06,56.0882

2017-01-05,50.6075

2017-01-04,45.4701

2017-01-03,40.1666

2016-12-30,33.8433

2016-12-29,32.3563

2016-12-28,30.4975

2016-12-27,35.2883

2016-12-23,42.4071

2016-12-22,41.6690

2016-12-21,39.0571

2016-12-20,37.8839

2016-12-19,38.0644

2016-12-16,38.2901

2016-12-15,42.1946

2016-12-14,47.0753

2016-12-13,41.5058

2016-12-12,36.1931

2016-12-09,30.8986

2016-12-08,33.4824

2016-12-07,36.7122

2016-12-06,44.5490

2016-12-05,47.8455

2016-12-02,51.6020

2016-12-01,48.6962

2016-11-30,47.0064

2016-11-29,56.3479

2016-11-28,63.7079

2016-11-25,67.1287

2016-11-23,65.0069

2016-11-22,62.6149

2016-11-21,59.6249

2016-11-18,56.8161

2016-11-17,53.4289

2016-11-16,51.8652

2016-11-15,54.7701

2016-11-14,53.7044

2016-11-11,51.8921

2016-11-10,45.6402

2016-11-09,38.2824

2016-11-08,38.8811

2016-11-07,48.0756

2016-11-04,58.9451

2016-11-03,57.0500

2016-11-02,52.6793

2016-11-01,47.6522

2016-10-31,42.9261

2016-10-28,37.0185

2016-10-27,34.5591

2016-10-26,31.4849

2016-10-25,36.2999

2016-10-24,40.4606

2016-10-21,34.8274

2016-10-20,31.8058

2016-10-19,25.5509

2016-10-18,18.5132

2016-10-17,16.1936

2016-10-14,17.9155

2016-10-13,18.0590

2016-10-12,14.2354

2016-10-11,15.1542

2016-10-10,16.3027

2016-10-07,14.6276

2016-10-06,15.6462

2016-10-05,14.6433

2016-10-04,16.3525

2016-10-03,19.1600

2016-09-30,22.9052

2016-09-29,24.5131

2016-09-28,26.8893

2016-09-27,29.7035

2016-09-26,36.9678

2016-09-23,43.9559

2016-09-22,52.6911

2016-09-21,54.3077

2016-09-20,57.1448

2016-09-19,50.8288

2016-09-16,42.9339

2016-09-15,40.7507

2016-09-14,44.5116

2016-09-13,49.2128

2016-09-12,59.4369

2016-09-09,72.2170

2016-09-08,85.0040

2016-09-07,86.6214

2016-09-06,84.0492

2016-09-02,81.2877

2016-09-01,78.3566

2016-08-31,75.1221

2016-08-30,71.0789

2016-08-29,66.0248

2016-08-26,62.4585

2016-08-25,58.4891

2016-08-24,53.5273

2016-08-23,47.3252

2016-08-22,44.1784

2016-08-19,48.8789

2016-08-18,51.6052

2016-08-17,57.5377

2016-08-16,69.2649

2016-08-15,78.5537

2016-08-12,80.3865

2016-08-11,77.6976

2016-08-10,74.3366

2016-08-09,71.0444

2016-08-08,66.9291

2016-08-05,63.3880

2016-08-04,62.3041

2016-08-03,61.3336

2016-08-02,58.2954

2016-08-01,53.8660

2016-07-29,48.6944

2016-07-28,42.5556

2016-07-27,31.7426

2016-07-26,18.2263

2016-07-25,19.4758

2016-07-22,21.0376

2016-07-21,22.9853

2016-07-20,28.5759

2016-07-19,31.1521

2016-07-18,36.1069

2016-07-15,43.2728

2016-07-14,51.4174

2016-07-13,60.9123

2016-07-12,63.4755

2016-07-11,59.4919

2016-07-08,55.4287

2016-07-07,51.8779

2016-07-06,50.7003

2016-07-05,47.9789

2016-07-01,42.9174

2016-06-30,37.1848

2016-06-29,31.8455

2016-06-28,25.9253

