time,AROONOSC

2019-11-15,-20.0000

2019-11-14,-20.0000

2019-11-13,60.0000

2019-11-12,40.0000

2019-11-11,-60.0000

2019-11-08,40.0000

2019-11-07,60.0000

2019-11-06,60.0000

2019-11-05,60.0000

2019-11-04,100.0000

2019-11-01,100.0000

2019-10-31,100.0000

2019-10-30,60.0000

2019-10-29,60.0000

2019-10-28,60.0000

2019-10-25,-60.0000

2019-10-24,-80.0000

2019-10-23,-80.0000

2019-10-22,-100.0000

2019-10-21,-80.0000

2019-10-18,-100.0000

2019-10-17,-60.0000

2019-10-16,-60.0000

2019-10-15,60.0000

2019-10-14,60.0000

2019-10-11,100.0000

2019-10-10,40.0000

2019-10-09,60.0000

2019-10-08,60.0000

2019-10-07,100.0000

2019-10-04,80.0000

2019-10-03,-40.0000

2019-10-02,-40.0000

2019-10-01,-80.0000

2019-09-30,-100.0000

2019-09-27,-60.0000

2019-09-26,-80.0000

2019-09-25,-100.0000

2019-09-24,-80.0000

2019-09-23,-60.0000

2019-09-20,-100.0000

2019-09-19,-80.0000

2019-09-18,-100.0000

2019-09-17,-60.0000

2019-09-16,-80.0000

2019-09-13,-100.0000

2019-09-12,-100.0000

2019-09-11,-100.0000

2019-09-10,-100.0000

2019-09-09,-80.0000

2019-09-06,-100.0000

2019-09-05,-100.0000

2019-09-04,-80.0000

2019-09-03,-100.0000

2019-08-30,-100.0000

2019-08-29,-80.0000

2019-08-28,-60.0000

2019-08-27,60.0000

2019-08-26,60.0000

2019-08-23,60.0000

2019-08-22,100.0000

2019-08-21,80.0000

2019-08-20,-40.0000

2019-08-19,-40.0000

2019-08-16,-40.0000

2019-08-15,-40.0000

2019-08-14,80.0000

2019-08-13,80.0000

2019-08-12,60.0000

2019-08-09,-20.0000

2019-08-08,-40.0000

2019-08-07,-40.0000

2019-08-06,-40.0000

2019-08-05,-40.0000

2019-08-02,60.0000

2019-08-01,60.0000

2019-07-31,-60.0000

2019-07-30,-60.0000

2019-07-29,-60.0000

2019-07-26,0.0000

2019-07-25,80.0000

2019-07-24,80.0000

2019-07-23,80.0000

2019-07-22,80.0000

2019-07-19,60.0000

2019-07-18,-60.0000

2019-07-17,-80.0000

2019-07-16,-80.0000

2019-07-15,-40.0000

2019-07-12,60.0000

2019-07-11,60.0000

2019-07-10,60.0000

2019-07-09,-40.0000

2019-07-08,40.0000

2019-07-05,40.0000

2019-07-03,40.0000

2019-07-02,40.0000

2019-07-01,-80.0000

2019-06-28,-100.0000

2019-06-27,-60.0000

2019-06-26,-60.0000

2019-06-25,-60.0000

2019-06-24,20.0000

