time,PPO
2019-11-15,2.7850
2019-11-14,2.5712
2019-11-13,2.4964
2019-11-12,2.1369
2019-11-11,1.6430
2019-11-08,1.2678
2019-11-07,0.7309
2019-11-06,0.2890
2019-11-05,0.1678
2019-11-04,-0.1199
2019-11-01,-0.0370
2019-10-31,0.0161
2019-10-30,0.3435
2019-10-29,0.7116
2019-10-28,0.9771
2019-10-25,1.1057
2019-10-24,1.1617
2019-10-23,1.1573
2019-10-22,1.3472
2019-10-21,1.6688
2019-10-18,1.5940
2019-10-17,1.0355
2019-10-16,0.2257
2019-10-15,-0.4230
2019-10-14,-1.3965
2019-10-11,-2.2407
2019-10-10,-3.0866
2019-10-09,-4.0692
2019-10-08,-4.6140
2019-10-07,-5.1658
2019-10-04,-5.6360
2019-10-03,-6.0180
2019-10-02,-6.3890
2019-10-01,-6.6609
2019-09-30,-6.9624
2019-09-27,-7.2524
2019-09-26,-7.2665
2019-09-25,-7.2469
2019-09-24,-6.9290
2019-09-23,-6.4899
2019-09-20,-6.1344
2019-09-19,-5.7874
2019-09-18,-5.6696
2019-09-17,-5.2858
2019-09-16,-5.0427
2019-09-13,-4.7745
2019-09-12,-4.0382
2019-09-11,-3.2886
2019-09-10,-2.5402
2019-09-09,-1.8689
2019-09-06,-1.5309
2019-09-05,-1.2540
2019-09-04,-1.0383
2019-09-03,-0.9135
2019-08-30,-0.9317
2019-08-29,-0.9007
2019-08-28,-0.6301
2019-08-27,-0.4201
2019-08-26,-0.2585
2019-08-23,-0.1540
2019-08-22,-0.1744
2019-08-21,-0.3423
2019-08-20,-0.4318
2019-08-19,-0.1999
2019-08-16,0.0722
2019-08-15,0.3170
2019-08-14,0.5593
2019-08-13,0.7460
2019-08-12,0.8572
2019-08-09,0.8881
2019-08-08,1.1959
2019-08-07,1.1741
2019-08-06,1.2555
2019-08-05,1.4353
2019-08-02,1.5260
2019-08-01,1.3843
2019-07-31,1.0790
2019-07-30,0.8790
2019-07-29,0.6144
2019-07-26,0.4168
2019-07-25,0.3001
2019-07-24,0.3110
2019-07-23,0.0523
2019-07-22,-0.0016
2019-07-19,-0.0555
2019-07-18,-0.0666
2019-07-17,-0.0536
2019-07-16,-0.1522
2019-07-15,-0.2081
2019-07-12,-0.3778
2019-07-11,-0.5257
2019-07-10,-0.3878
2019-07-09,0.0770
2019-07-08,0.5107
2019-07-05,0.7355
2019-07-03,1.0554
2019-07-02,1.3942
2019-07-01,1.5661
2019-06-28,1.8441
2019-06-27,2.0892
2019-06-26,2.3208
2019-06-25,2.7848
2019-06-24,3.0969
2019-06-21,3.2306
2019-06-20,2.9743
2019-06-19,2.6532
2019-06-18,2.1662
2019-06-17,1.7657
2019-06-14,1.5385
2019-06-13,1.0619
2019-06-12,0.7219
2019-06-11,0.2361
2019-06-10,-0.2782
2019-06-07,-0.5964
2019-06-06,-0.8239
2019-06-05,-0.9323
2019-06-04,-0.8309
2019-06-03,-0.9031
2019-05-31,-0.2892
2019-05-30,-0.0614
2019-05-29,0.1306
2019-05-28,0.9422
