time,SlowD,SlowK
2019-11-18,53.2695,33.6170
2019-11-15,68.1513,56.8896
2019-11-14,70.9263,69.3017
2019-11-13,64.6900,78.2626
2019-11-12,57.6581,65.2146
2019-11-11,56.4558,50.5928
2019-11-08,64.8951,57.1667
2019-11-07,74.3488,61.6079
2019-11-06,79.6688,75.9108
2019-11-05,80.2281,85.5277
2019-11-04,76.5255,77.5679
2019-11-01,80.1639,77.5886
2019-10-31,83.4513,74.4199
2019-10-30,85.6921,88.4831
2019-10-29,76.4150,87.4508
2019-10-28,57.7807,81.1425
2019-10-25,37.0481,60.6516
2019-10-24,21.8480,31.5480
2019-10-23,22.2939,18.9446
2019-10-22,29.2117,15.0514
2019-10-21,41.8020,32.8856
2019-10-18,50.8466,39.6979
2019-10-17,61.4497,52.8224
2019-10-16,70.8070,60.0195
2019-10-15,77.6355,71.5073
2019-10-14,79.8703,80.8942
2019-10-11,79.0366,80.5051
2019-10-10,80.7835,78.2117
2019-10-09,86.0656,78.3932
2019-10-08,84.8310,85.7457
2019-10-07,73.3302,94.0580
2019-10-04,53.4256,74.6894
2019-10-03,40.1432,51.2432
2019-10-02,36.0359,34.3444
2019-10-01,36.9217,34.8419
2019-09-30,35.2217,38.9212
2019-09-27,28.9034,37.0021
2019-09-26,19.9393,29.7418
2019-09-25,15.9343,19.9662
2019-09-24,17.0316,10.1099
2019-09-23,23.3810,17.7268
2019-09-20,24.8787,23.2580
2019-09-19,22.1519,29.1582
2019-09-18,15.2853,22.2199
2019-09-17,10.3163,15.0775
2019-09-16,8.6394,8.5586
2019-09-13,10.6847,7.3127
2019-09-12,13.0071,10.0471
2019-09-11,14.6934,14.6944
2019-09-10,13.4909,14.2799
2019-09-09,13.2924,15.1058
2019-09-06,14.4418,11.0871
2019-09-05,16.7628,13.6842
2019-09-04,17.4040,18.5540
2019-09-03,15.2605,18.0501
2019-08-30,17.3913,15.6080
2019-08-29,26.1343,12.1233
2019-08-28,43.1335,24.4426
2019-08-27,58.7189,41.8371
2019-08-26,69.5375,63.1207
2019-08-23,68.7794,71.1990
2019-08-22,60.5736,74.2928
2019-08-21,45.4458,60.8463
2019-08-20,32.3907,46.5818
2019-08-19,31.3752,28.9092
2019-08-16,42.0821,21.6811
2019-08-15,62.9170,43.5353
2019-08-14,75.4941,61.0297
2019-08-13,78.5568,84.1859
2019-08-12,65.8879,81.2666
2019-08-09,45.9728,70.2180
2019-08-08,32.0942,46.1792
2019-08-07,30.2800,21.5211
2019-08-06,41.6755,28.5824
2019-08-05,50.2941,40.7366
2019-08-02,53.5919,55.7076
2019-08-01,51.5600,54.4382
2019-07-31,47.7097,50.6300
2019-07-30,48.3065,49.6118
2019-07-29,51.3751,42.8872
2019-07-26,61.0610,52.4205
2019-07-25,69.7093,58.8177
2019-07-24,74.4633,71.9449
2019-07-23,71.2530,78.3652
2019-07-22,55.9289,73.0799
2019-07-19,38.8899,62.3140
2019-07-18,25.1075,32.3929
2019-07-17,26.7820,21.9629
2019-07-16,36.1142,20.9667
2019-07-15,52.3589,37.4163
2019-07-12,64.8893,49.9597
2019-07-11,73.9617,69.7007
2019-07-10,73.7273,75.0076
2019-07-09,73.4746,77.1767
2019-07-08,71.6149,68.9976
2019-07-05,68.7677,74.2494
2019-07-03,56.8427,71.5978
2019-07-02,39.3491,60.4559
2019-07-01,22.4327,38.4743
2019-06-28,13.0893,19.1169
2019-06-27,18.4450,9.7068
2019-06-26,36.6550,10.4442
2019-06-25,60.3179,35.1839
2019-06-24,72.9812,64.3370
2019-06-21,72.7798,81.4328
2019-06-20,62.0461,73.1737
2019-06-19,51.6031,63.7329
2019-06-18,42.5848,49.2317
2019-06-17,40.4731,41.8448
2019-06-14,46.1516,36.6779
2019-06-13,57.9238,42.8967
2019-06-12,73.2258,58.8801
2019-06-11,84.8462,71.9945
2019-06-10,90.6209,88.8029
2019-06-07,82.9005,93.7411
2019-06-06,70.4206,89.3186
2019-06-05,61.6310,65.6416
2019-06-04,62.4572,56.3016
2019-06-03,63.2378,62.9497
2019-05-31,55.4417,68.1202
2019-05-30,42.9387,58.6434
2019-05-29,35.5992,39.5615
2019-05-28,34.2192,30.6112
2019-05-24,38.7292,36.6249
2019-05-23,41.9736,35.4215
2019-05-22,44.7616,44.1413
2019-05-21,48.4901,46.3580
2019-05-20,46.2235,43.7855
2019-05-17,44.4552,55.3268
2019-05-16,41.1850,39.5583
2019-05-15,50.7017,38.4805
2019-05-14,67.3332,45.5162
2019-05-13,76.7913,68.1083
2019-05-10,80.2101,88.3751
2019-05-09,78.2822,73.8906
2019-05-08,86.0839,78.3647
2019-05-07,88.8935,82.5913
2019-05-06,89.2767,97.2958
2019-05-03,83.6416,86.7934
2019-05-02,85.1693,83.7410
2019-05-01,88.7021,80.3905
2019-04-30,94.0339,91.3762
2019-04-29,95.0519,94.3397
2019-04-26,93.5346,96.3858
2019-04-25,85.7324,94.4303
2019-04-24,71.5935,89.7876
2019-04-23,56.9542,72.9793
2019-04-22,52.0579,52.0136
2019-04-18,60.2221,45.8696
2019-04-17,71.7222,58.2906
2019-04-16,80.5190,76.5060
2019-04-15,82.9272,80.3699
2019-04-12,84.1787,84.6811
2019-04-11,81.1540,83.7307
2019-04-10,74.6737,84.1243
2019-04-09,64.6513,75.6069
2019-04-08,55.3891,64.2900
2019-04-05,49.8576,54.0570
2019-04-04,51.1209,47.8203
2019-04-03,53.6343,47.6955
2019-04-02,53.5236,57.8469
2019-04-01,51.3238,55.3603
2019-03-29,53.2800,47.3635
2019-03-28,63.0276,51.2475
2019-03-27,72.3148,61.2289
2019-03-26,80.9904,76.6064
2019-03-25,84.8203,79.1090
2019-03-22,82.2055,87.2557
2019-03-21,68.6092,88.0961
2019-03-20,56.5197,71.2648
2019-03-19,51.7689,46.4667
2019-03-18,61.3224,51.8275
2019-03-15,67.3992,57.0125
2019-03-14,67.7262,75.1272
2019-03-13,57.3076,70.0578
2019-03-12,42.0874,57.9936
2019-03-11,29.2975,43.8714
2019-03-08,20.9364,24.3971
2019-03-07,19.2911,19.6239
2019-03-06,19.9414,18.7883
2019-03-05,26.4875,19.4612
2019-03-04,40.7735,21.5746
2019-03-01,56.3897,38.4268
2019-02-28,59.8986,62.3191
2019-02-27,46.3043,68.4232
2019-02-26,28.6431,48.9535
2019-02-25,25.9006,21.5362
2019-02-22,42.7662,15.4397
2019-02-21,69.7217,40.7259
2019-02-20,87.2984,72.1330
2019-02-19,93.7597,96.3060
2019-02-15,89.2822,93.4562
2019-02-14,83.7439,91.5168
2019-02-13,70.8007,82.8735
2019-02-12,59.1414,76.8415
2019-02-11,50.6464,52.6873
2019-02-08,58.0347,47.8955
2019-02-07,71.6575,51.3566
2019-02-06,84.0413,74.8520
2019-02-05,88.7021,88.7639
2019-02-04,83.4167,88.5080
2019-02-01,77.2183,88.8345
2019-01-31,71.2605,72.9077
2019-01-30,73.5567,69.9126
2019-01-29,73.7919,70.9612
2019-01-28,67.7938,79.7964
2019-01-25,60.6345,70.6181
2019-01-24,61.0951,52.9668
2019-01-23,71.4605,58.3186
2019-01-22,79.6307,71.9997
2019-01-18,80.5659,84.0632
2019-01-17,78.4371,82.8292
2019-01-16,78.4800,74.8054
2019-01-15,85.2511,77.6768
2019-01-14,91.0168,82.9578
2019-01-11,95.0354,95.1185
2019-01-10,93.7646,94.9742
2019-01-09,83.3818,95.0134
2019-01-08,72.2180,91.3061
2019-01-07,62.6211,63.8257
2019-01-04,71.2107,61.5221
2019-01-03,81.5005,62.5155
2019-01-02,91.1855,89.5947
2018-12-31,84.9113,92.3913
2018-12-28,68.5840,91.5706
2018-12-27,47.3033,70.7721
2018-12-26,34.2432,43.4093
2018-12-24,30.9132,27.7285
2018-12-21,28.4593,31.5918
2018-12-20,22.8724,33.4193
2018-12-19,14.8592,20.3667
2018-12-18,11.5902,14.8312
2018-12-17,12.5256,9.3797
2018-12-14,18.1254,10.5597
2018-12-13,24.0402,17.6375
2018-12-12,28.9652,26.1789
2018-12-11,32.4052,28.3042
2018-12-10,43.0818,32.4125
2018-12-07,54.7174,36.4989
2018-12-06,68.9435,60.3339
2018-12-04,76.9686,67.3195
2018-12-03,82.2460,79.1771
2018-11-30,82.2619,84.4093
2018-11-29,73.9708,83.1517
2018-11-28,61.7957,79.2246
2018-11-27,46.2024,59.5360
2018-11-26,33.8827,46.6266
2018-11-23,32.7410,32.4446
2018-11-21,40.5684,22.5768
2018-11-20,53.5613,43.2017
2018-11-19,51.4882,55.9266
2018-11-16,38.1795,61.5555
2018-11-15,20.2088,36.9824
2018-11-14,13.8165,16.0007
2018-11-13,20.3205,7.6433
2018-11-12,34.5383,17.8056
2018-11-09,46.2050,35.5127
2018-11-08,54.2844,50.2966
2018-11-07,62.9760,52.8059
2018-11-06,74.4068,59.7509
2018-11-05,79.3983,76.3714
2018-11-02,70.8775,87.0980
2018-11-01,53.0635,74.7254
2018-10-31,41.7401,50.8092
2018-10-30,35.6988,33.6560
2018-10-29,35.7757,40.7553
2018-10-26,31.5239,32.6852
2018-10-25,30.9136,33.8865
2018-10-24,28.9627,27.9998
2018-10-23,34.5854,30.8545
2018-10-22,48.4248,28.0338
2018-10-19,65.3618,44.8679
2018-10-18,70.6372,72.3727
2018-10-17,57.2507,78.8449
2018-10-16,36.4815,60.6940
2018-10-15,18.6006,32.2133
2018-10-12,9.6603,16.5372
2018-10-11,7.8351,7.0511
2018-10-10,9.3205,5.3927
2018-10-09,15.1381,11.0614
2018-10-08,18.5885,11.5075
2018-10-05,23.9980,22.8453
2018-10-04,31.2697,21.4127
2018-10-03,46.8432,27.7360
2018-10-02,65.0054,44.6604
2018-10-01,78.2894,68.1331
2018-09-28,76.3944,82.2227
2018-09-27,67.2172,84.5125
2018-09-26,51.7467,62.4479
2018-09-25,43.6260,54.6913
2018-09-24,38.7624,38.1010
2018-09-21,35.5033,38.0857
2018-09-20,38.2743,40.1005
2018-09-19,44.5371,28.3237
2018-09-18,64.3110,46.3988
2018-09-17,79.7905,58.8890
2018-09-14,91.0975,87.6451
2018-09-13,89.0045,92.8374
2018-09-12,79.2164,92.8100
2018-09-11,63.2471,81.3660
2018-09-10,54.3297,63.4733
2018-09-07,57.6324,44.9020
2018-09-06,72.0046,54.6137
2018-09-05,82.2629,73.3814
2018-09-04,86.2509,88.0186
2018-08-31,87.0431,85.3888
2018-08-30,90.2755,85.3453
2018-08-29,93.1192,90.3954
2018-08-28,94.3536,95.0859
2018-08-27,92.4050,93.8763
2018-08-24,84.1409,94.0988
2018-08-23,70.6780,89.2400
2018-08-22,51.7115,69.0838
2018-08-21,38.0634,53.7102
2018-08-20,26.9728,32.3406
2018-08-17,26.6374,28.1395
2018-08-16,34.6079,20.4384
2018-08-15,52.1462,31.3343
2018-08-14,70.9725,52.0510
2018-08-13,84.7599,73.0534
2018-08-10,92.0040,87.8130
2018-08-09,90.7753,93.4133
2018-08-08,81.8646,94.7857
2018-08-07,62.4274,84.1270
2018-08-06,39.8410,66.6811
2018-08-03,19.1882,36.4740
2018-08-02,9.0271,16.3679
2018-08-01,10.3542,4.7227
2018-07-31,25.4262,5.9907
2018-07-30,44.7454,20.3491
2018-07-27,63.6672,49.9390
2018-07-26,66.1600,63.9481
2018-07-25,63.1792,77.1145
2018-07-24,54.6832,57.4174
2018-07-23,57.3542,55.0056
2018-07-20,64.7610,51.6265
2018-07-19,71.4973,65.4305
2018-07-18,75.6201,77.2259
2018-07-17,72.8777,71.8354
2018-07-16,71.2344,77.7991
2018-07-13,65.2448,68.9987
2018-07-12,66.1678,66.9055
2018-07-11,73.1883,59.8302
2018-07-10,83.5669,71.7676
2018-07-09,90.4732,87.9670
2018-07-06,89.1305,90.9662
2018-07-05,81.3576,92.4864
2018-07-03,63.8976,83.9390
2018-07-02,43.1683,67.6474
2018-06-29,24.5200,40.1065
2018-06-28,15.8804,21.7509
2018-06-27,17.8446,11.7027
2018-06-26,31.6397,14.1876
2018-06-25,53.2539,27.6436
2018-06-22,73.8549,53.0879
2018-06-21,85.1651,79.0303
2018-06-20,87.7234,89.4464
2018-06-19,86.0570,87.0187
2018-06-18,86.5832,86.7050
2018-06-15,85.8101,84.4473
2018-06-14,86.9967,88.5975
2018-06-13,84.3001,84.3855
2018-06-12,84.6895,88.0072
2018-06-11,84.2251,80.5076
2018-06-08,88.6145,85.5538
2018-06-07,90.6149,86.6141
2018-06-06,91.6306,93.6757
2018-06-05,87.0554,91.5549
2018-06-04,79.4764,89.6612
2018-06-01,66.9252,79.9502
2018-05-31,53.9096,68.8178
2018-05-30,39.7826,52.0075
2018-05-29,28.8995,40.9035
2018-05-25,24.1840,26.4368
2018-05-24,32.9743,19.3582
2018-05-23,51.7616,26.7570
2018-05-22,70.7651,52.8077
2018-05-21,76.2509,75.7201
2018-05-18,71.2928,83.7674
2018-05-17,66.5532,69.2650
2018-05-16,68.9398,60.8461
2018-05-15,75.0206,69.5484
2018-05-14,78.0547,76.4250
2018-05-11,81.4694,79.0884
2018-05-10,83.0980,78.6507
2018-05-09,83.2827,86.6689
2018-05-08,78.7311,83.9743
2018-05-07,72.1868,79.2049
2018-05-04,64.2773,73.0141
2018-05-03,54.0730,64.3415
2018-05-02,47.8713,55.4764
2018-05-01,40.8001,42.4011
2018-04-30,35.6607,45.7365
2018-04-27,25.3775,34.2628
2018-04-26,18.2545,26.9829
2018-04-25,17.3412,14.8869
2018-04-24,29.3859,12.8937
2018-04-23,50.0514,24.2432
2018-04-20,71.6695,51.0208
2018-04-19,82.6298,74.8902
2018-04-18,85.4316,89.0975
2018-04-17,78.0781,83.9018
2018-04-16,73.7464,83.2955
2018-04-13,66.7421,67.0370
2018-04-12,68.9310,70.9068
2018-04-11,69.6206,62.2824
2018-04-10,77.4658,73.6039
2018-04-09,80.4781,72.9755
2018-04-06,77.7092,85.8180
2018-04-05,65.3743,82.6408
2018-04-04,48.8697,64.6687
2018-04-03,35.3268,48.8133
2018-04-02,26.9963,33.1272
2018-03-29,22.1493,24.0399
2018-03-28,24.3259,23.8220
2018-03-27,31.1583,18.5859
2018-03-26,49.6348,30.5698
2018-03-23,65.6277,44.3190
2018-03-22,76.5263,74.0157
2018-03-21,71.5355,78.5483
2018-03-20,65.3820,77.0148
2018-03-19,56.5489,59.0434
2018-03-16,58.7885,60.0877
2018-03-15,63.5736,50.5156
2018-03-14,75.6943,65.7620
2018-03-13,84.4006,74.4431
2018-03-12,89.2200,86.8778
2018-03-09,90.0195,91.8808
2018-03-08,88.1671,88.9015
2018-03-07,83.3562,89.2762
2018-03-06,71.5261,86.3235
2018-03-05,55.5702,74.4690
2018-03-02,46.0216,53.7856
2018-03-01,47.8889,38.4560
2018-02-28,55.3637,45.8232
2018-02-27,64.0571,59.3875
2018-02-26,70.1581,60.8804
2018-02-23,81.3848,71.9036
2018-02-22,89.0827,77.6903
2018-02-21,94.8091,94.5605
2018-02-20,94.6627,94.9974
2018-02-16,94.3856,94.8694
2018-02-15,91.0116,94.1212
2018-02-14,79.8124,94.1660
2018-02-13,63.7409,84.7475
2018-02-12,50.0837,60.5236
2018-02-09,43.3194,45.9516
2018-02-08,42.2639,43.7760
2018-02-07,43.4809,40.2306
2018-02-06,50.3194,42.7852
2018-02-05,52.3792,47.4269
2018-02-02,54.5158,60.7460
2018-02-01,56.4558,48.9648
2018-01-31,67.6389,53.8366
2018-01-30,74.8333,66.5661
2018-01-29,78.5875,82.5139
2018-01-26,74.4757,75.4199
2018-01-25,67.9938,77.8286
2018-01-24,50.1029,70.1785
2018-01-23,30.5264,55.9743
2018-01-22,14.3348,24.1560
2018-01-19,18.7389,11.4490
2018-01-18,28.8411,7.3993
2018-01-17,43.6811,37.3684
2018-01-16,44.9857,41.7556
2018-01-12,49.3225,51.9193
2018-01-11,52.4351,41.2823
2018-01-10,62.0794,54.7658
2018-01-09,63.3095,61.2571
2018-01-08,58.3848,70.2154
2018-01-05,41.0206,58.4558
2018-01-04,27.0470,46.4833
2018-01-03,19.6165,18.1226
2018-01-02,28.6083,16.5353
2017-12-29,38.9945,24.1917
2017-12-28,51.4853,45.0980
2017-12-27,59.7241,47.6937
2017-12-26,73.1878,61.6643
2017-12-22,82.6619,69.8145
2017-12-21,88.7856,88.0845
2017-12-20,89.2572,90.0867
2017-12-19,88.9412,88.1855
2017-12-18,90.6036,89.4994
2017-12-15,88.4564,89.1386
2017-12-14,83.5676,93.1728
2017-12-13,72.7524,83.0579
2017-12-12,60.7531,74.4721
2017-12-11,45.1234,60.7272
2017-12-08,29.0978,47.0600
2017-12-07,17.6997,27.5829
2017-12-06,16.7223,12.6505
2017-12-05,21.2311,12.8658
2017-12-04,29.2718,24.6506
2017-12-01,37.0934,26.1768
2017-11-30,45.9645,36.9880
2017-11-29,49.4134,48.1154
