timestamp,open,high,low,close
2020-03-13,1.3777,1.3777,1.3777,1.3777
2020-03-12,1.3858,1.3858,1.3858,1.3858
2020-03-11,1.3911,1.3911,1.3911,1.3911
2020-03-10,1.3932,1.3932,1.3932,1.3932
2020-03-09,1.3993,1.3993,1.3993,1.3993
2020-03-06,1.3920,1.3920,1.3920,1.3920
2020-03-05,1.3834,1.3834,1.3834,1.3834
2020-03-04,1.3809,1.3809,1.3809,1.3809
2020-03-03,1.3778,1.3778,1.3778,1.3778
2020-03-02,1.3784,1.3784,1.3784,1.3784
2020-02-28,1.3728,1.3728,1.3728,1.3728
2020-02-27,1.3692,1.3692,1.3692,1.3692
2020-02-26,1.3666,1.3666,1.3666,1.3666
2020-02-25,1.3650,1.3650,1.3650,1.3650
2020-02-24,1.3627,1.3627,1.3627,1.3627
2020-02-21,1.3619,1.3619,1.3619,1.3619
2020-02-20,1.3611,1.3611,1.3611,1.3611
2020-02-19,1.3641,1.3641,1.3641,1.3641
2020-02-18,1.3664,1.3664,1.3664,1.3664
2020-02-14,1.3670,1.3670,1.3670,1.3670
2020-02-13,1.3676,1.3676,1.3676,1.3676
2020-02-12,1.3698,1.3698,1.3698,1.3698
2020-02-11,1.3693,1.3693,1.3693,1.3693
2020-02-10,1.3706,1.3706,1.3706,1.3706
2020-02-07,1.3704,1.3704,1.3704,1.3704
2020-02-06,1.3731,1.3731,1.3731,1.3731
2020-02-05,1.3749,1.3749,1.3749,1.3749
2020-02-04,1.3759,1.3759,1.3759,1.3759
2020-02-03,1.3766,1.3766,1.3766,1.3766
2020-01-31,1.3764,1.3764,1.3764,1.3764
2020-01-30,1.3754,1.3754,1.3754,1.3754
2020-01-29,1.3745,1.3745,1.3745,1.3745
2020-01-28,1.3747,1.3747,1.3747,1.3747
2020-01-27,1.3757,1.3757,1.3757,1.3757
2020-01-24,1.3765,1.3765,1.3765,1.3765
2020-01-23,1.3791,1.3791,1.3791,1.3791
2020-01-22,1.3786,1.3786,1.3786,1.3786
2020-01-21,1.3792,1.3792,1.3792,1.3792
2020-01-17,1.3801,1.3801,1.3801,1.3801
2020-01-16,1.3819,1.3819,1.3819,1.3819
2020-01-15,1.3810,1.3810,1.3810,1.3810
2020-01-14,1.3801,1.3801,1.3801,1.3801
2020-01-13,1.3795,1.3795,1.3795,1.3795
2020-01-10,1.3789,1.3789,1.3789,1.3789
2020-01-09,1.3789,1.3789,1.3789,1.3789
2020-01-08,1.3810,1.3810,1.3810,1.3810
2020-01-07,1.3838,1.3838,1.3838,1.3838
2020-01-06,1.3845,1.3845,1.3845,1.3845
2020-01-03,1.3808,1.3808,1.3808,1.3808
2020-01-02,1.3835,1.3835,1.3835,1.3835
2019-12-30,1.3823,1.3823,1.3823,1.3823
2019-12-27,1.3797,1.3797,1.3797,1.3797
2019-12-26,1.3771,1.3771,1.3771,1.3771
2019-12-23,1.3761,1.3761,1.3761,1.3761
2019-12-20,1.3772,1.3772,1.3772,1.3772
2019-12-19,1.3789,1.3789,1.3789,1.3789
2019-12-18,1.3790,1.3790,1.3790,1.3790
2019-12-17,1.3812,1.3812,1.3812,1.3812
2019-12-16,1.3820,1.3820,1.3820,1.3820
2019-12-13,1.3836,1.3836,1.3836,1.3836
2019-12-12,1.3800,1.3800,1.3800,1.3800
2019-12-11,1.3776,1.3776,1.3776,1.3776
2019-12-10,1.3781,1.3781,1.3781,1.3781
2019-12-09,1.3777,1.3777,1.3777,1.3777
2019-12-06,1.3782,1.3782,1.3782,1.3782
2019-12-05,1.3776,1.3776,1.3776,1.3776
2019-12-04,1.3761,1.3761,1.3761,1.3761
2019-12-03,1.3753,1.3753,1.3753,1.3753
2019-12-02,1.3718,1.3718,1.3718,1.3718
2019-11-27,1.3724,1.3724,1.3724,1.3724
2019-11-26,1.3725,1.3725,1.3725,1.3725
2019-11-25,1.3726,1.3726,1.3726,1.3726
2019-11-22,1.3747,1.3747,1.3747,1.3747
2019-11-21,1.3762,1.3762,1.3762,1.3762
2019-11-20,1.3747,1.3747,1.3747,1.3747
2019-11-19,1.3759,1.3759,1.3759,1.3759
2019-11-18,1.3752,1.3752,1.3752,1.3752
2019-11-15,1.3740,1.3740,1.3740,1.3740
2019-11-14,1.3717,1.3717,1.3717,1.3717
2019-11-13,1.3722,1.3722,1.3722,1.3722
2019-11-12,1.3725,1.3725,1.3725,1.3725
2019-11-11,1.3731,1.3731,1.3731,1.3731
2019-11-08,1.3730,1.3730,1.3730,1.3730
2019-11-07,1.3756,1.3756,1.3756,1.3756
2019-11-06,1.3758,1.3758,1.3758,1.3758
2019-11-05,1.3776,1.3776,1.3776,1.3776
2019-11-04,1.3793,1.3793,1.3793,1.3793
2019-11-01,1.3795,1.3795,1.3795,1.3795
2019-10-31,1.3789,1.3789,1.3789,1.3789
2019-10-30,1.3762,1.3762,1.3762,1.3762
2019-10-29,1.3744,1.3744,1.3744,1.3744
2019-10-28,1.3750,1.3750,1.3750,1.3750
2019-10-25,1.3756,1.3756,1.3756,1.3756
2019-10-24,1.3766,1.3766,1.3766,1.3766
2019-10-23,1.3757,1.3757,1.3757,1.3757
2019-10-22,1.3776,1.3776,1.3776,1.3776
2019-10-21,1.3788,1.3788,1.3788,1.3788
2019-10-18,1.3765,1.3765,1.3765,1.3765
2019-10-17,1.3756,1.3756,1.3756,1.3756
2019-10-16,1.3707,1.3707,1.3707,1.3707
