timestamp,open,high,low,close
2020-03-13,7.2484,7.5082,7.1316,7.3973
2020-03-12,7.3534,7.4937,7.1311,7.1998
2020-03-11,7.4576,7.4918,7.2533,7.3181
2020-03-10,7.3535,7.5730,7.3160,7.4693
2020-03-09,7.3350,7.5083,6.8952,7.3304
2020-03-08,7.5009,7.5009,7.2520,7.2876
2020-03-07,7.5009,7.5009,7.5009,7.5009
2020-03-06,7.5565,7.6719,7.4534,7.5009
2020-03-05,7.7994,7.8338,7.5306,7.6051
2020-03-04,7.7336,7.8393,7.6529,7.7513
2020-03-03,7.7218,7.8490,7.5525,7.6859
2020-03-02,7.5674,7.7857,7.4644,7.6664
2020-03-01,7.5793,7.5793,7.4955,7.5554
2020-02-28,7.6681,7.7785,7.5002,7.5793
2020-02-27,7.8435,7.9009,7.6674,7.6835
2020-02-26,7.8444,7.9972,7.7603,7.7985
2020-02-25,7.8919,8.0238,7.8076,7.8473
2020-02-24,7.9369,8.0263,7.8609,7.8925
2020-02-23,7.9668,7.9909,7.9186,7.9427
2020-02-21,7.9656,8.0980,7.8489,7.9789
2020-02-20,7.9862,8.0759,7.8851,7.9331
2020-02-19,8.0237,8.0970,7.9516,8.0351
2020-02-18,8.0258,8.0650,7.9257,7.9761
2020-02-17,8.0606,8.1312,7.9569,8.0371
2020-02-16,8.0330,8.0825,8.0069,8.0713
2020-02-15,8.0330,8.0330,8.0330,8.0330
2020-02-14,8.0433,8.1401,7.9750,8.0330
2020-02-13,8.0356,8.1289,7.9715,7.9832
2020-02-12,8.0470,8.1702,8.0005,8.0472
2020-02-11,7.9641,8.1486,7.9524,8.0579
2020-02-10,7.9050,8.0419,7.8658,8.0231
2020-02-09,7.9170,7.9664,7.8985,7.8986
2020-02-08,7.9170,7.9170,7.9170,7.9170
2020-02-07,7.9905,8.0819,7.8706,7.9170
2020-02-06,8.0455,8.1521,7.9463,8.0391
2020-02-05,8.0441,8.1740,7.9966,8.0641
2020-02-04,7.9812,8.1454,7.9672,8.0921
2020-02-03,7.9466,8.0666,7.8789,8.0290
2020-02-02,7.9466,8.0065,7.9102,7.9465
2020-01-31,8.0483,8.1292,7.8762,7.9346
2020-01-30,8.1597,8.2093,7.9988,8.0481
2020-01-29,8.1928,8.2638,8.1100,8.1597
2020-01-28,8.1354,8.2609,8.0714,8.2408
2020-01-27,8.2200,8.3159,8.0737,8.1517
2020-01-26,8.2444,8.2810,8.1954,8.2184
2020-01-24,8.2474,8.3682,8.1929,8.2205
2020-01-23,8.2827,8.3844,8.2049,8.2540
2020-01-22,8.1747,8.3567,8.1572,8.2742
2020-01-21,8.1661,8.2708,8.1067,8.2104
2020-01-20,8.1973,8.2784,8.1214,8.1774
2020-01-19,8.1899,8.2496,8.1840,8.1974
2020-01-18,8.2019,8.2019,8.2019,8.2019
2020-01-17,8.2185,8.3199,8.1351,8.2019
2020-01-16,8.2218,8.3141,8.1874,8.2120
2020-01-15,8.2118,8.3297,8.1901,8.2211
2020-01-14,8.2216,8.3251,8.1594,8.2161
2020-01-13,8.2659,8.3584,8.1708,8.3020
2020-01-12,8.2540,8.3136,8.2420,8.3017
2020-01-10,8.3230,8.4369,8.2380,8.2420
2020-01-09,8.3613,8.4653,8.2900,8.3277
2020-01-08,8.2741,8.4518,8.1710,8.3607
2020-01-07,8.3070,8.4388,8.2355,8.3433
2020-01-06,8.2394,8.4022,8.2096,8.2997
2020-01-05,8.2591,8.3130,8.2353,8.2878
2020-01-03,8.3730,8.4690,8.2164,8.2591
2020-01-02,8.4211,8.5479,8.3472,8.4203
2020-01-01,8.4217,8.4699,8.3952,8.4210
2019-12-31,8.3675,8.5191,8.3435,8.4218
2019-12-30,8.4006,8.5503,8.3503,8.3725
2019-12-29,8.3887,8.4600,8.3887,8.4006
2019-12-27,8.3803,8.5550,8.3497,8.4244
2019-12-26,8.3647,8.4630,8.3491,8.4287
2019-12-25,8.3678,8.4551,8.3372,8.3770
2019-12-24,8.3435,8.4791,8.3188,8.3679
2019-12-23,8.3114,8.4198,8.2945,8.3438
2019-12-22,8.3135,8.3613,8.3135,8.3135
2019-12-21,8.3375,8.3375,8.3375,8.3375
2019-12-20,8.3255,8.4324,8.2845,8.3375
2019-12-19,8.2806,8.4009,8.2354,8.3249
2019-12-18,8.2225,8.3729,8.1820,8.2799
2019-12-17,8.2306,8.3155,8.1757,8.2538
2019-12-16,8.1439,8.3178,8.1304,8.2828
2019-12-15,8.1558,8.2035,8.1439,8.1439
2019-12-14,8.1558,8.1558,8.1558,8.1558
2019-12-13,8.1608,8.3157,8.1107,8.1558
2019-12-12,8.0577,8.2798,8.0258,8.2129
2019-12-11,8.0081,8.1578,7.9832,8.0618
2019-12-10,8.0876,8.1811,7.9712,8.0083
2019-12-09,8.1237,8.2192,8.0722,8.0874
2019-12-08,8.1245,8.1603,8.1006,8.1126
2019-12-07,8.1126,8.1126,8.1126,8.1126
2019-12-06,8.0883,8.1852,8.0745,8.1006
2019-12-05,8.1258,8.2120,8.0578,8.0883
2019-12-04,8.1164,8.2316,8.0697,8.1395
2019-12-03,8.1476,8.2434,8.0577,8.1763
2019-12-02,8.1236,8.2616,8.0458,8.2122
2019-12-01,8.1193,8.1672,8.1193,8.1672
2019-11-29,8.0823,8.2027,8.0573,8.1071
2019-11-28,8.0473,8.1652,8.0334,8.0870
2019-11-27,8.0312,8.1692,8.0071,8.1070
