time,ADX

2019-11-08,76.6012

2019-11-07,82.5484

2019-11-06,82.1227

2019-11-05,82.0511

2019-11-04,80.4134

2019-11-01,76.9085

2019-10-31,73.2511

2019-10-30,68.8066

2019-10-29,63.2509

2019-10-28,56.3063

2019-10-25,50.0481

2019-10-24,44.0568

2019-10-23,41.5136

2019-10-22,44.9655

2019-10-21,43.4905

2019-10-18,39.9817

2019-10-17,38.1553

2019-10-16,35.8724

2019-10-15,36.5835

2019-10-14,37.4724

2019-10-11,41.2008

2019-10-10,46.3430

2019-10-09,40.5676

2019-10-08,33.3483

2019-10-07,30.2495

2019-10-04,35.1697

2019-10-03,40.2052

2019-10-02,35.5613

2019-10-01,27.1927

2019-09-30,21.2600

2019-09-27,20.0200

2019-09-26,18.4700

2019-09-25,19.0775

2019-09-24,21.8336

2019-09-23,25.2786

2019-09-20,31.2646

2019-09-19,37.8210

2019-09-18,33.0085

2019-09-17,27.7096

2019-09-16,22.0154

2019-09-13,22.4374

2019-09-12,22.9648

2019-09-11,27.0185

2019-09-10,26.5250

2019-09-09,20.7736

2019-09-06,17.8579

2019-09-05,19.4903

2019-09-04,20.5902

2019-09-03,23.9744

2019-08-30,24.9736

2019-08-29,21.6535

2019-08-28,18.6374

2019-08-27,19.1368

2019-08-26,16.6635

2019-08-23,13.5719

2019-08-22,12.1779

2019-08-21,14.7342

2019-08-20,14.3985

2019-08-19,16.7070

2019-08-16,12.4081

2019-08-15,12.9893

2019-08-14,14.7176

2019-08-13,18.1823

2019-08-12,17.5909

2019-08-09,21.6279

2019-08-08,23.3833

2019-08-07,22.3485

2019-08-06,27.2838

2019-08-05,33.1384

2019-08-02,37.4762

2019-08-01,46.7057

2019-07-31,53.6864

2019-07-30,50.3617

2019-07-29,46.2058

2019-07-26,52.0925

2019-07-25,62.8795

2019-07-24,70.5645

2019-07-23,74.6179

2019-07-22,74.8624

2019-07-19,71.3282

2019-07-18,66.9104

2019-07-17,61.3881

2019-07-16,59.4074

2019-07-15,56.4961

2019-07-12,53.0851

2019-07-11,48.4887

2019-07-10,42.7432

2019-07-09,50.3058

2019-07-08,60.0877

2019-07-05,67.6610

2019-07-03,65.7456

2019-07-02,63.4043

2019-07-01,63.4727

2019-06-28,59.9917

2019-06-27,57.9628

2019-06-26,55.4267

2019-06-25,57.4722

2019-06-24,65.0905

2019-06-21,65.3410

2019-06-20,67.6042

2019-06-19,66.7992

2019-06-18,62.8621

2019-06-17,58.6884

2019-06-14,59.8856

2019-06-13,61.3820

2019-06-12,58.6493

2019-06-11,55.4657

2019-06-10,50.0057

2019-06-07,43.8575

2019-06-06,39.3853

2019-06-05,39.0058

2019-06-04,38.9127

2019-06-03,45.3107

2019-05-31,51.1014

2019-05-30,55.0848

2019-05-29,56.3740

2019-05-28,58.8192

2019-05-24,68.1303

2019-05-23,72.8698

2019-05-22,71.9867

2019-05-21,72.8460

2019-05-20,74.4423

2019-05-17,74.7222

2019-05-16,78.0964

2019-05-15,87.1754

2019-05-14,85.1107

2019-05-13,82.5299

2019-05-10,79.3039

2019-05-09,76.4037

2019-05-08,72.7785

2019-05-07,69.6686

2019-05-06,65.7812

2019-05-03,61.5068

2019-05-02,57.7756

2019-05-01,51.7466

2019-04-30,44.6129

2019-04-29,37.2659

2019-04-26,42.7838

2019-04-25,50.9844

2019-04-24,54.8357

2019-04-23,51.9547

2019-04-22,54.3189

2019-04-18,58.8544

2019-04-17,64.5237

2019-04-16,65.8078

2019-04-15,60.9714

2019-04-12,55.0849

2019-04-11,47.9041

2019-04-10,42.5817

2019-04-09,36.4013

2019-04-08,31.3344

2019-04-05,27.1769

2019-04-04,25.1057

2019-04-03,26.4885

2019-04-02,23.0093

2019-04-01,25.7453

2019-03-29,32.1758

2019-03-28,36.4365

2019-03-27,34.1761

2019-03-26,31.3507

2019-03-25,30.9979

2019-03-22,28.5192

2019-03-21,29.2457

2019-03-20,30.2319

2019-03-19,37.4080

2019-03-18,43.0732

2019-03-15,53.4880

2019-03-14,47.1979

2019-03-13,42.0678

2019-03-12,35.8715

2019-03-11,28.9869

2019-03-08,22.5226

2019-03-07,25.5585

2019-03-06,29.3534

2019-03-05,35.8510

2019-03-04,44.6451

2019-03-01,55.4643

2019-02-28,57.1414

2019-02-27,62.1265

2019-02-26,68.3578

2019-02-25,73.2059

2019-02-22,69.7502

2019-02-21,65.7123

2019-02-20,62.6042

2019-02-19,58.7576

2019-02-15,51.4270

2019-02-14,42.9358

2019-02-13,32.3219

2019-02-12,26.9875

2019-02-11,21.2801

2019-02-08,22.6096

2019-02-07,26.9069

2019-02-06,32.2261

2019-02-05,25.8046

2019-02-04,22.7035

2019-02-01,23.5369

2019-01-31,25.1594

2019-01-30,30.0259

2019-01-29,32.1813

2019-01-28,39.3403

2019-01-25,47.1441

2019-01-24,46.4479

2019-01-23,49.0836

2019-01-22,52.3781

2019-01-18,56.4963

2019-01-17,49.3635

2019-01-16,41.2479

2019-01-15,35.0448

2019-01-14,29.6805

2019-01-11,26.5202

2019-01-10,22.7650

2019-01-09,23.7790

2019-01-08,25.0465

2019-01-07,31.2650

2019-01-04,34.1719

2019-01-03,32.7485

2019-01-02,29.5023

2018-12-31,31.3016

2018-12-28,39.1204

2018-12-27,48.8939

2018-12-26,54.6710

2018-12-24,57.2189

2018-12-21,50.9409

2018-12-20,44.4502

2018-12-19,36.7941

2018-12-18,32.3597

2018-12-17,28.9618

2018-12-14,24.7143

2018-12-13,25.6973

2018-12-12,25.4592

2018-12-11,21.8484

2018-12-10,21.8221

2018-12-07,26.8451

2018-12-06,33.1239

2018-12-04,34.8268

2018-12-03,43.1955

2018-11-30,40.2028

2018-11-29,39.9422

2018-11-28,39.6165

2018-11-27,41.4408

2018-11-26,43.3799

2018-11-23,44.9117

2018-11-21,41.1365

2018-11-20,36.4176

2018-11-19,30.5189

2018-11-16,28.4231

2018-11-15,31.8648

2018-11-14,36.4356

2018-11-13,44.7029

2018-11-12,49.7115

2018-11-09,55.9723

2018-11-08,51.1321

2018-11-07,45.0818

2018-11-06,38.4924

2018-11-05,30.2555

2018-11-02,33.8838

2018-11-01,35.1113

2018-10-31,39.7399

2018-10-30,45.3114

2018-10-29,39.9036

2018-10-26,33.1437

2018-10-25,29.5888

2018-10-24,29.2798

2018-10-23,28.8935

2018-10-22,31.1718

2018-10-19,36.8760

2018-10-18,44.0063

2018-10-17,46.0644

2018-10-16,49.2866

2018-10-15,53.8215

2018-10-12,65.9474

2018-10-11,74.2722

2018-10-10,69.7030

2018-10-09,64.1681

2018-10-08,58.5688

2018-10-05,51.7234

2018-10-04,44.6406

2018-10-03,36.9676

2018-10-02,31.4542

2018-10-01,24.6800

2018-09-28,23.7866

2018-09-27,23.7730

2018-09-26,23.7560

2018-09-25,28.1840

2018-09-24,31.6609

2018-09-21,38.2730

2018-09-20,39.8385

2018-09-19,48.3863

2018-09-18,59.0711

2018-09-17,58.6295

2018-09-14,58.0776

2018-09-13,52.8731

2018-09-12,47.8800

2018-09-11,44.2289

2018-09-10,43.9683

2018-09-07,52.6903

2018-09-06,56.6026

2018-09-05,60.4863

2018-09-04,65.3711

2018-08-31,73.3797

2018-08-30,71.3781

2018-08-29,69.4864

2018-08-28,67.1372

2018-08-27,65.3237

2018-08-24,62.9576

2018-08-23,60.1228

2018-08-22,57.1843

2018-08-21,53.5113

2018-08-20,50.5930

2018-08-17,50.8230

2018-08-16,55.0272

2018-08-15,57.6611

2018-08-14,62.6847

2018-08-13,68.9641

2018-08-10,64.5056

2018-08-09,58.9922

2018-08-08,52.1004

2018-08-07,43.4857

2018-08-06,32.7727

2018-08-03,36.2142

2018-08-02,40.5162

2018-08-01,46.4151

2018-07-31,42.7742

2018-07-30,36.9353

2018-07-27,30.0668

2018-07-26,26.1911

2018-07-25,30.8143

2018-07-24,29.8443

2018-07-23,29.5169

2018-07-20,23.6664

2018-07-19,20.3732

2018-07-18,24.1605

2018-07-17,28.8946

2018-07-16,25.7628

2018-07-13,21.9759

2018-07-12,26.7303

2018-07-11,30.8797

2018-07-10,33.8219

2018-07-09,34.3486

2018-07-06,35.9980

2018-07-05,41.9387

2018-07-03,48.4797

2018-07-02,57.2945

2018-06-29,70.0729

2018-06-28,75.7641

2018-06-27,73.7263

2018-06-26,72.0165

2018-06-25,67.8200

2018-06-22,62.5743

2018-06-21,58.4713

2018-06-20,55.1472

2018-06-19,53.7731

2018-06-18,50.5438

2018-06-15,57.5499

2018-06-14,64.1333

2018-06-13,69.9592

2018-06-12,75.9550

2018-06-11,72.5879

2018-06-08,68.3790

2018-06-07,63.1179

2018-06-06,57.5812

2018-06-05,50.9443

2018-06-04,44.8678

2018-06-01,44.3969

2018-05-31,43.8082

2018-05-30,39.3840

2018-05-29,36.2056

2018-05-25,33.9312

2018-05-24,34.8792

2018-05-23,39.2989

2018-05-22,46.7012

2018-05-21,48.7658

2018-05-18,52.8863

2018-05-17,54.9849

2018-05-16,57.6080

2018-05-15,60.8869

2018-05-14,67.8876

2018-05-11,64.8067

2018-05-10,61.0881

2018-05-09,56.8905

2018-05-08,51.6434

2018-05-07,45.0845

2018-05-04,55.8045

2018-05-03,61.6250

2018-05-02,55.9508

2018-05-01,51.0655

2018-04-30,46.2711

2018-04-27,42.3118

2018-04-26,37.3627

2018-04-25,32.9110

2018-04-24,28.4436

2018-04-23,23.8646

2018-04-20,23.5577

2018-04-19,28.1661

2018-04-18,28.0873

2018-04-17,22.8562

2018-04-16,21.1625

2018-04-13,25.5914

2018-04-12,26.4251

2018-04-11,26.5668

2018-04-10,30.7414

2018-04-09,35.9598
