time,ATR

2019-11-08,7.1239

2019-11-07,7.4599

2019-11-06,7.6753

2019-11-05,7.9917

2019-11-04,7.4921

2019-11-01,6.6576

2019-10-31,7.2120

2019-10-30,7.9950

2019-10-29,8.8513

2019-10-28,6.2291

2019-10-25,6.3314

2019-10-24,5.8342

2019-10-23,5.6002

2019-10-22,5.4928

2019-10-21,5.7035

2019-10-18,5.8644

2019-10-17,6.3830

2019-10-16,6.0937

2019-10-15,6.2347

2019-10-14,5.3708

2019-10-11,6.2311

2019-10-10,5.8938

2019-10-09,6.5223

2019-10-08,5.8304

2019-10-07,5.7579

2019-10-04,6.3249

2019-10-03,6.7512

2019-10-02,6.9039

2019-10-01,7.0949

2019-09-30,6.2012

2019-09-27,6.4590

2019-09-26,5.9812

2019-09-25,6.4715

2019-09-24,6.6944

2019-09-23,6.7105

2019-09-20,6.9406

2019-09-19,7.0407

2019-09-18,7.4984

2019-09-17,7.6330

2019-09-16,7.0287

2019-09-13,7.1234

2019-09-12,6.7367

2019-09-11,6.7209

2019-09-10,6.7936

2019-09-09,7.0595

2019-09-06,6.3719

2019-09-05,6.5499

2019-09-04,6.5499

2019-09-03,6.9099

2019-08-30,6.5048

2019-08-29,6.4785

2019-08-28,6.5157

2019-08-27,6.4596

2019-08-26,6.6270

2019-08-23,6.5087

2019-08-22,6.4384

2019-08-21,6.3529

2019-08-20,6.6487

2019-08-19,7.3109

2019-08-16,7.7636

2019-08-15,8.0720

2019-08-14,8.6800

2019-08-13,8.0396

2019-08-12,7.8995

2019-08-09,8.7719

2019-08-08,8.8949

2019-08-07,9.0161

2019-08-06,9.7952

2019-08-05,10.7265

2019-08-02,10.8631

2019-08-01,11.3213

2019-07-31,10.2717

2019-07-30,10.7116

2019-07-29,5.6294

2019-07-26,5.8834

2019-07-25,6.1668

2019-07-24,6.6609

2019-07-23,7.0562

2019-07-22,7.5502

2019-07-19,8.6128

2019-07-18,9.4335

2019-07-17,6.5568

2019-07-16,7.2385

2019-07-15,7.9757

2019-07-12,8.6471

2019-07-11,9.1114

2019-07-10,5.0717

2019-07-09,5.7947

2019-07-08,6.1183

2019-07-05,5.8554

2019-07-03,6.1005

2019-07-02,6.0006

2019-07-01,5.8583

2019-06-28,5.4753

2019-06-27,5.6841

2019-06-26,5.2302

2019-06-25,4.8227

2019-06-24,4.8084

2019-06-21,4.9730

2019-06-20,5.3762

2019-06-19,5.4003

2019-06-18,5.5328

2019-06-17,4.6098

2019-06-14,4.9635

2019-06-13,5.2419

2019-06-12,5.7399

2019-06-11,6.1948

2019-06-10,6.1155

2019-06-07,5.8994

2019-06-06,5.6668

2019-06-05,6.3610

2019-06-04,6.6312

2019-06-03,5.8590

2019-05-31,5.5538

2019-05-30,5.7597

2019-05-29,6.3072

2019-05-28,5.7527

2019-05-24,6.0339

2019-05-23,6.5274

2019-05-22,6.8492

2019-05-21,7.2715

2019-05-20,7.7894

2019-05-17,7.8792

2019-05-16,7.0640

2019-05-15,7.1650

2019-05-14,8.2013

2019-05-13,8.2491

2019-05-10,6.5839

2019-05-09,7.0738

2019-05-08,6.7398

2019-05-07,7.2785

2019-05-06,6.7409

2019-05-03,6.6361

2019-05-02,7.3092

2019-05-01,7.7715

2019-04-30,7.1694

2019-04-29,4.7418

2019-04-26,4.8647

2019-04-25,5.1434

2019-04-24,4.9267

2019-04-23,4.6234

2019-04-22,4.6620

2019-04-18,5.0250

2019-04-17,5.0114

2019-04-16,4.7730

2019-04-15,5.0493

2019-04-12,5.4053

2019-04-11,4.9355

2019-04-10,5.5142

2019-04-09,5.3152

2019-04-08,5.6115

2019-04-05,5.0519

2019-04-04,4.9023

2019-04-03,4.9604

2019-04-02,4.9593

2019-04-01,4.9803

2019-03-29,5.2332

2019-03-28,5.5510

2019-03-27,5.8263

2019-03-26,5.7138

2019-03-25,6.0114

2019-03-22,6.1868

2019-03-21,4.7960

2019-03-20,4.7119

2019-03-19,4.7904

2019-03-18,5.3005

2019-03-15,4.1916

2019-03-14,3.7545

2019-03-13,4.1531

2019-03-12,4.6314

2019-03-11,4.7618

2019-03-08,4.0209

2019-03-07,4.2760

2019-03-06,4.1710

2019-03-05,4.4182

2019-03-04,4.6478

2019-03-01,4.0497

2019-02-28,3.9979

2019-02-27,4.4211

2019-02-26,4.6826

2019-02-25,4.9895

2019-02-22,5.3494

2019-02-21,4.9372

2019-02-20,5.5590

2019-02-19,6.2613

2019-02-15,6.4566

2019-02-14,6.6845

2019-02-13,3.5956

2019-02-12,3.9020

2019-02-11,3.4940

2019-02-08,3.7100

2019-02-07,3.8826

2019-02-06,3.4158

2019-02-05,3.4072

2019-02-04,3.5965

2019-02-01,4.0407

2019-01-31,4.2908

2019-01-30,4.2635

2019-01-29,4.1774

2019-01-28,4.3462

2019-01-25,4.4053

2019-01-24,4.7341

2019-01-23,5.3501

2019-01-22,5.5514

2019-01-18,5.2742

2019-01-17,5.5377

2019-01-16,4.6268

2019-01-15,4.9822

2019-01-14,5.3903

2019-01-11,5.8091

2019-01-10,5.9689

2019-01-09,6.6128

2019-01-08,6.9485

2019-01-07,6.9682

2019-01-04,7.5527

2019-01-03,7.5384

2019-01-02,6.9930

2018-12-31,7.0012

2018-12-28,7.9143

2018-12-27,8.3772

2018-12-26,8.6415

2018-12-24,8.3368

2018-12-21,8.6035

2018-12-20,8.7569

2018-12-19,7.5936

2018-12-18,7.4020

2018-12-17,7.3475

2018-12-14,5.7919

2018-12-13,6.5274

2018-12-12,7.0542

2018-12-11,7.2628

2018-12-10,7.9360

2018-12-07,8.5450

2018-12-06,7.2065

2018-12-04,7.1532

2018-12-03,5.9052

2018-11-30,5.6115

2018-11-29,6.1594

2018-11-28,6.6892

2018-11-27,5.8640

2018-11-26,6.5450

2018-11-23,7.1081

2018-11-21,7.6751

2018-11-20,8.2229

2018-11-19,8.0536

2018-11-16,6.9670

2018-11-15,7.2413

2018-11-14,6.7791

2018-11-13,6.7114

2018-11-12,7.1240

2018-11-09,7.2212

2018-11-08,8.0966

2018-11-07,8.1957

2018-11-06,8.1880

2018-11-05,5.8825

2018-11-02,6.6231

2018-11-01,7.0814

2018-10-31,7.8542

2018-10-30,7.8178

2018-10-29,7.5034

2018-10-26,6.2993

2018-10-25,6.2666

2018-10-24,6.7408

2018-10-23,6.1610

2018-10-22,5.8837

2018-10-19,5.9472

2018-10-18,5.6664

2018-10-17,6.2231

2018-10-16,6.9723

2018-10-15,6.5029

2018-10-12,6.4511

2018-10-11,6.1764

2018-10-10,6.3180

2018-10-09,5.7325

2018-10-08,5.6857

2018-10-05,5.0671

2018-10-04,4.6063

2018-10-03,4.0606

2018-10-02,4.2308

2018-10-01,3.6847

2018-09-28,3.3859

2018-09-27,3.6524

2018-09-26,3.6354

2018-09-25,3.9302

2018-09-24,3.7540

2018-09-21,3.8085

2018-09-20,3.9207

2018-09-19,4.1558

2018-09-18,3.6823

2018-09-17,3.7954

2018-09-14,3.6342

2018-09-13,3.5878

2018-09-12,3.6660

2018-09-11,3.6375

2018-09-10,3.3494

2018-09-07,3.3192

2018-09-06,3.4678

2018-09-05,3.4747

2018-09-04,3.1384

2018-08-31,2.8755

2018-08-30,2.9431

2018-08-29,3.1739

2018-08-28,3.4648

2018-08-27,3.6936

2018-08-24,3.8982

2018-08-23,4.1502

2018-08-22,4.5803

2018-08-21,4.8579

2018-08-20,5.0049

2018-08-17,5.5423

2018-08-16,6.0513

2018-08-15,6.8054

2018-08-14,7.5545

2018-08-13,6.9799

2018-08-10,7.6646

2018-08-09,8.5533

