time,MFI
2019-11-15,35.4391
2019-11-14,41.5683
2019-11-13,70.8796
2019-11-12,63.6645
2019-11-11,39.2837
2019-11-08,49.6483
2019-11-07,62.1552
2019-11-06,46.4605
2019-11-05,64.9409
2019-11-04,86.9265
2019-11-01,86.7602
2019-10-31,86.9359
2019-10-30,100.0000
2019-10-29,100.0000
2019-10-28,89.7684
2019-10-25,85.9303
2019-10-24,83.3658
2019-10-23,83.4393
2019-10-22,62.2041
2019-10-21,81.7917
2019-10-18,67.4088
2019-10-17,69.5731
2019-10-16,47.6431
2019-10-15,43.4137
2019-10-14,21.9120
2019-10-11,32.2380
2019-10-10,20.4245
2019-10-09,37.5007
2019-10-08,45.9646
2019-10-07,45.6383
2019-10-04,49.0482
2019-10-03,33.3238
2019-10-02,35.2514
2019-10-01,59.4513
2019-09-30,57.6917
2019-09-27,39.1226
2019-09-26,32.0973
2019-09-25,36.1399
2019-09-24,35.3325
2019-09-23,58.2302
2019-09-20,54.1022
2019-09-19,80.6547
2019-09-18,80.6012
2019-09-17,80.4620
2019-09-16,57.6517
2019-09-13,57.0680
2019-09-12,33.4028
2019-09-11,35.5744
2019-09-10,34.6966
2019-09-09,36.0933
2019-09-06,38.0227
2019-09-05,56.8726
2019-09-04,56.4305
2019-09-03,60.5879
2019-08-30,64.2023
2019-08-29,65.1136
2019-08-28,47.7010
2019-08-27,51.4560
2019-08-26,27.0180
2019-08-23,43.9147
2019-08-22,62.2712
2019-08-21,63.2754
2019-08-20,38.5585
2019-08-19,63.9247
2019-08-16,46.3177
2019-08-15,26.1975
2019-08-14,54.3000
2019-08-13,52.6101
2019-08-12,53.2315
2019-08-09,46.8448
2019-08-08,46.3318
2019-08-07,18.0240
2019-08-06,16.3679
2019-08-05,38.7375
2019-08-02,38.2535
2019-08-01,48.6040
2019-07-31,64.0934
2019-07-30,81.4794
2019-07-29,75.4329
2019-07-26,100.0000
2019-07-25,74.8831
2019-07-24,35.4525
2019-07-23,25.1242
2019-07-22,9.6228
2019-07-19,0.0000
2019-07-18,18.3560
2019-07-17,17.7763
2019-07-16,25.6578
2019-07-15,26.1943
2019-07-12,26.0134
2019-07-11,19.7472
2019-07-10,55.4613
2019-07-09,37.1507
2019-07-08,63.4242
2019-07-05,84.5525
2019-07-03,85.8636
2019-07-02,86.8607
2019-07-01,84.2037
2019-06-28,81.2515
2019-06-27,62.0671
2019-06-26,37.0163
2019-06-25,33.5634
2019-06-24,60.7714
2019-06-21,61.8479
2019-06-20,60.1639
2019-06-19,80.4352
2019-06-18,60.1521
2019-06-17,59.3586
2019-06-14,64.2949
2019-06-13,81.8833
2019-06-12,82.4814
2019-06-11,100.0000
2019-06-10,100.0000
2019-06-07,81.5135
2019-06-06,82.6932
2019-06-05,68.3974
2019-06-04,43.0947
2019-06-03,69.3657
2019-05-31,80.4879
2019-05-30,69.5600
2019-05-29,68.6691
2019-05-28,80.3812
2019-05-24,43.0599
2019-05-23,20.6619
2019-05-22,43.0129
2019-05-21,44.2993
2019-05-20,47.0943
2019-05-17,44.1369
2019-05-16,45.3152
2019-05-15,24.0492
2019-05-14,24.3804
2019-05-13,0.0000
2019-05-10,0.0000
2019-05-09,17.0746
2019-05-08,17.2671
2019-05-07,13.8489
2019-05-06,11.5489
2019-05-03,11.3797
2019-05-02,0.0000
2019-05-01,0.0000
2019-04-30,14.7919
2019-04-29,39.9611
2019-04-26,46.8156
2019-04-25,49.1188
2019-04-24,50.9640
2019-04-23,46.9199
2019-04-22,47.8096
2019-04-18,69.4419
2019-04-17,83.8827
2019-04-16,100.0000
2019-04-15,100.0000
2019-04-12,100.0000
2019-04-11,100.0000
2019-04-10,84.4448
2019-04-09,82.4600
2019-04-08,82.2875
2019-04-05,79.9412
2019-04-04,78.8512
2019-04-03,100.0000
2019-04-02,75.3937
