time,ROCR
2019-11-15,0.9829
2019-11-14,0.9875
2019-11-13,0.9992
2019-11-12,1.0127
2019-11-11,0.9774
2019-11-08,1.0162
2019-11-07,1.0109
2019-11-06,1.0162
2019-11-05,1.0155
2019-11-04,1.1145
2019-11-01,1.0864
2019-10-31,1.1269
2019-10-30,1.1546
2019-10-29,1.1690
2019-10-28,1.0829
2019-10-25,1.0789
2019-10-24,1.0260
2019-10-23,1.0432
2019-10-22,1.0056
2019-10-21,1.0630
2019-10-18,1.0435
2019-10-17,1.0779
2019-10-16,1.0350
2019-10-15,1.0205
2019-10-14,0.9549
2019-10-11,0.9516
2019-10-10,0.9503
2019-10-09,0.9605
2019-10-08,0.9927
2019-10-07,0.9824
2019-10-04,1.0114
2019-10-03,0.9644
2019-10-02,0.9594
2019-10-01,0.9782
2019-09-30,1.0047
2019-09-27,0.9926
2019-09-26,1.0015
2019-09-25,0.9940
2019-09-24,0.9667
2019-09-23,1.0129
2019-09-20,0.9928
2019-09-19,1.0541
2019-09-18,1.0597
2019-09-17,1.0953
2019-09-16,1.0303
2019-09-13,1.0120
2019-09-12,0.9584
2019-09-11,0.9841
2019-09-10,0.9681
2019-09-09,0.9599
2019-09-06,0.9724
2019-09-05,1.0147
2019-09-04,1.0101
2019-09-03,1.0029
2019-08-30,1.0329
2019-08-29,1.0201
2019-08-28,0.9858
2019-08-27,0.9859
2019-08-26,0.9670
2019-08-23,0.9754
2019-08-22,1.0337
2019-08-21,1.0283
2019-08-20,0.9673
2019-08-19,1.0164
2019-08-16,0.9897
2019-08-15,0.9329
2019-08-14,0.9812
2019-08-13,1.0148
2019-08-12,1.0110
2019-08-09,1.0336
2019-08-08,1.0376
2019-08-07,0.9671
2019-08-06,0.9406
2019-08-05,1.0541
2019-08-02,1.0489
2019-08-01,1.0872
2019-07-31,1.1221
2019-07-30,1.1791
2019-07-29,1.0394
2019-07-26,1.0412
2019-07-25,1.0284
2019-07-24,0.9499
2019-07-23,0.9284
2019-07-22,0.9234
2019-07-19,0.9088
2019-07-18,0.9368
2019-07-17,0.9335
2019-07-16,0.9414
2019-07-15,0.9378
2019-07-12,0.9235
2019-07-11,0.8965
2019-07-10,1.0017
2019-07-09,1.0131
2019-07-08,1.0045
2019-07-05,1.0453
2019-07-03,1.0695
2019-07-02,1.0713
2019-07-01,1.0447
2019-06-28,1.0469
2019-06-27,1.0324
2019-06-26,1.0143
2019-06-25,0.9788
2019-06-24,1.0365
2019-06-21,1.0487
2019-06-20,1.0367
2019-06-19,1.0356
2019-06-18,1.0507
2019-06-17,0.9922
2019-06-14,1.0130
2019-06-13,1.0673
2019-06-12,1.0663
2019-06-11,1.0847
