time,RSI

2019-11-08,65.9319

2019-11-07,63.0552

2019-11-06,70.8113

2019-11-05,68.9110

2019-11-04,93.0819

2019-11-01,88.2120

2019-10-31,88.1281

2019-10-30,92.1686

2019-10-29,91.7986

2019-10-28,84.9488

2019-10-25,81.8839

2019-10-24,72.2344

2019-10-23,64.2574

2019-10-22,55.4623

2019-10-21,64.2041

2019-10-18,58.4859

2019-10-17,66.8752

2019-10-16,51.4270

2019-10-15,63.6941

2019-10-14,36.5157

2019-10-11,39.3182

2019-10-10,21.6877

2019-10-09,22.7777

2019-10-08,34.3721

2019-10-07,48.5820

2019-10-04,55.5509

2019-10-03,41.7186

2019-10-02,35.8383

2019-10-01,35.9031

2019-09-30,53.5648

2019-09-27,38.7862

2019-09-26,61.5717

2019-09-25,60.5987

2019-09-24,47.3737

2019-09-23,52.4071

2019-09-20,46.9447

2019-09-19,60.8050

2019-09-18,65.3216

2019-09-17,71.4343

2019-09-16,56.5954

2019-09-13,64.3366

2019-09-12,44.0750

2019-09-11,44.4338

2019-09-10,28.5453

2019-09-09,35.6619

2019-09-06,49.7483

2019-09-05,59.6888

2019-09-04,44.8560

2019-09-03,39.3466

2019-08-30,56.0885

2019-08-29,69.6469

2019-08-28,55.7102

2019-08-27,38.6064

2019-08-26,37.7963

2019-08-23,37.9745

2019-08-22,52.5699

2019-08-21,56.7468

2019-08-20,46.1957

2019-08-19,55.5094

2019-08-16,52.0342

2019-08-15,38.8978

2019-08-14,42.7906

2019-08-13,58.7417

2019-08-12,46.1307

2019-08-09,53.8357

2019-08-08,69.5689

2019-08-07,56.8287

2019-08-06,60.0508

2019-08-05,50.2487

2019-08-02,48.9140

2019-08-01,57.8573

2019-07-31,70.7256

2019-07-30,87.9867

2019-07-29,48.0617

2019-07-26,49.1051

2019-07-25,41.2023

2019-07-24,41.4046

2019-07-23,30.0654

2019-07-22,17.6729

2019-07-19,17.2973

2019-07-18,17.6845

2019-07-17,35.5858

2019-07-16,38.5937

2019-07-15,32.4284

2019-07-12,37.1029

2019-07-11,21.1177

2019-07-10,57.8043

2019-07-09,56.9573

2019-07-08,52.9255

2019-07-05,86.2523

2019-07-03,89.6035

2019-07-02,83.3516

2019-07-01,78.8262

2019-06-28,82.2965

2019-06-27,79.6874

2019-06-26,72.2456

2019-06-25,53.2181

2019-06-24,69.5223

2019-06-21,70.0008

2019-06-20,76.0416

2019-06-19,75.0348

2019-06-18,80.9380

2019-06-17,66.3401

2019-06-14,60.3336

2019-06-13,76.2652

2019-06-12,75.6691

2019-06-11,73.4170

2019-06-10,83.0341

2019-06-07,76.9578

2019-06-06,66.6801

2019-06-05,66.3715

2019-06-04,58.1435

2019-06-03,29.3522

2019-05-31,37.6196

2019-05-30,30.8926

2019-05-29,26.1748

2019-05-28,38.8533

2019-05-24,38.4876

2019-05-23,25.4924

2019-05-22,28.9865

2019-05-21,33.5681

2019-05-20,19.8455

2019-05-17,24.8244

2019-05-16,39.6537

2019-05-15,23.3987

2019-05-14,25.1212

2019-05-13,4.2040

2019-05-10,10.0664

2019-05-09,7.6430

2019-05-08,10.5827

2019-05-07,11.1695

2019-05-06,16.4052

2019-05-03,16.5170

2019-05-02,14.0811

2019-05-01,10.7977

2019-04-30,13.9226

2019-04-29,35.3816

2019-04-26,43.0167

2019-04-25,51.8018

2019-04-24,73.5047

2019-04-23,68.2182

2019-04-22,58.5180

2019-04-18,71.4363

2019-04-17,70.3254

2019-04-16,81.2639

2019-04-15,77.0613

2019-04-12,90.7309

2019-04-11,84.3925

2019-04-10,82.9482

2019-04-09,72.8097

2019-04-08,82.2119

2019-04-05,76.4895

2019-04-04,63.4084

2019-04-03,70.9367

2019-04-02,66.5575

2019-04-01,60.8787

2019-03-29,51.7574

2019-03-28,47.3416

2019-03-27,40.4086

2019-03-26,46.7522

2019-03-25,31.0047

2019-03-22,35.8411

2019-03-21,91.4363

2019-03-20,85.3295

2019-03-19,82.9427

2019-03-18,81.7135

2019-03-15,76.4947

2019-03-14,91.0865

2019-03-13,89.6717

2019-03-12,88.6475

2019-03-11,87.0346

2019-03-08,60.0269

2019-03-07,61.2435

2019-03-06,55.1887

2019-03-05,59.1301

2019-03-04,59.9001

2019-03-01,63.4241

2019-02-28,56.1078

2019-02-27,68.8812

2019-02-26,72.2196

2019-02-25,82.8896

2019-02-22,94.3809

2019-02-21,90.2527

2019-02-20,90.4971

2019-02-19,90.1190

2019-02-15,92.5080

2019-02-14,91.0621

2019-02-13,78.2858

2019-02-12,76.0752

2019-02-11,62.0647

2019-02-08,52.4304

2019-02-07,54.6161

2019-02-06,82.6873

2019-02-05,78.4735

2019-02-04,71.7123

2019-02-01,66.2689

2019-01-31,60.2768

2019-01-30,49.2007

2019-01-29,45.6850

2019-01-28,52.5311

2019-01-25,73.3314

2019-01-24,70.1441

2019-01-23,66.1968

2019-01-22,65.8575

2019-01-18,90.7345

2019-01-17,89.2377

2019-01-16,81.9725

2019-01-15,77.9230

2019-01-14,71.8700

2019-01-11,70.9331

2019-01-10,64.3256

2019-01-09,64.0041

2019-01-08,55.0135

2019-01-07,52.4678

2019-01-04,47.1283

2019-01-03,30.8053

2019-01-02,49.6540

2018-12-31,58.8572

2018-12-28,50.9230

2018-12-27,49.4396

2018-12-26,43.1663

2018-12-24,14.2245

2018-12-21,16.5760

2018-12-20,20.3920

2018-12-19,29.6731

2018-12-18,36.0088

2018-12-17,22.5395

2018-12-14,50.0198

2018-12-13,53.6661

2018-12-12,56.2923

2018-12-11,45.8739

2018-12-10,38.9701

2018-12-07,30.4157

2018-12-06,44.7874

2018-12-04,39.8916

2018-12-03,75.3582

2018-11-30,72.3781

2018-11-29,68.7586

2018-11-28,69.4948

2018-11-27,46.5131

2018-11-26,47.9068

2018-11-23,34.0155

2018-11-21,31.6328

2018-11-20,24.8939

2018-11-19,34.2835

2018-11-16,65.7368

2018-11-15,61.2247

2018-11-14,41.9060

2018-11-13,56.2244

2018-11-12,58.7140

2018-11-09,79.0714

2018-11-08,84.7304

2018-11-07,82.4312

2018-11-06,80.8897

2018-11-05,61.5808

2018-11-02,61.8601

2018-11-01,65.5891

2018-10-31,60.0562

2018-10-30,53.7040

2018-10-29,28.6939

2018-10-26,39.7800

2018-10-25,46.1938

2018-10-24,34.6047

2018-10-23,55.7703

2018-10-22,62.2470

2018-10-19,52.6454

2018-10-18,67.7538

2018-10-17,70.3546

2018-10-16,69.2100

2018-10-15,53.4283

2018-10-12,44.0662

2018-10-11,14.0506

2018-10-10,5.4617

2018-10-09,9.7379

2018-10-08,10.7002

2018-10-05,14.5245

2018-10-04,18.8059

2018-10-03,28.2487

2018-10-02,25.2533

2018-10-01,37.9618

2018-09-28,58.1458

2018-09-27,69.6540

2018-09-26,55.1486

2018-09-25,60.9781

2018-09-24,49.5397

2018-09-21,56.7842

2018-09-20,54.6626

2018-09-19,43.7152

2018-09-18,65.3072

2018-09-17,62.7877

2018-09-14,88.4949

2018-09-13,84.5224

