time,TRIX
2019-11-15,0.1590
2019-11-14,0.3279
2019-11-13,0.5194
2019-11-12,0.6435
2019-11-11,0.7618
2019-11-08,0.9362
2019-11-07,1.1559
2019-11-06,1.4060
2019-11-05,1.6043
2019-11-04,1.7539
2019-11-01,1.7279
2019-10-31,1.7770
2019-10-30,1.6693
2019-10-29,1.3620
2019-10-28,0.9583
2019-10-25,0.7255
2019-10-24,0.5083
2019-10-23,0.4076
2019-10-22,0.3610
2019-10-21,0.3297
2019-10-18,0.1978
2019-10-17,0.0425
2019-10-16,-0.2008
2019-10-15,-0.3536
2019-10-14,-0.5598
2019-10-11,-0.5751
2019-10-10,-0.5400
2019-10-09,-0.3731
2019-10-08,-0.2007
2019-10-07,-0.1541
2019-10-04,-0.1993
2019-10-03,-0.2490
2019-10-02,-0.1887
2019-10-01,-0.0628
2019-09-30,0.0705
2019-09-27,0.1063
2019-09-26,0.2065
2019-09-25,0.1937
2019-09-24,0.2083
2019-09-23,0.3081
2019-09-20,0.3906
2019-09-19,0.4677
2019-09-18,0.3995
2019-09-17,0.2244
2019-09-16,-0.0267
2019-09-13,-0.1703
2019-09-12,-0.3423
2019-09-11,-0.3351
2019-09-10,-0.2635
2019-09-09,-0.0690
2019-09-06,0.0442
2019-09-05,0.0334
2019-09-04,-0.0155
2019-09-03,0.0468
2019-08-30,0.1036
2019-08-29,-0.0025
2019-08-28,-0.1779
2019-08-27,-0.2209
2019-08-26,-0.1505
2019-08-23,-0.0495
2019-08-22,0.0378
2019-08-21,0.0012
2019-08-20,-0.0545
2019-08-19,-0.0392
2019-08-16,-0.0717
2019-08-15,-0.0126
2019-08-14,0.1923
2019-08-13,0.3539
2019-08-12,0.3970
2019-08-09,0.5494
2019-08-08,0.5888
2019-08-07,0.5116
2019-08-06,0.5845
2019-08-05,0.6636
2019-08-02,0.8519
2019-08-01,0.9703
2019-07-31,0.7993
2019-07-30,0.2707
2019-07-29,-0.4443
2019-07-26,-0.6439
2019-07-25,-0.8749
2019-07-24,-1.0793
2019-07-23,-1.2435
2019-07-22,-1.2652
2019-07-19,-1.1242
2019-07-18,-0.8769
2019-07-17,-0.6110
2019-07-16,-0.5683
2019-07-15,-0.4671
2019-07-12,-0.2367
2019-07-11,0.0583
2019-07-10,0.4740
2019-07-09,0.6125
2019-07-08,0.7655
2019-07-05,0.8939
2019-07-03,0.8395
2019-07-02,0.7354
2019-07-01,0.7016
2019-06-28,0.6648
2019-06-27,0.5773
2019-06-26,0.5172
2019-06-25,0.5630
2019-06-24,0.7254
2019-06-21,0.8316
2019-06-20,0.9067
2019-06-19,0.9199
2019-06-18,0.8965
2019-06-17,0.8526
2019-06-14,0.9896
2019-06-13,1.1324
2019-06-12,1.1421
2019-06-11,1.0582
2019-06-10,0.8592
2019-06-07,0.4819
2019-06-06,0.1354
2019-06-05,-0.1700
2019-06-04,-0.5217
2019-06-03,-0.7588
2019-05-31,-0.7983
2019-05-30,-0.8947
2019-05-29,-0.9343
2019-05-28,-0.9688
2019-05-24,-1.1453
2019-05-23,-1.2766
2019-05-22,-1.2940
2019-05-21,-1.3294
2019-05-20,-1.3562
2019-05-17,-1.2586
2019-05-16,-1.2822
2019-05-15,-1.4588
2019-05-14,-1.4771
2019-05-13,-1.4193
2019-05-10,-1.2323
2019-05-09,-1.2575
2019-05-08,-1.2363
2019-05-07,-1.2407
2019-05-06,-1.2107
2019-05-03,-1.1883
2019-05-02,-1.0424
2019-05-01,-0.7375
2019-04-30,-0.3016
2019-04-29,0.0802
2019-04-26,0.2417
2019-04-25,0.3828
2019-04-24,0.4833
2019-04-23,0.5265
2019-04-22,0.6209
2019-04-18,0.7626
2019-04-17,0.8538
2019-04-16,0.9108
2019-04-15,0.8840
2019-04-12,0.8301
2019-04-11,0.6809
2019-04-10,0.5983
2019-04-09,0.4963
2019-04-08,0.4357
2019-04-05,0.3105
2019-04-04,0.2131
2019-04-03,0.1524
2019-04-02,0.0395
2019-04-01,-0.0693
2019-03-29,-0.1483
2019-03-28,-0.1687
2019-03-27,-0.1342
2019-03-26,-0.0289
2019-03-25,0.1065
2019-03-22,0.3523
2019-03-21,0.5319
2019-03-20,0.5039
2019-03-19,0.5284
2019-03-18,0.5511
2019-03-15,0.5603
2019-03-14,0.5581
2019-03-13,0.4803
2019-03-12,0.3667
2019-03-11,0.2252
2019-03-08,0.1135
2019-03-07,0.1515
2019-03-06,0.2070
2019-03-05,0.2973
2019-03-04,0.4053
2019-03-01,0.5405
2019-02-28,0.7051
2019-02-27,0.9230
2019-02-26,1.1068
2019-02-25,1.2534
2019-02-22,1.3147
2019-02-21,1.3037
2019-02-20,1.3521
2019-02-19,1.2908
2019-02-15,1.0952
2019-02-14,0.7614
2019-02-13,0.4478
2019-02-12,0.3620
2019-02-11,0.2978
2019-02-08,0.3394
2019-02-07,0.4135
2019-02-06,0.4327
2019-02-05,0.3285
2019-02-04,0.2420
2019-02-01,0.1982
2019-01-31,0.2006
2019-01-30,0.2738
2019-01-29,0.4420
2019-01-28,0.6539
2019-01-25,0.8331
2019-01-24,0.9345
2019-01-23,1.0594
2019-01-22,1.1812
2019-01-18,1.2050
2019-01-17,1.0138
2019-01-16,0.8038
2019-01-15,0.6902
2019-01-14,0.5716
2019-01-11,0.4484
2019-01-10,0.2715
2019-01-09,0.0968
2019-01-08,-0.1106
2019-01-07,-0.2448
2019-01-04,-0.3430
2019-01-03,-0.3505
2019-01-02,-0.2755
2018-12-31,-0.5146
2018-12-28,-0.8875
2018-12-27,-1.2174
2018-12-26,-1.4920
2018-12-24,-1.5566
2018-12-21,-1.2723
2018-12-20,-0.9532
2018-12-19,-0.6690
2018-12-18,-0.4940
2018-12-17,-0.3216
2018-12-14,-0.0798
2018-12-13,-0.1381
2018-12-12,-0.2290
2018-12-11,-0.3026
2018-12-10,-0.2319
2018-12-07,-0.0291
2018-12-06,0.2647
2018-12-04,0.4229
2018-12-03,0.5373
2018-11-30,0.3374
2018-11-29,0.0757
2018-11-28,-0.2320
2018-11-27,-0.5508
2018-11-26,-0.6502
2018-11-23,-0.6876
2018-11-21,-0.5342
2018-11-20,-0.2423
2018-11-19,0.1577
2018-11-16,0.4019
2018-11-15,0.4282
2018-11-14,0.5520
2018-11-13,0.8251
2018-11-12,1.0210
2018-11-09,1.1435
2018-11-08,1.0738
2018-11-07,0.8664
2018-11-06,0.6005
2018-11-05,0.3263
2018-11-02,0.2390
2018-11-01,0.0826
2018-10-31,-0.1334
2018-10-30,-0.2780
2018-10-29,-0.2810
2018-10-26,-0.0605
2018-10-25,0.0840
2018-10-24,0.2288
2018-10-23,0.4337
2018-10-22,0.4459
2018-10-19,0.3826
2018-10-18,0.2917
2018-10-17,-0.0131
2018-10-16,-0.4558
2018-10-15,-0.9309
2018-10-12,-1.2219
2018-10-11,-1.3508
2018-10-10,-1.2190
2018-10-09,-0.9816
2018-10-08,-0.8260
2018-10-05,-0.6176
2018-10-04,-0.4214
2018-10-03,-0.2364
2018-10-02,-0.0846
2018-10-01,0.0962
2018-09-28,0.1774
2018-09-27,0.1622
2018-09-26,0.1170
2018-09-25,0.1319
2018-09-24,0.1448
2018-09-21,0.2084
2018-09-20,0.2666
2018-09-19,0.3574
2018-09-18,0.4818
2018-09-17,0.5025
2018-09-14,0.4738
2018-09-13,0.3222
2018-09-12,0.1766
2018-09-11,0.0462
2018-09-10,-0.0149
2018-09-07,-0.0199
2018-09-06,0.0611
2018-09-05,0.1950
2018-09-04,0.3354
2018-08-31,0.4115
2018-08-30,0.4518
2018-08-29,0.5212
2018-08-28,0.5769
2018-08-27,0.6467
2018-08-24,0.7087
2018-08-23,0.7790
2018-08-22,0.8169
2018-08-21,0.8191
2018-08-20,0.8224
2018-08-17,0.9103
2018-08-16,1.0649
2018-08-15,1.2544
2018-08-14,1.3914
2018-08-13,1.4340
2018-08-10,1.4304
2018-08-09,1.2906
2018-08-08,0.9503
2018-08-07,0.4799
2018-08-06,-0.2675
2018-08-03,-0.4086
2018-08-02,-0.5649
2018-08-01,-0.6814
2018-07-31,-0.6542
2018-07-30,-0.5274
2018-07-27,-0.3292
2018-07-26,-0.2204
2018-07-25,-0.2255
2018-07-24,-0.1813
2018-07-23,-0.0803
2018-07-20,-0.0108
2018-07-19,0.0596
2018-07-18,0.0527
2018-07-17,0.0509
2018-07-16,0.0862
2018-07-13,0.1489
2018-07-12,0.1394
2018-07-11,0.1359
2018-07-10,0.1675
2018-07-09,0.0780
2018-07-06,-0.0480
2018-07-05,-0.1896
2018-07-03,-0.3903
2018-07-02,-0.6383
2018-06-29,-0.8746
2018-06-28,-0.9565
2018-06-27,-0.9772
2018-06-26,-0.8863
2018-06-25,-0.7392
2018-06-22,-0.5125
2018-06-21,-0.3759
2018-06-20,-0.2651
2018-06-19,-0.1577
2018-06-18,-0.0006
2018-06-15,0.1312
2018-06-14,0.2594
2018-06-13,0.3517
2018-06-12,0.4143
2018-06-11,0.3873
2018-06-08,0.3688
2018-06-07,0.2703
2018-06-06,0.1889
2018-06-05,0.0700
2018-06-04,0.0197
2018-06-01,0.0753
2018-05-31,0.1595
2018-05-30,0.2096
2018-05-29,0.2032
2018-05-25,0.2522
2018-05-24,0.2956
2018-05-23,0.3931
2018-05-22,0.5317
2018-05-21,0.6656
2018-05-18,0.8348
2018-05-17,1.0561
2018-05-16,1.2320
2018-05-15,1.3129
2018-05-14,1.3677
2018-05-11,1.3177
