time,SlowD,SlowK
2019-11-18,13.2895,9.8311
2019-11-15,14.2010,14.5765
2019-11-14,19.5107,15.4608
2019-11-13,24.8259,12.5657
2019-11-12,35.2163,30.5055
2019-11-11,40.3283,31.4064
2019-11-08,49.7946,43.7370
2019-11-07,50.9974,45.8414
2019-11-06,45.1485,59.8054
2019-11-05,30.0152,47.3455
2019-11-04,19.7518,28.2945
2019-11-01,18.5694,14.4057
2019-10-31,31.1918,16.5551
2019-10-30,46.5344,24.7475
2019-10-29,58.9554,52.2727
2019-10-28,54.0447,62.5832
2019-10-25,44.7352,62.0104
2019-10-24,37.1097,37.5406
2019-10-23,46.3717,34.6545
2019-10-22,55.1366,39.1340
2019-10-21,60.8535,65.3268
2019-10-18,48.5529,60.9489
2019-10-17,34.7781,56.2846
2019-10-16,18.0126,28.4252
2019-10-15,11.7212,19.6245
2019-10-14,12.3858,5.9882
2019-10-11,21.6964,9.5510
2019-10-10,35.1795,21.6184
2019-10-09,47.5958,33.9200
2019-10-08,55.2834,50.0000
2019-10-07,50.5684,58.8675
2019-10-04,36.2130,56.9826
2019-10-03,20.6880,35.8551
2019-10-02,14.8122,15.8013
2019-10-01,18.2814,10.4075
2019-09-30,22.5092,18.2278
2019-09-27,23.4835,26.2089
2019-09-26,19.4463,23.0908
2019-09-25,16.0719,21.1507
2019-09-24,12.0952,14.0973
2019-09-23,10.3215,12.9677
2019-09-20,8.6659,9.2204
2019-09-19,9.5074,8.7763
2019-09-18,11.3868,8.0011
2019-09-17,24.5162,11.7448
2019-09-16,44.5236,14.4144
2019-09-13,69.3613,47.3893
2019-09-12,81.2434,71.7673
2019-09-11,84.8793,88.9273
2019-09-10,80.5496,83.0357
2019-09-09,75.8690,82.6750
2019-09-06,63.2277,75.9382
2019-09-05,51.2606,68.9937
2019-09-04,38.7940,44.7513
2019-09-03,32.5966,40.0368
2019-08-30,30.3014,31.5939
2019-08-29,26.9218,26.1591
2019-08-28,27.2160,33.1512
2019-08-27,22.8323,21.4553
2019-08-26,26.0955,27.0416
2019-08-23,26.6052,20.0000
2019-08-22,29.0895,31.2450
2019-08-21,24.2810,28.5705
2019-08-20,19.0044,27.4529
2019-08-19,18.4491,16.8196
2019-08-16,24.9726,12.7408
2019-08-15,36.9569,25.7870
2019-08-14,42.7038,36.3901
2019-08-13,47.5155,48.6936
2019-08-12,51.6135,43.0276
2019-08-09,58.1877,50.8252
2019-08-08,65.0206,60.9877
2019-08-07,60.4002,62.7501
2019-08-06,52.6471,71.3240
2019-08-05,36.8090,47.1264
2019-08-02,31.9227,39.4910
2019-08-01,27.0026,23.8095
2019-07-31,24.2522,32.4675
2019-07-30,17.0874,24.7308
2019-07-29,13.5086,15.5583
2019-07-26,15.2356,10.9730
