time,PPO
2019-11-15,-1.5936
2019-11-14,-0.5271
2019-11-13,-0.2422
2019-11-12,0.4455
2019-11-11,1.3617
2019-11-08,1.3412
2019-11-07,1.1177
2019-11-06,0.9150
2019-11-05,0.6099
2019-11-04,-0.0682
2019-11-01,-0.6522
2019-10-31,-1.5270
2019-10-30,-1.2198
2019-10-29,-2.8145
2019-10-28,-4.0621
2019-10-25,-5.7174
2019-10-24,-6.3621
2019-10-23,-6.8863
2019-10-22,-7.1652
2019-10-21,-7.5506
2019-10-18,-7.9627
2019-10-17,-8.5442
2019-10-16,-9.5691
2019-10-15,-10.3856
2019-10-14,-11.1479
2019-10-11,-10.9022
2019-10-10,-10.9864
2019-10-09,-10.6973
2019-10-08,-10.4078
2019-10-07,-9.7757
2019-10-04,-9.4793
2019-10-03,-8.7229
2019-10-02,-7.9106
2019-10-01,-6.6933
2019-09-30,-5.3611
2019-09-27,-4.2032
2019-09-26,-2.9804
2019-09-25,-1.5835
2019-09-24,-0.3597
2019-09-23,1.1077
2019-09-20,2.1927
2019-09-19,2.7935
2019-09-18,2.8155
2019-09-17,2.6201
2019-09-16,2.8346
2019-09-13,2.2822
2019-09-12,1.2667
2019-09-11,0.6466
2019-09-10,0.1378
2019-09-09,-0.6701
2019-09-06,-0.0128
2019-09-05,-0.0577
2019-09-04,-0.0411
2019-09-03,0.0657
2019-08-30,-0.0234
2019-08-29,0.4191
2019-08-28,1.2776
2019-08-27,1.7606
2019-08-26,2.1131
2019-08-23,2.5107
2019-08-22,2.9785
2019-08-21,3.8369
2019-08-20,4.6142
2019-08-19,6.0253
2019-08-16,4.6546
2019-08-15,3.3554
2019-08-14,2.3185
2019-08-13,0.7154
2019-08-12,-1.0554
2019-08-09,-2.1790
2019-08-08,-2.8659
2019-08-07,-3.6439
2019-08-06,-4.6189
2019-08-05,-5.5579
2019-08-02,-6.3421
2019-08-01,-7.1560
2019-07-31,-6.6835
2019-07-30,-6.4710
2019-07-29,-6.2292
2019-07-26,-5.4589
2019-07-25,-4.7045
2019-07-24,-4.0990
2019-07-23,-3.6926
2019-07-22,-3.1902
2019-07-19,-2.7239
2019-07-18,-2.6342
2019-07-17,-2.4804
2019-07-16,-2.4147
2019-07-15,-2.0110
2019-07-12,-1.5053
2019-07-11,-0.9304
2019-07-10,-0.4053
2019-07-09,-0.1251
2019-07-08,-0.0724
2019-07-05,-0.1733
2019-07-03,-0.3047
2019-07-02,-0.5287
2019-07-01,-0.8692
2019-06-28,-0.5798
2019-06-27,-0.1658
2019-06-26,0.3051
2019-06-25,1.0564
2019-06-24,1.5300
2019-06-21,1.3659
2019-06-20,1.1723
2019-06-19,1.1634
2019-06-18,0.6577
2019-06-17,0.1638
2019-06-14,0.2843
2019-06-13,0.4535
2019-06-12,0.9529
2019-06-11,1.2890
2019-06-10,0.3835
2019-06-07,-0.2909
2019-06-06,-0.9351
2019-06-05,-1.6566
2019-06-04,-1.8832
2019-06-03,-2.1471
2019-05-31,-2.0291
2019-05-30,-2.2499
2019-05-29,-2.9027
2019-05-28,-3.0960
2019-05-24,-3.8929
2019-05-23,-4.6122
2019-05-22,-5.4669
2019-05-21,-6.2196
2019-05-20,-7.6798
2019-05-17,-8.6207
2019-05-16,-9.3847
2019-05-15,-9.8611
2019-05-14,-10.7831
2019-05-13,-11.4975
2019-05-10,-11.9009
2019-05-09,-12.3744
2019-05-08,-12.5411
2019-05-07,-12.8268
2019-05-06,-12.9104
2019-05-03,-12.8974
2019-05-02,-12.0974
2019-05-01,-11.6765
2019-04-30,-10.0583
2019-04-29,-8.7729
2019-04-26,-7.3973
2019-04-25,-6.4741
2019-04-24,-5.4440
2019-04-23,-4.3691
2019-04-22,-3.2012
2019-04-18,-2.1559
2019-04-17,-1.0572
2019-04-16,0.0701
2019-04-15,0.1863
2019-04-12,0.2977
2019-04-11,-0.2773
2019-04-10,-0.5199
2019-04-09,-0.9636
2019-04-08,-1.3738
2019-04-05,-1.3770
2019-04-04,-1.4511
2019-04-03,-1.1446
2019-04-02,-0.9732
2019-04-01,-1.0998
2019-03-29,-1.5474
2019-03-28,-1.7172
2019-03-27,-1.7378
2019-03-26,-1.4627
2019-03-25,-1.5273
2019-03-22,-1.3519
2019-03-21,-0.7791
2019-03-20,-0.1278
2019-03-19,0.8078
2019-03-18,0.9662
2019-03-15,1.3355
2019-03-14,1.7995
2019-03-13,2.0043
2019-03-12,1.5866
2019-03-11,2.0737
2019-03-08,3.0084
2019-03-07,4.2906
2019-03-06,5.3496
2019-03-05,6.0809
2019-03-04,6.3389
2019-03-01,6.8126
2019-02-28,7.2649
2019-02-27,6.9365
2019-02-26,7.8466
2019-02-25,8.9520
2019-02-22,10.4363
2019-02-21,12.6937
2019-02-20,14.8744
2019-02-19,16.0685
2019-02-15,16.7928
2019-02-14,16.3511
2019-02-13,15.9955
2019-02-12,15.6167
2019-02-11,15.3093
2019-02-08,15.1367
2019-02-07,14.3639
2019-02-06,13.8607
2019-02-05,12.4552
2019-02-04,10.5926
2019-02-01,8.5969
2019-01-31,7.4925
2019-01-30,7.8005
2019-01-29,8.4115
2019-01-28,8.7352
2019-01-25,8.9783
2019-01-24,9.0323
2019-01-23,9.2279
2019-01-22,9.1895
2019-01-18,8.5405
2019-01-17,7.9869
2019-01-16,7.4903
2019-01-15,7.9325
2019-01-14,7.1502
2019-01-11,7.1878
2019-01-10,5.8261
2019-01-09,2.4146
2019-01-08,-0.5780
2019-01-07,-3.2788
2019-01-04,-4.8869
2019-01-03,-6.9581
2019-01-02,-9.1232
2018-12-31,-11.7294
2018-12-28,-13.2291
2018-12-27,-14.8146
2018-12-26,-16.8148
2018-12-24,-19.6262
2018-12-21,-21.4029
2018-12-20,-24.0851
2018-12-19,-25.5426
2018-12-18,-25.4068
2018-12-17,-25.6658
2018-12-14,-25.2748
2018-12-13,-25.5831
2018-12-12,-25.1675
2018-12-11,-24.3451
2018-12-10,-23.6296
2018-12-07,-22.7771
2018-12-06,-20.9919
2018-12-04,-18.7386
2018-12-03,-16.2278
2018-11-30,-15.3927
2018-11-29,-14.5320
2018-11-28,-13.2123
2018-11-27,-11.3577
2018-11-26,-9.5947
2018-11-23,-7.8984
2018-11-21,-6.9613
2018-11-20,-6.2408
2018-11-19,-5.9907
2018-11-16,-5.9292
2018-11-15,-6.0185
2018-11-14,-7.5603
2018-11-13,-8.4937
2018-11-12,-8.3466
2018-11-09,-7.9882
2018-11-08,-8.7593
2018-11-07,-9.2185
2018-11-06,-9.7933
2018-11-05,-9.3126
2018-11-02,-8.0769
2018-11-01,-6.6636
2018-10-31,-5.6918
2018-10-30,-4.4141
2018-10-29,-3.0639
2018-10-26,-1.3323
2018-10-25,-0.2278
2018-10-24,-0.3363
2018-10-23,-0.4281
2018-10-22,-0.9334
2018-10-19,-1.3382
2018-10-18,-1.5950
2018-10-17,-3.2545
2018-10-16,-4.2756
2018-10-15,-5.0797
2018-10-12,-6.0931
2018-10-11,-6.5012
2018-10-10,-6.2477
2018-10-09,-5.8820
2018-10-08,-4.6802
2018-10-05,-3.1895
2018-10-04,-1.8113
2018-10-03,0.4728
2018-10-02,1.9281
2018-10-01,3.8500
2018-09-28,4.9696
2018-09-27,7.7190
2018-09-26,10.9344
2018-09-25,13.9528
