time,ROCR
2019-11-15,0.8383
2019-11-14,0.9149
2019-11-13,0.9010
2019-11-12,0.9241
2019-11-11,0.9688
2019-11-08,0.9769
2019-11-07,0.9640
2019-11-06,0.9802
2019-11-05,1.0219
2019-11-04,0.9753
2019-11-01,0.9268
2019-10-31,0.9728
2019-10-30,0.9961
2019-10-29,1.0350
2019-10-28,1.0913
2019-10-25,1.1789
2019-10-24,1.0426
2019-10-23,1.0432
2019-10-22,0.8950
2019-10-21,1.1055
2019-10-18,1.0085
2019-10-17,1.0671
2019-10-16,0.9017
2019-10-15,1.0245
2019-10-14,0.8089
2019-10-11,0.8787
2019-10-10,0.8619
2019-10-09,1.0426
2019-10-08,1.0454
2019-10-07,1.0385
2019-10-04,0.9799
2019-10-03,0.9504
2019-10-02,0.9349
2019-10-01,0.8895
2019-09-30,0.8579
2019-09-27,0.8880
2019-09-26,0.9322
2019-09-25,0.8806
2019-09-24,0.9149
2019-09-23,0.9153
2019-09-20,0.9167
2019-09-19,0.9098
2019-09-18,0.9101
2019-09-17,0.8913
2019-09-16,0.9721
2019-09-13,0.9518
2019-09-12,0.9708
2019-09-11,1.0237
2019-09-10,1.0787
2019-09-09,1.0863
2019-09-06,1.0946
2019-09-05,1.1013
2019-09-04,1.1252
2019-09-03,1.0109
2019-08-30,0.9543
2019-08-29,0.9908
2019-08-28,0.9453
2019-08-27,0.9584
2019-08-26,1.0272
2019-08-23,1.0615
2019-08-22,1.0923
2019-08-21,1.0281
2019-08-20,0.9032
2019-08-19,0.9512
2019-08-16,0.9748
2019-08-15,0.8896
2019-08-14,0.9329
2019-08-13,0.9638
2019-08-12,0.9331
2019-08-09,0.8649
2019-08-08,1.2885
2019-08-07,1.2751
2019-08-06,1.3055
2019-08-05,1.3140
2019-08-02,1.3327
2019-08-01,0.8904
2019-07-31,0.8863
2019-07-30,0.8914
2019-07-29,0.8671
2019-07-26,0.8607
2019-07-25,0.9054
2019-07-24,0.9253
2019-07-23,0.9794
2019-07-22,0.9809
2019-07-19,1.0273
2019-07-18,0.9847
2019-07-17,0.9880
2019-07-16,0.9333
2019-07-15,0.9319
2019-07-12,0.9080
2019-07-11,0.9493
2019-07-10,0.9708
2019-07-09,0.9670
2019-07-08,0.9629
2019-07-05,0.9689
2019-07-03,0.9885
2019-07-02,0.9884
2019-07-01,0.9817
2019-06-28,1.0416
2019-06-27,1.0521
2019-06-26,1.0356
2019-06-25,1.0162
2019-06-24,1.0349
2019-06-21,0.9912
2019-06-20,0.9655
2019-06-19,0.9322
2019-06-18,0.9265
2019-06-17,0.9234
2019-06-14,0.9340
2019-06-13,1.0102
2019-06-12,1.0775
2019-06-11,1.0777
2019-06-10,1.1754
2019-06-07,1.1032
2019-06-06,0.9971
2019-06-05,0.9586
2019-06-04,0.9420
2019-06-03,0.8612
2019-05-31,1.0281
2019-05-30,1.0252
2019-05-29,1.0249
2019-05-28,1.0920
2019-05-24,1.0761
2019-05-23,0.9250
2019-05-22,0.9587
2019-05-21,0.9827
2019-05-20,0.9808
2019-05-17,0.9460
2019-05-16,1.0282
2019-05-15,1.0130
2019-05-14,1.0420
2019-05-13,0.9811
2019-05-10,1.0403
2019-05-09,0.9453
2019-05-08,0.9290
2019-05-07,0.8742
2019-05-06,0.9323
2019-05-03,0.9192
2019-05-02,0.9308
2019-05-01,0.9577
2019-04-30,0.9770
2019-04-29,0.9402
2019-04-26,0.9869
2019-04-25,0.9795
2019-04-24,0.8976
2019-04-23,0.9081
2019-04-22,0.7782
2019-04-18,0.7798
2019-04-17,0.7804
2019-04-16,0.8987
2019-04-15,0.8600
2019-04-12,1.0020
2019-04-11,0.9879
2019-04-10,1.0224
2019-04-09,0.9867
2019-04-08,1.0060
2019-04-05,1.0815
2019-04-04,1.0829
2019-04-03,1.0652
2019-04-02,1.0155
2019-04-01,1.0290
2019-03-29,0.9780
2019-03-28,0.9115
2019-03-27,0.9091
2019-03-26,0.9270
2019-03-25,0.9434
2019-03-22,0.9927
2019-03-21,1.0567
2019-03-20,1.0542
2019-03-19,1.0855
2019-03-18,1.0492
2019-03-15,1.0052
2019-03-14,0.9906
2019-03-13,0.9524
2019-03-12,0.9248
2019-03-11,0.9367
2019-03-08,0.9418
2019-03-07,0.9276
2019-03-06,0.9892
2019-03-05,1.0048
2019-03-04,1.0753
2019-03-01,0.9961
2019-02-28,0.9981
2019-02-27,1.0039
2019-02-26,1.0628
2019-02-25,1.0094
2019-02-22,1.1199
2019-02-21,1.1234
2019-02-20,1.1215
2019-02-19,1.1587
2019-02-15,1.0180
2019-02-14,0.9498
2019-02-13,0.9526
2019-02-12,0.8450
2019-02-11,0.7731
2019-02-08,0.9802
2019-02-07,1.0950
2019-02-06,1.2663
2019-02-05,1.4732
2019-02-04,1.4708
2019-02-01,1.3436
2019-01-31,1.2594
2019-01-30,1.1069
2019-01-29,1.0268
2019-01-28,1.1033
2019-01-25,1.1049
2019-01-24,1.0436
2019-01-23,1.0328
2019-01-22,1.0043
2019-01-18,0.9653
2019-01-17,0.9848
2019-01-16,0.9794
2019-01-15,1.0585
2019-01-14,1.0998
2019-01-11,1.1457
2019-01-10,1.1022
2019-01-09,1.1298
2019-01-08,1.1125
2019-01-07,1.0240
2019-01-04,1.0844
2019-01-03,1.0258
2019-01-02,1.0829
2018-12-31,1.1732
2018-12-28,1.1969
