time,TRIX
2019-11-15,-1.4714
2019-11-14,-1.1406
2019-11-13,-0.8030
2019-11-12,-0.4469
2019-11-11,-0.2924
2019-11-08,-0.2828
2019-11-07,-0.2632
2019-11-06,-0.0172
2019-11-05,0.1350
2019-11-04,0.1536
2019-11-01,0.1875
2019-10-31,0.2380
2019-10-30,0.4729
2019-10-29,0.6856
2019-10-28,0.8147
2019-10-25,0.5739
2019-10-24,-0.0201
2019-10-23,-0.3374
2019-10-22,-0.6092
2019-10-21,-0.7155
2019-10-18,-0.7766
2019-10-17,-0.8205
2019-10-16,-1.0300
2019-10-15,-1.2739
2019-10-14,-1.7118
2019-10-11,-1.2685
2019-10-10,-0.9472
2019-10-09,-0.6222
2019-10-08,-0.8588
2019-10-07,-1.0938
2019-10-04,-1.4286
2019-10-03,-1.7474
2019-10-02,-1.9883
2019-10-01,-1.9898
2019-09-30,-1.8275
2019-09-27,-1.6708
2019-09-26,-1.6044
2019-09-25,-1.5125
2019-09-24,-1.2575
2019-09-23,-1.0444
2019-09-20,-0.9551
2019-09-19,-0.8080
2019-09-18,-0.4958
2019-09-17,-0.1902
2019-09-16,0.2040
2019-09-13,0.4398
2019-09-12,0.6653
2019-09-11,0.9171
2019-09-10,0.9794
2019-09-09,0.9329
2019-09-06,0.8619
2019-09-05,0.5235
2019-09-04,0.2110
2019-09-03,-0.0744
2019-08-30,-0.2051
2019-08-29,-0.2211
2019-08-28,-0.2939
2019-08-27,-0.1518
2019-08-26,0.1066
2019-08-23,0.0647
2019-08-22,-0.1211
2019-08-21,-0.3281
2019-08-20,-0.5389
2019-08-19,-0.4893
2019-08-16,-0.3122
2019-08-15,0.0641
2019-08-14,0.6385
2019-08-13,0.9611
2019-08-12,1.0628
2019-08-09,1.4717
2019-08-08,1.9880
2019-08-07,2.1217
2019-08-06,1.7992
2019-08-05,0.8387
2019-08-02,-0.4353
2019-08-01,-1.7859
2019-07-31,-1.7250
2019-07-30,-1.6827
2019-07-29,-1.5595
2019-07-26,-1.2176
2019-07-25,-0.8898
2019-07-24,-0.7145
2019-07-23,-0.6341
2019-07-22,-0.5785
2019-07-19,-0.5364
2019-07-18,-0.6420
2019-07-17,-0.7993
2019-07-16,-0.9607
2019-07-15,-0.8961
2019-07-12,-0.7265
2019-07-11,-0.4703
2019-07-10,-0.3500
2019-07-09,-0.2454
2019-07-08,-0.1627
2019-07-05,-0.0566
2019-07-03,0.0167
2019-07-02,0.0884
2019-07-01,0.1843
2019-06-28,0.1799
2019-06-27,0.1162
2019-06-26,-0.0144
2019-06-25,-0.1327
2019-06-24,-0.2701
2019-06-21,-0.4769
2019-06-20,-0.4330
2019-06-19,-0.3250
2019-06-18,-0.1641
2019-06-17,0.0329
2019-06-14,0.2864
2019-06-13,0.6211
2019-06-12,0.8250
2019-06-11,0.7799
2019-06-10,0.5228
2019-06-07,0.1018
2019-06-06,-0.2599
2019-06-05,-0.4030
2019-06-04,-0.4162
2019-06-03,-0.3597
2019-05-31,0.0299
2019-05-30,0.2772
2019-05-29,0.2998
2019-05-28,0.1572
2019-05-24,-0.2152
2019-05-23,-0.5756
2019-05-22,-0.4190
2019-05-21,-0.4274
2019-05-20,-0.4396
2019-05-17,-0.3458
2019-05-16,-0.3845
2019-05-15,-0.5206
2019-05-14,-0.7358
2019-05-13,-0.9203
2019-05-10,-1.0759
2019-05-09,-1.4354
2019-05-08,-1.5277
2019-05-07,-1.6309
2019-05-06,-1.5360
2019-05-03,-1.4800
2019-05-02,-1.4150
2019-05-01,-1.4539
2019-04-30,-1.6616
2019-04-29,-1.9013
2019-04-26,-2.0070
2019-04-25,-2.1497
2019-04-24,-2.2885
2019-04-23,-2.3841
2019-04-22,-2.3236
2019-04-18,-2.0458
2019-04-17,-1.4547
2019-04-16,-0.7714
2019-04-15,-0.2625
2019-04-12,0.2603
2019-04-11,0.2303
2019-04-10,0.3020
2019-04-09,0.3128
2019-04-08,0.4161
2019-04-05,0.3283
2019-04-04,0.1510
2019-04-03,-0.0256
2019-04-02,-0.2184
2019-04-01,-0.4682
2019-03-29,-0.7202
2019-03-28,-0.6483
2019-03-27,-0.4318
2019-03-26,-0.1801
2019-03-25,-0.0378
2019-03-22,0.1593
2019-03-21,0.3778
2019-03-20,0.3288
2019-03-19,0.1371
2019-03-18,-0.2472
2019-03-15,-0.5552
2019-03-14,-0.5913
2019-03-13,-0.5620
2019-03-12,-0.5094
2019-03-11,-0.3916
2019-03-08,-0.2287
2019-03-07,0.1097
2019-03-06,0.4612
2019-03-05,0.6339
2019-03-04,0.6867
2019-03-01,0.7295
2019-02-28,0.8543
2019-02-27,0.8822
2019-02-26,0.9502
2019-02-25,0.9890
2019-02-22,1.1939
2019-02-21,1.0668
2019-02-20,0.7342
2019-02-19,0.4255
2019-02-15,0.2678
2019-02-14,0.2201
2019-02-13,0.4733
2019-02-12,0.8540
2019-02-11,1.6067
2019-02-08,2.8195
2019-02-07,3.7105
2019-02-06,4.5139
2019-02-05,4.8990
2019-02-04,4.1967
2019-02-01,2.8951
2019-01-31,1.8705
2019-01-30,1.1759
2019-01-29,0.9961
2019-01-28,0.9410
2019-01-25,0.7758
2019-01-24,0.7017
2019-01-23,0.7168
2019-01-22,0.6988
2019-01-18,0.6396
2019-01-17,0.8990
2019-01-16,1.3254
2019-01-15,1.6571
2019-01-14,1.8607
2019-01-11,1.7434
2019-01-10,1.6125
2019-01-09,1.5410
2019-01-08,1.2426
2019-01-07,1.1218
