time,RSI
2019-11-15,55.3246
2019-11-14,33.7415
2019-11-13,41.7367
2019-11-12,38.4623
2019-11-11,47.2198
2019-11-08,55.3104
2019-11-07,53.2552
2019-11-06,57.7548
2019-11-05,80.8206
2019-11-04,79.9348
2019-11-01,73.2532
2019-10-31,50.5032
2019-10-30,58.4589
2019-10-29,60.9678
2019-10-28,63.8448
2019-10-25,56.3039
2019-10-24,77.2496
2019-10-23,76.3471
2019-10-22,60.7949
2019-10-21,84.1728
2019-10-18,76.4265
2019-10-17,73.8081
2019-10-16,76.4499
2019-10-15,74.5780
2019-10-14,65.3316
2019-10-11,66.2249
2019-10-10,56.1527
2019-10-09,51.7693
2019-10-08,35.4530
2019-10-07,53.3013
2019-10-04,62.0941
2019-10-03,48.7401
2019-10-02,33.5954
2019-10-01,52.7553
2019-09-30,74.7783
2019-09-27,68.0422
2019-09-26,83.5808
2019-09-25,82.0647
2019-09-24,61.1351
2019-09-23,57.8249
2019-09-20,61.8151
2019-09-19,70.9546
2019-09-18,71.7630
2019-09-17,87.7614
2019-09-16,87.6790
2019-09-13,86.8779
2019-09-12,85.1516
2019-09-11,77.5271
2019-09-10,67.0205
2019-09-09,62.3515
2019-09-06,66.5381
2019-09-05,71.7110
2019-09-04,52.1424
2019-09-03,41.5744
2019-08-30,61.4627
2019-08-29,62.4970
2019-08-28,36.5522
2019-08-27,34.3079
2019-08-26,35.7934
2019-08-23,36.6002
2019-08-22,53.4751
2019-08-21,56.0931
2019-08-20,46.4942
2019-08-19,56.6879
2019-08-16,46.4612
2019-08-15,27.2831
2019-08-14,30.7794
2019-08-13,45.2117
2019-08-12,25.3980
2019-08-09,29.0352
2019-08-08,38.6926
2019-08-07,28.7466
2019-08-06,23.4700
2019-08-05,12.7232
2019-08-02,18.3127
2019-08-01,23.1419
2019-07-31,33.5823
2019-07-30,42.3080
2019-07-29,50.5540
2019-07-26,46.0096
2019-07-25,34.8603
2019-07-24,21.3114
2019-07-23,65.0408
2019-07-22,47.6541
2019-07-19,37.1069
2019-07-18,33.3130
2019-07-17,38.8306
2019-07-16,49.4661
2019-07-15,70.2196
2019-07-12,71.0418
2019-07-11,41.6752
2019-07-10,54.4028
2019-07-09,55.7203
2019-07-08,55.4325
2019-07-05,69.0825
2019-07-03,86.8715
2019-07-02,83.8368
2019-07-01,81.3455
2019-06-28,65.6033
2019-06-27,61.7202
2019-06-26,58.9046
2019-06-25,50.4170
2019-06-24,64.1665
2019-06-21,63.0995
2019-06-20,68.5956
2019-06-19,56.7983
2019-06-18,53.6265
2019-06-17,48.0823
2019-06-14,55.1103
2019-06-13,88.6832
2019-06-12,84.5171
2019-06-11,85.9329
2019-06-10,81.6631
2019-06-07,77.9681
2019-06-06,72.0557
2019-06-05,65.3194
2019-06-04,56.3005
2019-06-03,25.3788
2019-05-31,22.8631
2019-05-30,32.1549
2019-05-29,15.9387
2019-05-28,21.1088
2019-05-24,25.5245
2019-05-23,25.1951
2019-05-22,31.2154
2019-05-21,35.5127
2019-05-20,14.1317
2019-05-17,20.9282
2019-05-16,29.6477
2019-05-15,30.8448
2019-05-14,15.6119
2019-05-13,13.3621
2019-05-10,21.9055
2019-05-09,14.0013
2019-05-08,14.8094
2019-05-07,19.8307
2019-05-06,29.9677
2019-05-03,43.5891
2019-05-02,29.8998
2019-05-01,36.2007
2019-04-30,30.8177
2019-04-29,21.3839
2019-04-26,26.0454
2019-04-25,29.2519
2019-04-24,40.7430
2019-04-23,77.6886
2019-04-22,64.4233
2019-04-18,81.9169
2019-04-17,77.7408
2019-04-16,74.2332
2019-04-15,81.8491
2019-04-12,81.3555
2019-04-11,77.0024
2019-04-10,70.3093
2019-04-09,67.0993
2019-04-08,91.5828
2019-04-05,91.4170
2019-04-04,89.6172
2019-04-03,88.0125
2019-04-02,85.3535
2019-04-01,79.1268
2019-03-29,49.3654
2019-03-28,40.9744
2019-03-27,34.8002
2019-03-26,44.4771
2019-03-25,38.9010
2019-03-22,42.7665
2019-03-21,77.2030
2019-03-20,59.9691
2019-03-19,77.2789
2019-03-18,73.9044
2019-03-15,73.7932
2019-03-14,58.0684
2019-03-13,61.2773
2019-03-12,53.7862
2019-03-11,53.2934
2019-03-08,31.7484
2019-03-07,38.3842
2019-03-06,48.9245
2019-03-05,64.0437
2019-03-04,59.9145
2019-03-01,74.5199
2019-02-28,60.9576
2019-02-27,66.6866
2019-02-26,66.9054
2019-02-25,88.1945
2019-02-22,84.8921
2019-02-21,78.8372
2019-02-20,82.7789
2019-02-19,76.4314
2019-02-15,81.6775
2019-02-14,70.2379
2019-02-13,91.2510
2019-02-12,90.3392
2019-02-11,82.5404
2019-02-08,89.8939
2019-02-07,88.0571
2019-02-06,87.8415
2019-02-05,88.0960
2019-02-04,82.9072
2019-02-01,80.2222
2019-01-31,79.8245
2019-01-30,84.7677
2019-01-29,75.9903
2019-01-28,74.2128
2019-01-25,82.6239
2019-01-24,78.8600
2019-01-23,70.4750
2019-01-22,50.0636
2019-01-18,73.6437
2019-01-17,67.5255
2019-01-16,62.4545
2019-01-15,59.9532
2019-01-14,59.1365
2019-01-11,64.7727
2019-01-10,68.2414
2019-01-09,61.2982
2019-01-08,53.0945
2019-01-07,46.1424
2019-01-04,42.2487
2019-01-03,23.3752
2019-01-02,46.7132
2018-12-31,58.9920
2018-12-28,54.7359
2018-12-27,54.3916
2018-12-26,43.6200
2018-12-24,8.3098
2018-12-21,11.1339
2018-12-20,12.4503
2018-12-19,16.8528
2018-12-18,24.0461
2018-12-17,29.9346
2018-12-14,34.3829
2018-12-13,46.5598
2018-12-12,45.7615
2018-12-11,38.1903
2018-12-10,46.8715
2018-12-07,31.7144
2018-12-06,33.2697
2018-12-04,41.5672
2018-12-03,79.3743
2018-11-30,69.4807
2018-11-29,62.1369
2018-11-28,49.6241
2018-11-27,28.9661
2018-11-26,32.7051
2018-11-23,32.9269
2018-11-21,31.5658
2018-11-20,23.6815
2018-11-19,32.0896
2018-11-16,51.1417
2018-11-15,40.4050
2018-11-14,25.2783
2018-11-13,32.0776
2018-11-12,36.1280
2018-11-09,64.3163
2018-11-08,86.0906
2018-11-07,84.9703
2018-11-06,78.3072
2018-11-05,75.2364
2018-11-02,82.7318
2018-11-01,80.6065
2018-10-31,79.3102
2018-10-30,75.4906
2018-10-29,56.4447
2018-10-26,53.1669
2018-10-25,63.6484
2018-10-24,37.2629
2018-10-23,21.6744
2018-10-22,21.6744
2018-10-19,22.7379
2018-10-18,25.5907
2018-10-17,36.7652
2018-10-16,39.8751
2018-10-15,17.2405
2018-10-12,19.2086
2018-10-11,9.5742
2018-10-10,13.0286
2018-10-09,26.6538
2018-10-08,8.7205
2018-10-05,11.9153
2018-10-04,16.0899
2018-10-03,31.9046
2018-10-02,39.1591
2018-10-01,49.3287
2018-09-28,37.9548
2018-09-27,20.5080
2018-09-26,21.6597
2018-09-25,25.6483
2018-09-24,32.3128
2018-09-21,41.6599
2018-09-20,54.6879
2018-09-19,39.8562
2018-09-18,39.8562
2018-09-17,53.0677
2018-09-14,66.9178
2018-09-13,70.6031
2018-09-12,53.2091
2018-09-11,85.1589
2018-09-10,82.0088
2018-09-07,68.8562
2018-09-06,77.2388
2018-09-05,70.7501
2018-09-04,56.4610
