time,SlowD,SlowK
2019-11-18,36.5583,56.7046
2019-11-15,22.6634,37.1826
2019-11-14,16.0207,15.7876
2019-11-13,19.9898,15.0199
2019-11-12,29.8751,17.2546
2019-11-11,46.1637,27.6950
2019-11-08,65.0236,44.6757
2019-11-07,82.1950,66.1205
2019-11-06,86.2791,84.2746
2019-11-05,79.3486,96.1900
2019-11-04,64.8635,78.3726
2019-11-01,60.0763,63.4833
2019-10-31,59.7486,52.7347
2019-10-30,65.3474,64.0109
2019-10-29,69.7268,62.5001
2019-10-28,73.9138,69.5313
2019-10-25,76.7261,77.1489
2019-10-24,75.1280,75.0612
2019-10-23,77.5031,77.9684
2019-10-22,78.9751,72.3543
2019-10-21,83.7539,82.1867
2019-10-18,85.7171,82.3844
2019-10-17,85.2559,86.6906
2019-10-16,81.5328,88.0762
2019-10-15,75.9537,81.0010
2019-10-14,65.9614,75.5213
2019-10-11,55.5166,71.3389
2019-10-10,47.2795,51.0239
2019-10-09,48.5271,44.1869
2019-10-08,47.3292,46.6278
2019-10-07,42.5094,54.7667
2019-10-04,40.5190,40.5932
2019-10-03,49.8815,32.1683
2019-10-02,66.8580,48.7956
2019-10-01,78.7220,68.6807
2019-09-30,80.5099,83.0979
2019-09-27,71.4814,84.3875
2019-09-26,54.4887,74.0443
2019-09-25,40.9079,56.0125
2019-09-24,36.8623,33.4094
2019-09-23,47.2043,33.3019
2019-09-20,62.9814,43.8755
2019-09-19,78.5575,64.4355
2019-09-18,88.2583,80.6332
2019-09-17,93.6926,90.6037
2019-09-16,94.4252,93.5382
2019-09-13,91.7029,96.9359
2019-09-12,85.8416,92.8017
2019-09-11,82.8908,85.3710
2019-09-10,80.7246,79.3521
2019-09-09,75.5592,83.9493
2019-09-06,66.7340,78.8722
2019-09-05,61.5147,63.8559
2019-09-04,59.8918,57.4738
2019-09-03,52.5682,63.2143
2019-08-30,36.0379,58.9873
2019-08-29,19.2235,35.5029
2019-08-28,18.3127,13.6235
2019-08-27,33.0899,8.5441
2019-08-26,55.1003,32.7703
2019-08-23,68.9808,57.9553
2019-08-22,70.5662,74.5752
2019-08-21,61.3756,74.4118
2019-08-20,43.5078,62.7117
2019-08-19,31.0224,47.0032
2019-08-16,23.9413,20.8085
2019-08-15,30.3016,25.2554
2019-08-14,36.0010,25.7601
2019-08-13,43.4087,39.8892
2019-08-12,43.5830,42.3537
2019-08-09,36.0333,47.9832
2019-08-08,24.0806,40.4123
2019-08-07,12.8507,19.7046
2019-08-06,11.8649,12.1249
2019-08-05,20.6079,6.7225
2019-08-02,37.5412,16.7474
2019-08-01,52.6419,38.3539
2019-07-31,56.2639,57.5223
2019-07-30,47.7806,62.0496
2019-07-29,42.0296,49.2199
2019-07-26,42.1431,32.0725
2019-07-25,49.0613,44.7964
2019-07-24,43.2326,49.5605
2019-07-23,32.6058,52.8271
2019-07-22,24.0603,27.3102
2019-07-19,32.3278,17.6801
2019-07-18,52.7966,27.1907
2019-07-17,67.1213,52.1127
2019-07-16,66.7586,79.0863
2019-07-15,50.1999,70.1649
2019-07-12,37.7435,51.0247
2019-07-11,36.6590,29.4102
2019-07-10,49.7103,32.7957
2019-07-09,68.8299,47.7712
2019-07-08,84.0528,68.5641
2019-07-05,89.9352,90.1546
2019-07-03,84.8523,93.4397
2019-07-02,74.3800,86.2113
2019-07-01,62.1285,74.9059
2019-06-28,55.9226,62.0227
2019-06-27,57.5992,49.4568
2019-06-26,69.3868,56.2882
2019-06-25,73.6412,67.0527
2019-06-24,68.4740,84.8194
2019-06-21,48.7793,69.0514
2019-06-20,33.7018,51.5513
2019-06-19,32.1348,25.7353
2019-06-18,46.1642,23.8188
2019-06-17,66.5036,46.8503
2019-06-14,77.9250,67.8234
2019-06-13,84.7032,84.8373
2019-06-12,87.1849,81.1143
2019-06-11,92.2455,88.1580
2019-06-10,94.6620,92.2826
2019-06-07,86.8219,96.2960
2019-06-06,67.2320,95.4075
2019-06-05,41.1743,68.7621
2019-06-04,23.0354,37.5263
2019-06-03,16.2264,17.2343
2019-05-31,14.9156,14.3456
2019-05-30,15.7579,17.0992
2019-05-29,16.5532,13.3021
2019-05-28,20.0153,16.8725
2019-05-24,20.7319,19.4850
2019-05-23,19.0503,23.6883
2019-05-22,16.7311,19.0223
2019-05-21,20.9560,14.4404
2019-05-20,27.5946,16.7307
2019-05-17,29.7846,31.6968
2019-05-16,25.3426,34.3562
2019-05-15,20.5399,23.3008
2019-05-14,18.6129,18.3708
2019-05-13,16.0177,19.9481
2019-05-10,15.6832,17.5198
2019-05-09,23.9038,10.5852
2019-05-08,37.3245,18.9445
2019-05-07,47.6978,42.1815
2019-05-06,48.5175,50.8476
2019-05-03,46.7857,50.0645
2019-05-02,46.1696,44.6403
2019-05-01,47.4566,45.6523
2019-04-30,52.0394,48.2162
2019-04-29,60.6770,48.5014
2019-04-26,67.6679,59.4005
2019-04-25,71.6279,74.1292
2019-04-24,68.3322,69.4740
2019-04-23,69.9430,71.2807
2019-04-22,72.2283,64.2420
2019-04-18,79.6790,74.3062
2019-04-17,86.5873,78.1367
2019-04-16,88.1868,86.5941
2019-04-15,81.7188,95.0313
2019-04-12,72.7016,82.9350
2019-04-11,72.8720,67.1902
2019-04-10,82.6675,67.9797
2019-04-09,91.7472,83.4461
2019-04-08,95.4866,96.5766
2019-04-05,95.6696,95.2189
2019-04-04,93.2020,94.6644
2019-04-03,83.0692,97.1256
2019-04-02,62.7595,87.8160
2019-04-01,40.3367,64.2660
