time,MFI
2019-11-15,36.8437
2019-11-14,53.1373
2019-11-13,79.4622
2019-11-12,79.2518
2019-11-11,66.3773
2019-11-08,78.1161
2019-11-07,74.5589
2019-11-06,47.9648
2019-11-05,51.7145
2019-11-04,58.3616
2019-11-01,48.1651
2019-10-31,39.5459
2019-10-30,41.7333
2019-10-29,54.9273
2019-10-28,63.6676
2019-10-25,39.5074
2019-10-24,13.4176
2019-10-23,14.1264
2019-10-22,27.7880
2019-10-21,45.8079
2019-10-18,44.3755
2019-10-17,68.3575
2019-10-16,84.8269
2019-10-15,84.7877
2019-10-14,61.7714
2019-10-11,58.5221
2019-10-10,52.6895
2019-10-09,48.5583
2019-10-08,27.8457
2019-10-07,33.8745
2019-10-04,37.8780
2019-10-03,15.5704
2019-10-02,32.7218
2019-10-01,50.7892
2019-09-30,40.4290
2019-09-27,38.2625
2019-09-26,41.5764
2019-09-25,19.9984
2019-09-24,-0.0000
2019-09-23,-0.0000
2019-09-20,-0.0000
2019-09-19,-0.0000
2019-09-18,27.6036
2019-09-17,53.2834
2019-09-16,74.1222
2019-09-13,85.8746
2019-09-12,87.0619
2019-09-11,86.4349
2019-09-10,72.2157
2019-09-09,48.4991
2019-09-06,25.6062
2019-09-05,47.8582
2019-09-04,23.6732
2019-09-03,46.9015
2019-08-30,65.3426
2019-08-29,52.4693
2019-08-28,31.1843
2019-08-27,26.2138
2019-08-26,49.2567
2019-08-23,58.6035
2019-08-22,71.5709
2019-08-21,76.0971
2019-08-20,80.6901
2019-08-19,73.2217
2019-08-16,47.4684
2019-08-15,23.3601
2019-08-14,42.8448
2019-08-13,44.6247
2019-08-12,19.1489
2019-08-09,15.6686
2019-08-08,15.1806
2019-08-07,-0.0000
2019-08-06,-0.0000
2019-08-05,-0.0000
2019-08-02,-0.0000
2019-08-01,-0.0000
2019-07-31,-0.0000
2019-07-30,29.5220
2019-07-29,56.8268
2019-07-26,57.7713
2019-07-25,72.4971
2019-07-24,65.3328
2019-07-23,48.5981
2019-07-22,23.2855
2019-07-19,40.2305
2019-07-18,37.2342
2019-07-17,44.0371
2019-07-16,63.3727
2019-07-15,84.5821
2019-07-12,58.8563
2019-07-11,36.3965
2019-07-10,34.2887
2019-07-09,15.4812
2019-07-08,25.0727
2019-07-05,47.1627
2019-07-03,64.4544
2019-07-02,83.1832
2019-07-01,79.2331
2019-06-28,63.7861
2019-06-27,38.1658
2019-06-26,44.0609
2019-06-25,45.8034
2019-06-24,67.4508
2019-06-21,78.8886
2019-06-20,77.8858
2019-06-19,77.2409
2019-06-18,57.3669
2019-06-17,62.1807
2019-06-14,64.5176
2019-06-13,82.9647
2019-06-12,69.8974
2019-06-11,65.6233
2019-06-10,62.4953
2019-06-07,37.1055
2019-06-06,21.7516
2019-06-05,20.3141
2019-06-04,19.8738
2019-06-03,-0.0000
2019-05-31,20.9371
2019-05-30,19.2156
2019-05-29,18.0224
2019-05-28,45.5520
2019-05-24,31.4391
2019-05-23,12.8326
2019-05-22,21.8919
2019-05-21,22.3544
2019-05-20,16.8844
2019-05-17,20.4430
2019-05-16,42.3005
2019-05-15,18.2422
2019-05-14,16.6909
2019-05-13,-0.0000
2019-05-10,-0.0000
2019-05-09,13.3203
