time,ROCR
2019-11-15,0.9397
2019-11-14,0.9699
2019-11-13,1.1018
2019-11-12,1.1273
2019-11-11,1.1026
2019-11-08,1.1904
2019-11-07,1.1966
2019-11-06,1.0430
2019-11-05,1.0500
2019-11-04,1.0454
2019-11-01,1.0074
2019-10-31,0.9823
2019-10-30,0.9883
2019-10-29,0.9930
2019-10-28,1.0048
2019-10-25,1.0013
2019-10-24,0.9632
2019-10-23,0.9619
2019-10-22,0.9667
2019-10-21,0.9896
2019-10-18,0.9912
2019-10-17,1.0366
2019-10-16,1.0839
2019-10-15,1.0771
2019-10-14,1.0393
2019-10-11,1.0018
2019-10-10,0.9955
2019-10-09,0.9735
2019-10-08,0.9758
2019-10-07,0.9874
2019-10-04,1.0322
2019-10-03,0.9929
2019-10-02,0.9982
2019-10-01,1.0450
2019-09-30,1.0038
2019-09-27,0.9624
2019-09-26,0.9749
2019-09-25,0.9483
2019-09-24,0.8952
2019-09-23,0.9224
2019-09-20,0.9513
2019-09-19,0.9665
2019-09-18,0.9697
2019-09-17,0.9877
2019-09-16,1.0563
2019-09-13,1.0775
2019-09-12,1.0709
2019-09-11,1.0902
2019-09-10,1.0764
2019-09-09,1.0056
2019-09-06,0.9786
2019-09-05,1.0051
2019-09-04,0.9875
2019-09-03,0.9881
2019-08-30,1.0257
2019-08-29,0.9941
2019-08-28,0.9601
2019-08-27,0.9551
2019-08-26,0.9960
2019-08-23,1.0533
2019-08-22,1.1176
2019-08-21,1.1376
2019-08-20,1.1165
2019-08-19,1.0961
2019-08-16,0.9932
2019-08-15,0.9445
2019-08-14,0.9562
2019-08-13,0.9769
2019-08-12,0.9494
2019-08-09,0.9035
2019-08-08,0.9147
2019-08-07,0.8880
2019-08-06,0.8841
2019-08-05,0.8828
2019-08-02,0.9434
2019-08-01,0.9540
2019-07-31,0.9598
2019-07-30,0.9792
2019-07-29,1.0157
2019-07-26,1.0176
2019-07-25,1.0240
2019-07-24,1.0247
2019-07-23,1.0080
2019-07-22,0.9660
2019-07-19,0.9769
2019-07-18,0.9742
2019-07-17,0.9928
2019-07-16,0.9950
2019-07-15,1.0215
2019-07-12,0.9880
2019-07-11,0.9679
2019-07-10,0.9585
2019-07-09,0.9728
2019-07-08,0.9646
2019-07-05,1.0022
2019-07-03,1.0241
2019-07-02,1.0538
2019-07-01,1.0112
2019-06-28,1.0038
2019-06-27,0.9809
2019-06-26,0.9828
2019-06-25,0.9684
2019-06-24,1.0207
2019-06-21,1.0339
2019-06-20,1.0376
2019-06-19,1.0416
2019-06-18,1.0137
2019-06-17,1.0230
2019-06-14,1.0298
2019-06-13,1.0470
2019-06-12,1.0362
2019-06-11,1.0354
2019-06-10,1.0369
