time,ATR

2019-11-08 13:27:28,68.5192

2019-11-07,57.3990

2019-11-06,29.8388

2019-11-05,31.2935

2019-11-04,32.0643

2019-11-01,29.3429

2019-10-31,26.4236

2019-10-30,26.0595

2019-10-29,27.4469

2019-10-28,29.3861

2019-10-25,28.6301

2019-10-24,26.0152

2019-10-23,25.1790

2019-10-22,26.8562

2019-10-21,27.7477

2019-10-18,29.3171

2019-10-17,29.9064

2019-10-16,31.5330

2019-10-15,34.2412

2019-10-14,34.2115

2019-10-11,35.2969

2019-10-10,33.9012

2019-10-09,33.2289

2019-10-08,34.5462

2019-10-07,35.1402

2019-10-04,35.3953

2019-10-03,38.3891

2019-10-02,36.4688

2019-10-01,33.5560

2019-09-30,35.6575

2019-09-27,34.4794

2019-09-26,32.4768

2019-09-25,33.0760

2019-09-24,31.6850

2019-09-23,30.8387

2019-09-20,32.4410

2019-09-19,33.2737

2019-09-18,37.5996

2019-09-17,36.5320

2019-09-16,39.8974

2019-09-13,38.1718

2019-09-12,39.6697

2019-09-11,42.1446

2019-09-10,39.4833

2019-09-09,35.6716

2019-09-06,37.8695

2019-09-05,36.4394

2019-09-04,32.5118

2019-09-03,33.6772

2019-08-30,32.9765

2019-08-29,36.1631

2019-08-28,36.5139

2019-08-27,34.5474

2019-08-26,38.3167

2019-08-23,42.9384

2019-08-22,38.8254

2019-08-21,38.7268

2019-08-20,42.6085

2019-08-19,47.5331

2019-08-16,49.9939

2019-08-15,54.5449

2019-08-14,56.7211

2019-08-13,57.5939

2019-08-12,57.9349

2019-08-09,63.5136

2019-08-08,68.3920

2019-08-07,51.1775

2019-08-06,46.1718

2019-08-05,45.5473

2019-08-02,38.7314

2019-08-01,38.2968

2019-07-31,35.4299

2019-07-30,31.7073

2019-07-29,34.2092

2019-07-26,28.0965

2019-07-25,24.1831

2019-07-24,24.2588

2019-07-23,24.1811

2019-07-22,24.6163

2019-07-19,24.6429

2019-07-18,25.9286

2019-07-17,23.9483

2019-07-16,22.2954

2019-07-15,22.4567

2019-07-12,24.8334

2019-07-11,27.1692

2019-07-10,31.3690

2019-07-09,30.6838

2019-07-08,32.4222

2019-07-05,28.0903

2019-07-03,28.3129

2019-07-02,30.4886

2019-07-01,32.9657

2019-06-28,33.3847

2019-06-27,33.6883

2019-06-26,34.9792

2019-06-25,33.7840

2019-06-24,31.2449

2019-06-21,34.0546

2019-06-20,34.1682

2019-06-19,35.2428

2019-06-18,35.1985

2019-06-17,33.9256

2019-06-14,37.5545

2019-06-13,37.2044

2019-06-12,36.3955

2019-06-11,36.7769

2019-06-10,38.0861

2019-06-07,38.5776

2019-06-06,39.5157

2019-06-05,44.3347

2019-06-04,47.6421

2019-06-03,35.0901

2019-05-31,32.9047

2019-05-30,32.9996

2019-05-29,35.4407

2019-05-28,37.4734

2019-05-24,36.0107

2019-05-23,39.0171

2019-05-22,38.3214

2019-05-21,39.8793

2019-05-20,42.0278

2019-05-17,42.2573

2019-05-16,44.2139

2019-05-15,48.4249

2019-05-14,50.1362

2019-05-13,53.2852

2019-05-10,51.6234

2019-05-09,33.5381

2019-05-08,32.7492

2019-05-07,31.1865

2019-05-06,31.6406

2019-05-03,29.0408

2019-05-02,30.8110

2019-05-01,30.9513

2019-04-30,29.3641

2019-04-29,27.4801

2019-04-26,29.5051

2019-04-25,28.5089

2019-04-24,28.6661

2019-04-23,28.2376

2019-04-22,22.5195

2019-04-18,22.6094

2019-04-17,24.6518

2019-04-16,26.1597

2019-04-15,26.6584

2019-04-12,27.7948

2019-04-11,27.3910

2019-04-10,29.8887

2019-04-09,28.1184

2019-04-08,27.8405

2019-04-05,28.1281

2019-04-04,30.2476

2019-04-03,31.8883

2019-04-02,31.7128

2019-04-01,34.5585

2019-03-29,36.4332

2019-03-28,38.6315

2019-03-27,38.7056

2019-03-26,38.1945

2019-03-25,39.8756

2019-03-22,38.0520

2019-03-21,31.7463

2019-03-20,33.7729

2019-03-19,34.7511

2019-03-18,31.6447

2019-03-15,36.1984

2019-03-14,41.7099

2019-03-13,41.2774

2019-03-12,43.1367

2019-03-11,41.1859

2019-03-08,43.8149

2019-03-07,46.7478

2019-03-06,49.0773

2019-03-05,56.2154

2019-03-04,60.0429

2019-03-01,65.0821

2019-02-28,74.0167

2019-02-27,39.0208

2019-02-26,34.9660

2019-02-25,35.2076

2019-02-22,31.7595

2019-02-21,33.0243

2019-02-20,33.1916

2019-02-19,35.2421

2019-02-15,33.3826

2019-02-14,32.7087

2019-02-13,35.4784

2019-02-12,37.1705

2019-02-11,36.8906

2019-02-08,40.1883

2019-02-07,40.7403

2019-02-06,39.6954

2019-02-05,40.8143

2019-02-04,37.1954

2019-02-01,40.1692

2019-01-31,39.9803

2019-01-30,41.8566

2019-01-29,44.8470

2019-01-28,49.5088

2019-01-25,48.1810

2019-01-24,50.6237

2019-01-23,48.0621

2019-01-22,50.6777

2019-01-18,46.1516

2019-01-17,44.6070

2019-01-16,40.4175

2019-01-15,45.0793

2019-01-14,50.6942

2019-01-11,47.4102

2019-01-10,53.4832

2019-01-09,55.3590

2019-01-08,56.7226

2019-01-07,52.1932

2019-01-04,58.3428

2019-01-03,54.4385

2019-01-02,52.1182

2018-12-31,53.6652

2018-12-28,60.2790

2018-12-27,67.2263

2018-12-26,70.8344

2018-12-24,66.4980

2018-12-21,72.4180

2018-12-20,65.8413

2018-12-19,68.7381

2018-12-18,60.9514

2018-12-17,60.5293

2018-12-14,49.1291

2018-12-13,52.2251

2018-12-12,54.1989

2018-12-11,54.7444

2018-12-10,55.4193

2018-12-07,58.8792

2018-12-06,56.7834

2018-12-04,53.0718

2018-12-03,48.1872

2018-11-30,46.7440

2018-11-29,47.3525

2018-11-28,52.8324

2018-11-27,51.2004

2018-11-26,53.3431

2018-11-23,53.0213

2018-11-21,56.4879

2018-11-20,61.0086

2018-11-19,62.7527

2018-11-16,54.6458

2018-11-15,53.9648

2018-11-14,52.7860

2018-11-13,53.5100

2018-11-12,60.1572

2018-11-09,63.4315

2018-11-08,65.4381

2018-11-07,70.6951

2018-11-06,71.8214

2018-11-05,55.0592

2018-11-02,57.1840

2018-11-01,59.4588

2018-10-31,64.4660

2018-10-30,65.0725

2018-10-29,61.3272

2018-10-26,56.4139

2018-10-25,57.1549

2018-10-24,56.1963

2018-10-23,44.8504

2018-10-22,42.1017

2018-10-19,41.2821

2018-10-18,41.5977

2018-10-17,39.2696

2018-10-16,40.3908

2018-10-15,44.4109

2018-10-12,46.4611

2018-10-11,46.2426

2018-10-10,45.0895

2018-10-09,35.1019

2018-10-08,32.2654

2018-10-05,31.3525

2018-10-04,29.3531

2018-10-03,26.0051

2018-10-02,28.6289

2018-10-01,30.7323

2018-09-28,30.1379

2018-09-27,31.1516

2018-09-26,32.9866

2018-09-25,32.9732

2018-09-24,36.1165

2018-09-21,32.7181

2018-09-20,35.2702

2018-09-19,36.1339

2018-09-18,33.9449

2018-09-17,35.1324

2018-09-14,33.7605

2018-09-13,33.1756

2018-09-12,33.1745

2018-09-11,35.8779

2018-09-10,34.5782

2018-09-07,32.1953

2018-09-06,31.8991

2018-09-05,30.1314

2018-09-04,28.0742

2018-08-31,27.5553

2018-08-30,30.9391

2018-08-29,32.1239

2018-08-28,34.2049

2018-08-27,37.8861

2018-08-24,38.4951

2018-08-23,42.0464

2018-08-22,43.1355

2018-08-21,46.8419

2018-08-20,47.8023

2018-08-17,50.2279

2018-08-16,56.1299

2018-08-15,54.5524

2018-08-14,54.0104

2018-08-13,58.6381

2018-08-10,60.1176

2018-08-09,62.0745

2018-08-08,41.5931

2018-08-07,41.1764

2018-08-06,43.1829

2018-08-03,38.6799

2018-08-02,43.5274

2018-08-01,44.1603

2018-07-31,45.7878

2018-07-30,48.4548

2018-07-27,43.4860

2018-07-26,36.4300

2018-07-25,34.3050

2018-07-24,32.4462

2018-07-23,27.0527

2018-07-20,27.4284

2018-07-19,28.4555

2018-07-18,30.2319

2018-07-17,32.5824

2018-07-16,29.0880

2018-07-13,31.7000

2018-07-12,32.3675

2018-07-11,33.5506

2018-07-10,32.7155

2018-07-09,32.8019

2018-07-06,35.4774

2018-07-05,37.7992

2018-07-03,41.2091

2018-07-02,45.3113

2018-06-29,39.6992

2018-06-28,42.1264

2018-06-27,41.2556

2018-06-26,36.8157

2018-06-25,38.6771

2018-06-22,30.3889

2018-06-21,28.8411

2018-06-20,27.4414

2018-06-19,28.0817

2018-06-18,27.4609

2018-06-15,26.0904

2018-06-14,24.1880

2018-06-13,24.3275

2018-06-12,22.6819

2018-06-11,25.4348

2018-06-08,27.2100

2018-06-07,28.6200

2018-06-06,26.9649

2018-06-05,26.8487

2018-06-04,28.7884

2018-06-01,30.8204

2018-05-31,31.8981

2018-05-30,34.7713

2018-05-29,34.7941

2018-05-25,30.6127

2018-05-24,28.8059

2018-05-23,30.8673

2018-05-22,30.2395

2018-05-21,33.4581

2018-05-18,37.8326

2018-05-17,39.3982

2018-05-16,41.9553

2018-05-15,45.6594

2018-05-14,47.7367

2018-05-11,54.7697

2018-05-10,60.6946

2018-05-09,41.7232

2018-05-08,43.8240

2018-05-07,43.8300

2018-05-04,47.4750

2018-05-03,46.1388

2018-05-02,46.4860

2018-05-01,48.9300

2018-04-30,53.5470

2018-04-27,52.1212

2018-04-26,50.1015

2018-04-25,52.9919

2018-04-24,52.4199

2018-04-23,41.3124

2018-04-20,42.2380

2018-04-19,40.5837

2018-04-18,43.2084

2018-04-17,46.5277

2018-04-16,39.3071

2018-04-13,41.1889

2018-04-12,44.6493

2018-04-11,50.3117

2018-04-10,52.9546

2018-04-09,56.5707

2018-04-06,56.8634

2018-04-05,53.5617

2018-04-04,59.0884

2018-04-03,56.9348

2018-04-02,58.8860

2018-03-29,55.9900

2018-03-28,56.6225

2018-03-27,54.9993

2018-03-26,47.8166

2018-03-23,43.9308

2018-03-22,41.7010

2018-03-21,38.9475

2018-03-20,40.8743

2018-03-19,43.6767

2018-03-16,42.9458

2018-03-15,46.4798

2018-03-14,49.0146

2018-03-13,53.2051

2018-03-12,49.8046

2018-03-09,50.3832

2018-03-08,56.0090

2018-03-07,58.4563

2018-03-06,57.3303

2018-03-05,62.3979

2018-03-02,62.4699

2018-03-01,67.5148

2018-02-28,70.7161

2018-02-27,42.8126

2018-02-26,41.0832

2018-02-23,44.9640

2018-02-22,48.0425

2018-02-21,50.7956

2018-02-20,54.6496

2018-02-16,59.7157

2018-02-15,60.0976

2018-02-14,60.7695

2018-02-13,62.7589

2018-02-12,67.7411

2018-02-09,67.3414

2018-02-08,56.6943

2018-02-07,49.3003

2018-02-06,45.7029

2018-02-05,41.1312

2018-02-02,37.3865

2018-02-01,34.9531

2018-01-31,34.8288

2018-01-30,33.7935

2018-01-29,34.0419

2018-01-26,32.7826

2018-01-25,35.9782

2018-01-24,37.1902

2018-01-23,35.9153

2018-01-22,31.4966

2018-01-19,32.9550

2018-01-18,33.0012

2018-01-17,33.3662

2018-01-16,31.6377

2018-01-12,30.8294

2018-01-11,29.5443

2018-01-10,29.9428

2018-01-09,32.8961

2018-01-08,34.8913

2018-01-05,30.7617

2018-01-04,33.5271

2018-01-03,30.1913

2018-01-02,26.6717

2017-12-29,20.1096

2017-12-28,17.0233

2017-12-27,18.6241

2017-12-26,20.0426

2017-12-22,19.4008

2017-12-21,20.9672

2017-12-20,22.2290

2017-12-19,23.8137

2017-12-18,23.6152

2017-12-15,22.8315

2017-12-14,24.2018

2017-12-13,23.7723

2017-12-12,24.1178

2017-12-11,25.1823

2017-12-08,26.4129

2017-12-07,27.0286

2017-12-06,25.7995

2017-12-05,25.8781

2017-12-04,27.4402

2017-12-01,27.1702

2017-11-30,25.0653

2017-11-29,26.1351

2017-11-28,23.8789

2017-11-27,25.5361

2017-11-24,24.2476

2017-11-22,27.4682

2017-11-21,29.6254

2017-11-20,32.6843

2017-11-17,34.3903

2017-11-16,37.4229

2017-11-15,42.9936

2017-11-14,47.7408

2017-11-13,55.1060

2017-11-10,59.1137

2017-11-09,67.1847

2017-11-08,67.2196

2017-11-07,74.1695

2017-11-06,26.5211

2017-11-03,25.7963

