time,PPO
2019-11-15,-2.5425
2019-11-14,-1.9163
2019-11-13,-1.3218
2019-11-12,-0.6452
2019-11-11,-0.0386
2019-11-08,0.4092
2019-11-07,0.8871
2019-11-06,1.4290
2019-11-05,1.5374
2019-11-04,1.6104
2019-11-01,1.8211
2019-10-31,1.9077
2019-10-30,1.8810
2019-10-29,1.7427
2019-10-28,1.5339
2019-10-25,1.1901
2019-10-24,0.7140
2019-10-23,0.2442
2019-10-22,-0.1802
2019-10-21,-0.4425
2019-10-18,-0.7758
2019-10-17,-1.1295
2019-10-16,-1.3810
2019-10-15,-1.6352
2019-10-14,-1.8902
2019-10-11,-1.8933
2019-10-10,-1.8577
2019-10-09,-1.7343
2019-10-08,-1.4558
2019-10-07,-1.1202
2019-10-04,-0.6849
2019-10-03,-0.2926
2019-10-02,0.2711
2019-10-01,0.8679
2019-09-30,1.3815
2019-09-27,1.7310
2019-09-26,2.1513
2019-09-25,2.4070
2019-09-24,2.5002
2019-09-23,2.5395
2019-09-20,2.6850
2019-09-19,2.6586
2019-09-18,2.3962
2019-09-17,2.2899
2019-09-16,2.0991
2019-09-13,1.8061
2019-09-12,1.6775
2019-09-11,1.6561
2019-09-10,1.5316
2019-09-09,1.5951
2019-09-06,1.6656
2019-09-05,1.6864
2019-09-04,1.6246
2019-09-03,1.5451
2019-08-30,1.3318
2019-08-29,1.0855
2019-08-28,1.1018
2019-08-27,1.0772
2019-08-26,1.1208
2019-08-23,1.2978
2019-08-22,0.9861
2019-08-21,0.4310
2019-08-20,-0.1676
2019-08-19,-0.4498
2019-08-16,-0.6072
2019-08-15,-0.6670
2019-08-14,-0.5430
2019-08-13,-0.3908
2019-08-12,-0.1492
2019-08-09,-0.1243
2019-08-08,-0.1214
2019-08-07,-0.2344
2019-08-06,-0.0721
2019-08-05,0.1699
2019-08-02,0.4832
2019-08-01,0.6109
2019-07-31,0.7212
2019-07-30,0.7328
2019-07-29,0.6574
2019-07-26,0.5765
2019-07-25,0.4014
2019-07-24,0.4281
2019-07-23,0.5189
2019-07-22,0.8866
2019-07-19,1.1778
2019-07-18,1.4678
2019-07-17,1.6968
2019-07-16,1.9109
2019-07-15,1.9482
2019-07-12,1.9848
2019-07-11,2.0676
2019-07-10,2.3242
2019-07-09,2.8441
2019-07-08,3.2503
2019-07-05,3.5397
2019-07-03,3.5322
2019-07-02,3.4090
2019-07-01,3.2350
2019-06-28,3.2237
2019-06-27,3.1578
2019-06-26,3.1258
2019-06-25,3.0693
2019-06-24,2.8828
2019-06-21,2.4861
2019-06-20,2.1443
2019-06-19,1.7533
2019-06-18,0.9876
2019-06-17,0.2159
2019-06-14,-0.1994
2019-06-13,-0.5732
2019-06-12,-1.1084
2019-06-11,-1.5422
2019-06-10,-1.9988
2019-06-07,-2.2282
2019-06-06,-2.3669
2019-06-05,-2.5932
2019-06-04,-2.7244
2019-06-03,-2.7151
2019-05-31,-2.5177
2019-05-30,-2.3192
2019-05-29,-2.2847
2019-05-28,-1.9485
2019-05-24,-2.0478
2019-05-23,-2.1225
2019-05-22,-2.0687
2019-05-21,-2.0240
2019-05-20,-1.9126
2019-05-17,-1.7950
2019-05-16,-1.6408
2019-05-15,-1.3863
2019-05-14,-0.9878
2019-05-13,-0.5973
2019-05-10,-0.1974
2019-05-09,0.0897
2019-05-08,0.7255
2019-05-07,1.1326
2019-05-06,1.4897
2019-05-03,1.8236
2019-05-02,2.0598
2019-05-01,2.3202
2019-04-30,2.5042
2019-04-29,2.6275
2019-04-26,2.5256
2019-04-25,2.3900
2019-04-24,2.2542
2019-04-23,2.0425
2019-04-22,1.8403
2019-04-18,1.7369
2019-04-17,1.5423
2019-04-16,1.3923
2019-04-15,1.2268
2019-04-12,0.9602
2019-04-11,0.8152
2019-04-10,0.7272
2019-04-09,0.6052
2019-04-08,0.4498
2019-04-05,0.5463
2019-04-04,0.7306
2019-04-03,0.3740
2019-04-02,-0.0239
2019-04-01,-0.3540
2019-03-29,-0.7548
2019-03-28,-1.0281
2019-03-27,-1.4167
2019-03-26,-2.0027
2019-03-25,-2.5953
2019-03-22,-3.0344
2019-03-21,-3.3053
2019-03-20,-3.6844
2019-03-19,-4.1751
2019-03-18,-4.6209
2019-03-15,-5.1347
2019-03-14,-4.7427
2019-03-13,-4.2786
2019-03-12,-3.8935
2019-03-11,-3.3070
2019-03-08,-2.6687
2019-03-07,-1.9302
2019-03-06,-1.1551
2019-03-05,-0.4658
2019-03-04,0.1192
2019-03-01,0.8864
2019-02-28,1.6335
2019-02-27,2.3590
2019-02-26,2.5111
2019-02-25,2.7442
2019-02-22,3.2695
2019-02-21,3.6912
2019-02-20,3.9503
2019-02-19,4.1138
2019-02-15,4.2123
2019-02-14,4.3133
2019-02-13,4.3607
2019-02-12,4.3321
2019-02-11,4.2968
2019-02-08,4.4283
2019-02-07,4.1689
2019-02-06,3.7236
2019-02-05,3.4603
2019-02-04,3.0308
2019-02-01,2.5240
2019-01-31,2.3574
2019-01-30,2.1356
2019-01-29,1.6525
2019-01-28,1.1769
2019-01-25,0.4771
2019-01-24,0.0560
2019-01-23,-0.3793
2019-01-22,-0.7086
2019-01-18,-1.2589
2019-01-17,-1.6493
2019-01-16,-1.8822
2019-01-15,-2.0482
2019-01-14,-2.3538
2019-01-11,-2.6712
2019-01-10,-3.4466
2019-01-09,-4.1072
2019-01-08,-4.2944
2019-01-07,-4.4395
2019-01-04,-4.4027
2019-01-03,-4.4751
2019-01-02,-4.0112
2018-12-31,-3.5723
2018-12-28,-3.0077
2018-12-27,-2.5066
2018-12-26,-2.2918
2018-12-24,-2.0723
2018-12-21,-1.4173
2018-12-20,-0.9433
2018-12-19,-0.3863
2018-12-18,-0.1019
2018-12-17,-0.1031
2018-12-14,-0.0553
2018-12-13,-0.2705
2018-12-12,-0.4855
2018-12-11,-0.9351
2018-12-10,-1.4343
2018-12-07,-1.8694
2018-12-06,-2.1153
2018-12-04,-2.0455
2018-12-03,-1.7437
2018-11-30,-1.6501
2018-11-29,-1.2860
2018-11-28,-1.0290
2018-11-27,-0.6352
2018-11-26,0.0929
2018-11-23,0.9551
2018-11-21,1.6074
2018-11-20,1.9573
2018-11-19,2.3874
2018-11-16,2.8500
2018-11-15,3.0932
2018-11-14,3.0697
2018-11-13,2.6566
2018-11-12,2.0495
2018-11-09,1.5969
2018-11-08,0.7776
2018-11-07,0.1237
2018-11-06,-0.6008
2018-11-05,-1.3294
2018-11-02,-1.8268
2018-11-01,-2.1280
2018-10-31,-2.5667
2018-10-30,-3.0107
2018-10-29,-3.3838
2018-10-26,-3.7458
2018-10-25,-4.0142
2018-10-24,-3.9621
2018-10-23,-3.6213
2018-10-22,-3.4157
2018-10-19,-3.1243
2018-10-18,-2.5442
2018-10-17,-1.9500
2018-10-16,-1.4041
2018-10-15,-0.8234
2018-10-12,-0.3154
2018-10-11,0.1771
2018-10-10,0.7074
2018-10-09,1.1683
2018-10-08,1.3773
2018-10-05,1.4924
2018-10-04,1.5102
2018-10-03,1.4184
2018-10-02,1.1397
2018-10-01,1.0268
2018-09-28,0.7556
2018-09-27,0.4227
2018-09-26,0.1822
2018-09-25,0.0021
2018-09-24,0.0002
2018-09-21,0.0548
2018-09-20,-0.0394
2018-09-19,0.0937
2018-09-18,0.3500
2018-09-17,0.5221
2018-09-14,0.6509
2018-09-13,0.4544
2018-09-12,0.2907
2018-09-11,0.0071
2018-09-10,-0.2301
2018-09-07,-0.3650
2018-09-06,-0.6216
2018-09-05,-1.0758
2018-09-04,-1.5665
2018-08-31,-2.3060
2018-08-30,-2.9347
2018-08-29,-3.6366
2018-08-28,-4.1734
2018-08-27,-4.4373
2018-08-24,-4.5472
2018-08-23,-4.1480
2018-08-22,-3.6166
2018-08-21,-3.1606
2018-08-20,-2.8368
2018-08-17,-2.4311
2018-08-16,-2.0770
2018-08-15,-1.6590
2018-08-14,-1.3475
2018-08-13,-0.7777
2018-08-10,-0.2768
2018-08-09,0.0869
2018-08-08,0.2067
2018-08-07,0.0015
2018-08-06,-0.1812
2018-08-03,-0.3415
2018-08-02,-0.3122
2018-08-01,-0.3364
2018-07-31,-0.4006
2018-07-30,-0.5283
2018-07-27,-0.5906
2018-07-26,-0.8345
2018-07-25,-1.0163
2018-07-24,-1.0988
2018-07-23,-1.0661
2018-07-20,-1.0050
2018-07-19,-0.9793
2018-07-18,-1.0522
2018-07-17,-1.2233
2018-07-16,-1.4609
2018-07-13,-1.7382
2018-07-12,-1.9237
2018-07-11,-2.1010
2018-07-10,-2.0333
2018-07-09,-1.9178
2018-07-06,-1.7124
2018-07-05,-1.5248
2018-07-03,-1.2355
2018-07-02,-1.0047
2018-06-29,-0.7802
2018-06-28,-0.5720
2018-06-27,-0.2321
2018-06-26,0.1251
2018-06-25,0.4571
2018-06-22,0.7076
2018-06-21,0.9603
2018-06-20,1.1340
2018-06-19,1.1911
2018-06-18,1.2746
2018-06-15,1.2515
2018-06-14,1.0015
2018-06-13,0.7444
2018-06-12,0.5985
2018-06-11,0.3458
2018-06-08,0.1408
2018-06-07,-0.1175
2018-06-06,-0.4417
2018-06-05,-0.8299
2018-06-04,-1.0356
2018-06-01,-1.2121
2018-05-31,-1.3611
2018-05-30,-1.4320
2018-05-29,-1.5986
2018-05-25,-1.6819
2018-05-24,-1.4810
2018-05-23,-1.3578
2018-05-22,-1.0649
2018-05-21,-0.7132
2018-05-18,-0.4226
2018-05-17,-0.1304
2018-05-16,0.2389
2018-05-15,0.6389
2018-05-14,0.9637
2018-05-11,1.1904
2018-05-10,1.1775
2018-05-09,1.1441
2018-05-08,1.1608
2018-05-07,1.2823
2018-05-04,1.3516
2018-05-03,1.5950
2018-05-02,1.7739
2018-05-01,1.5928
2018-04-30,1.3933
2018-04-27,1.1462
2018-04-26,0.8973
2018-04-25,0.7107
2018-04-24,0.4683
2018-04-23,0.1426
2018-04-20,-0.1249
2018-04-19,-0.4684
2018-04-18,-0.8497
2018-04-17,-1.4875
2018-04-16,-1.8260
2018-04-13,-2.0871
2018-04-12,-2.1859
2018-04-11,-1.9964
2018-04-10,-1.9571
2018-04-09,-1.7359
2018-04-06,-1.3193
2018-04-05,-0.9030
2018-04-04,-0.3446
2018-04-03,0.3571
2018-04-02,1.1328
2018-03-29,2.0515
2018-03-28,2.7885
2018-03-27,3.7034
2018-03-26,4.4515
2018-03-23,5.0335
2018-03-22,5.7112
2018-03-21,6.2277
2018-03-20,6.6480
2018-03-19,6.9760
2018-03-16,7.1845
2018-03-15,7.2073
2018-03-14,6.6990
2018-03-13,6.2527
2018-03-12,5.7779
2018-03-09,4.9943
2018-03-08,4.2790
2018-03-07,3.6442
2018-03-06,3.0076
2018-03-05,2.3439
2018-03-02,1.4800
2018-03-01,0.6015
2018-02-28,-0.3173
2018-02-27,-1.2677
2018-02-26,-1.7163
2018-02-23,-1.8603
2018-02-22,-2.1600
2018-02-21,-2.4707
2018-02-20,-2.6429
2018-02-16,-2.5998
2018-02-15,-2.4564
2018-02-14,-2.2201
2018-02-13,-1.7975
2018-02-12,-1.1756
2018-02-09,-0.5063
2018-02-08,0.2119
2018-02-07,0.9465
2018-02-06,1.3912
2018-02-05,1.8154
2018-02-02,2.4040
2018-02-01,3.0253
2018-01-31,3.3677
2018-01-30,3.6845
2018-01-29,3.8735
2018-01-26,3.9406
2018-01-25,3.9223
2018-01-24,3.8911
2018-01-23,3.7159
2018-01-22,3.4865
2018-01-19,3.4871
2018-01-18,3.3375
2018-01-17,2.9198
2018-01-16,2.5646
2018-01-12,2.2531
2018-01-11,1.9142
2018-01-10,1.7357
2018-01-09,1.5964
2018-01-08,1.4431
2018-01-05,1.3660
2018-01-04,1.3245
2018-01-03,1.1973
2018-01-02,1.0423
2017-12-29,0.8983
2017-12-28,0.7673
2017-12-27,0.5582
2017-12-26,0.4005
