time,RSI
2019-11-04,22.6067
2019-11-01,24.6534
2019-10-31,26.8058
2019-10-30,30.6904
2019-10-29,15.4589
2019-10-28,38.3336
2019-10-25,19.6521
2019-10-24,20.6190
2019-10-23,4.5850
2019-10-22,7.1804
2019-10-21,8.9611
2019-10-18,8.2781
2019-10-17,12.0942
2019-10-16,18.0296
2019-10-15,7.7171
2019-10-14,10.0129
2019-10-11,13.9806
2019-10-10,19.6268
2019-10-09,25.6487
2019-10-08,34.0917
2019-10-07,41.6531
2019-10-04,43.8575
2019-10-03,42.8307
2019-10-02,35.6325
2019-10-01,41.7661
2019-09-30,46.2577
2019-09-27,52.4990
2019-09-26,58.0200
2019-09-25,15.5496
2019-09-24,20.3510
2019-09-23,28.1344
2019-09-20,47.8359
2019-09-19,46.3853
2019-09-18,42.9115
2019-09-17,66.2469
2019-09-16,62.8172
2019-09-13,54.5782
2019-09-12,44.6723
2019-09-11,40.7349
2019-09-10,21.7026
2019-09-09,25.1657
2019-09-06,34.2400
2019-09-05,50.0540
2019-09-04,60.1207
2019-09-03,58.8251
2019-08-30,75.3876
2019-08-29,72.4047
2019-08-28,64.0146
2019-08-27,57.4247
2019-08-26,53.5123
2019-08-23,31.4270
2019-08-22,38.8003
2019-08-21,40.5658
2019-08-20,43.9308
2019-08-19,18.6485
2019-08-16,18.8352
2019-08-15,17.3843
2019-08-14,32.7495
2019-08-13,39.2678
2019-08-12,42.0431
2019-08-09,32.0347
2019-08-08,28.5573
2019-08-07,31.9216
2019-08-06,22.0853
2019-08-05,31.3262
2019-08-02,32.1836
2019-08-01,30.7978
2019-07-31,44.8131
2019-07-30,43.0403
2019-07-29,71.9651
2019-07-26,96.0615
2019-07-25,94.7307
2019-07-24,90.4598
2019-07-23,87.4150
2019-07-22,86.8368
2019-07-19,73.6765
2019-07-18,62.5920
2019-07-17,61.1724
2019-07-16,70.1467
2019-07-15,60.6628
2019-07-12,61.3836
2019-07-11,81.9417
2019-07-10,70.5136
2019-07-09,59.6365
2019-07-08,57.0764
2019-07-05,47.7652
2019-07-03,45.1003
2019-07-02,41.3057
2019-07-01,45.3240
2019-06-28,58.0816
2019-06-27,61.9202
2019-06-26,59.5921
2019-06-25,49.5621
2019-06-24,37.4880
2019-06-21,50.7868
2019-06-20,66.6880
2019-06-19,73.5461
2019-06-18,74.4552
2019-06-17,74.5398
2019-06-14,66.5021
2019-06-13,61.1441
2019-06-12,61.5972
2019-06-11,54.1285
2019-06-10,91.8666
2019-06-07,86.6548
2019-06-06,58.1038
2019-06-05,67.2128
2019-06-04,69.4900
2019-06-03,59.7174
2019-05-31,83.0955
2019-05-30,78.3947
2019-05-29,77.4039
2019-05-28,63.1341
2019-05-24,48.9331
2019-05-23,55.4986
2019-05-22,44.5501
2019-05-21,44.2308
2019-05-20,63.5801
2019-05-17,73.3180
2019-05-16,84.6802
2019-05-15,80.6479
2019-05-14,74.0559
2019-05-13,57.9395
2019-05-10,49.9210
2019-05-09,55.1809
