time,SAR
2019-11-04,110.3296
2019-11-01,114.0659
2019-10-31,118.2639
2019-10-30,122.9808
2019-10-29,128.2807
2019-10-28,131.8507
2019-10-25,135.8175
2019-10-24,140.2250
2019-10-23,144.4753
2019-10-22,147.8601
2019-10-21,151.0101
2019-10-18,153.7611
2019-10-17,155.7033
2019-10-16,157.1689
2019-10-15,158.6955
2019-10-14,159.7490
2019-10-11,160.3431
2019-10-10,160.6000
2019-10-09,135.2061
2019-10-08,134.9496
2019-10-07,134.6905
2019-10-04,134.4288
2019-10-03,134.1644
2019-10-02,133.8974
2019-10-01,133.6276
2019-09-30,133.3552
2019-09-27,133.0800
2019-09-26,133.0800
2019-09-25,157.8774
2019-09-24,159.0146
2019-09-23,160.2117
2019-09-20,161.4718
2019-09-19,162.7982
2019-09-18,164.1944
2019-09-17,165.6641
2019-09-16,167.2111
2019-09-13,168.8396
2019-09-12,170.5538
2019-09-11,172.3582
2019-09-10,174.2576
2019-09-09,176.2570
2019-09-06,178.3615
2019-09-05,180.5769
2019-09-04,182.9088
2019-09-03,185.3635
2019-08-30,187.9474
2019-08-29,190.6672
2019-08-28,193.5302
2019-08-27,196.5439
2019-08-26,199.7162
2019-08-23,203.0555
2019-08-22,206.5705
2019-08-21,210.2706
2019-08-20,214.1653
2019-08-19,218.2651
2019-08-16,222.5806
2019-08-15,226.1420
2019-08-14,228.2495
2019-08-13,230.4222
2019-08-12,232.6620
2019-08-09,234.9712
2019-08-08,237.3517
2019-08-07,238.9191
2019-08-06,239.7100
2019-08-05,164.6662
2019-08-02,161.5394
2019-08-01,158.2823
2019-07-31,154.8895
2019-07-30,151.3553
2019-07-29,147.6739
2019-07-26,143.8390
2019-07-25,141.3941
2019-07-24,140.0250
2019-07-23,138.6280
2019-07-22,138.0000
2019-07-19,182.0446
2019-07-18,182.9435
2019-07-17,183.8607
2019-07-16,184.7966
2019-07-15,185.7517
2019-07-12,186.7262
2019-07-11,187.7206
2019-07-10,188.7353
2019-07-09,189.7707
2019-07-08,190.8273
2019-07-05,191.9054
2019-07-03,193.0055
2019-07-02,194.1280
2019-07-01,195.2735
2019-06-28,196.4424
2019-06-27,197.6351
2019-06-26,198.8521
2019-06-25,200.0940
2019-06-24,201.3612
2019-06-21,201.8800
2019-06-20,149.2023
2019-06-19,142.6915
2019-06-18,135.3761
2019-06-17,129.7035
2019-06-14,123.4005
2019-06-13,116.3972
2019-06-12,108.6158
2019-06-11,99.9698
2019-06-10,90.3631
2019-06-07,84.5184
2019-06-06,82.4180
2019-06-05,80.1350
2019-06-04,77.6534
2019-06-03,74.9561
2019-05-31,72.6759
2019-05-30,70.2241
2019-05-29,68.4735
2019-05-28,66.9835
2019-05-24,65.4151
2019-05-23,63.7641
2019-05-22,62.0262
2019-05-21,60.1968
2019-05-20,58.2712
2019-05-17,56.2442
2019-05-16,54.1105
2019-05-15,52.4901
2019-05-14,51.4708
2019-05-13,50.4198
2019-05-10,49.3364
2019-05-09,48.2195
2019-05-08,47.0681
2019-05-07,45.8810
2019-05-06,45.2900
2019-05-03,45.0000
