time,SlowD,SlowK
2019-11-18,5.9711,4.3239
2019-11-15,11.8846,5.0324
2019-11-14,27.4911,8.5570
2019-11-13,40.9364,22.0644
2019-11-12,44.8437,51.8518
2019-11-11,31.9355,48.8930
2019-11-08,23.6626,33.7863
2019-11-07,20.8986,13.1271
2019-11-06,23.6332,24.0744
2019-11-05,19.1252,25.4943
2019-11-04,13.2060,21.3309
2019-11-01,13.9998,10.5503
2019-10-31,27.3221,7.7367
2019-10-30,50.8990,23.7123
2019-10-29,72.2662,50.5174
2019-10-28,86.2080,78.4673
2019-10-25,89.2204,87.8138
2019-10-24,87.2514,92.3429
2019-10-23,83.3843,87.5044
2019-10-22,77.9261,81.9070
2019-10-21,70.4487,80.7416
2019-10-18,54.8418,71.1298
2019-10-17,38.3068,59.4747
2019-10-16,21.0063,33.9208
2019-10-15,16.9804,21.5250
2019-10-14,24.1712,7.5730
2019-10-11,41.8951,21.8431
2019-10-10,56.3203,43.0976
2019-10-09,63.0009,60.7447
2019-10-08,61.2343,65.1187
2019-10-07,50.3693,63.1395
2019-10-04,35.0392,55.4447
2019-10-03,21.7061,32.5239
2019-10-02,20.9195,17.1490
2019-10-01,26.6014,15.4453
2019-09-30,30.4544,30.1640
2019-09-27,25.5931,34.1948
2019-09-26,17.8609,27.0044
2019-09-25,12.4696,15.5801
2019-09-24,19.8150,10.9982
2019-09-23,36.3473,10.8306
2019-09-20,59.1746,37.6161
2019-09-19,68.3932,60.5953
2019-09-18,62.0427,79.3125
2019-09-17,50.9537,65.2718
2019-09-16,47.2137,41.5439
2019-09-13,58.6276,46.0456
2019-09-12,70.5055,54.0516
2019-09-11,81.7613,75.7855
2019-09-10,84.7518,81.6793
2019-09-09,85.1240,87.8191
2019-09-06,76.1343,84.7570
2019-09-05,65.1490,82.7959
2019-09-04,49.3161,60.8500
2019-09-03,37.7693,51.8011
2019-08-30,26.8243,35.2972
2019-08-29,18.9554,26.2096
2019-08-28,13.8075,18.9662
2019-08-27,9.4485,11.6903
2019-08-26,7.3376,10.7659
2019-08-23,5.8767,5.8892
2019-08-22,7.3059,5.3576
2019-08-21,8.2975,6.3834
2019-08-20,10.9122,10.1767
2019-08-19,21.0175,8.3325
2019-08-16,39.1945,14.2272
2019-08-15,62.3202,40.4926
2019-08-14,75.2269,62.8635
2019-08-13,78.9029,83.6045
2019-08-12,72.2049,79.2127
2019-08-09,59.9997,73.8915
2019-08-08,48.3866,63.5105
2019-08-07,35.1282,42.5972
2019-08-06,27.7313,39.0520
2019-08-05,18.9224,23.7353
2019-08-02,16.5481,20.4067
2019-08-01,16.6885,12.6251
2019-07-31,20.8043,16.6125
2019-07-30,26.9374,20.8278
2019-07-29,34.5609,24.9726
2019-07-26,38.9830,35.0116
2019-07-25,41.6814,43.6985
2019-07-24,44.1937,38.2388
2019-07-23,52.9803,43.1071
2019-07-22,57.0176,51.2352
2019-07-19,53.5049,64.5988
2019-07-18,39.3029,55.2189
2019-07-17,25.4473,40.6970
