time,SAR

2019-11-04,135.0861

2019-11-01,134.8701

2019-10-31,134.6497

2019-10-30,134.4248

2019-10-29,134.1953

2019-10-28,133.9612

2019-10-25,133.8821

2019-10-24,133.8022

2019-10-23,133.7215

2019-10-22,133.6400

2019-10-21,133.5577

2019-10-18,133.4745

2019-10-17,133.3905

2019-10-16,133.3057

2019-10-15,133.2200

2019-10-14,141.0870

2019-10-11,141.2476

2019-10-10,141.4114

2019-10-09,141.5786

2019-10-08,141.7492

2019-10-07,141.9232

2019-10-04,142.1009

2019-10-03,142.2821

2019-10-02,142.3700

2019-10-01,135.1961

2019-09-30,134.9742

2019-09-27,134.7455

2019-09-26,134.5097

2019-09-25,134.2665

2019-09-24,134.0159

2019-09-23,133.7576

2019-09-20,133.4912

2019-09-19,133.2166

2019-09-18,133.0704

2019-09-17,132.9212

2019-09-16,132.7690

2019-09-13,132.6137

2019-09-12,132.4552

2019-09-11,132.2934

2019-09-10,132.1284

2019-09-09,131.9600

2019-09-06,131.7882

2019-09-05,131.6128

2019-09-04,131.5333

2019-09-03,131.4529

2019-08-30,131.3717

2019-08-29,131.2897

2019-08-28,131.2069

2019-08-27,131.1232

2019-08-26,131.0387

2019-08-23,130.9533

2019-08-22,130.8671

2019-08-21,130.7800

2019-08-20,139.3510

2019-08-19,139.5259

2019-08-16,139.7044

2019-08-15,139.8865

2019-08-14,140.0724

2019-08-13,140.2620

2019-08-12,140.4555

2019-08-09,140.6530

2019-08-08,140.8545

2019-08-07,141.0601

2019-08-06,141.2699

2019-08-05,141.4840

2019-08-02,141.5487

2019-08-01,141.6140

2019-07-31,141.6800

2019-07-30,135.4184

2019-07-29,135.2247

2019-07-26,135.0250

2019-07-25,134.9084

2019-07-24,134.7894

2019-07-23,134.7300

2019-07-22,134.6700

2019-07-19,134.6700

2019-07-18,139.5400

2019-07-17,135.5626

2019-07-16,135.0710

2019-07-15,134.5186

2019-07-12,133.9963

2019-07-11,133.4158

2019-07-10,132.9051

2019-07-09,132.4273

2019-07-08,131.9079

2019-07-05,131.3434

2019-07-03,130.7298

2019-07-02,130.0628

2019-07-01,129.3378

2019-06-28,128.5498

2019-06-27,127.6933

2019-06-26,126.7622

2019-06-25,125.7503

2019-06-24,124.6503

2019-06-21,123.6658

2019-06-20,122.7726

2019-06-19,122.0801

2019-06-18,121.5317

2019-06-17,121.1387

2019-06-14,120.7335

2019-06-13,120.3158

2019-06-12,119.8851

2019-06-11,119.4412

2019-06-10,119.1424

2019-06-07,119.0100

2019-06-06,129.7194

2019-06-05,129.9380

2019-06-04,130.1610

2019-06-03,130.3886

2019-05-31,130.4600

2019-05-30,123.6132

2019-05-29,123.5441

2019-05-28,123.4742

2019-05-24,123.4037

2019-05-23,123.3324

2019-05-22,123.2604

2019-05-21,123.1877

2019-05-20,123.1142

2019-05-17,123.0400

2019-05-16,129.6274

2019-05-15,129.9019

2019-05-14,130.1878

2019-05-13,130.4856

2019-05-10,130.6995

2019-05-09,130.9200

2019-05-08,131.0567

2019-05-07,131.1962

2019-05-06,131.2536

2019-05-03,131.3115

2019-05-02,131.3700

2019-05-01,127.2305

2019-04-30,126.3219

2019-04-29,125.2138

2019-04-26,123.8624

2019-04-25,122.2144

2019-04-24,121.4697

2019-04-23,120.6868

2019-04-22,120.1021

2019-04-18,119.5457

2019-04-17,119.2014

2019-04-16,118.8685

2019-04-15,118.5333

2019-04-12,118.2615

2019-04-11,118.0053

2019-04-10,117.7606

2019-04-09,117.4945

2019-04-08,117.2053

2019-04-05,116.8910

2019-04-04,116.5494

2019-04-03,116.1780

2019-04-02,115.7744

2019-04-01,115.3356

2019-03-29,114.8587

2019-03-28,114.3403

2019-03-27,113.7769

2019-03-26,113.1644

2019-03-25,112.4987

2019-03-22,111.7752

2019-03-21,110.9887

2019-03-20,110.4045

2019-03-19,109.8916

2019-03-18,109.4853

2019-03-15,109.1616

2019-03-14,108.9749

2019-03-13,108.8519

2019-03-12,108.8000

2019-03-11,113.2055

2019-03-08,113.2500

2019-03-07,109.3039

2019-03-06,108.8162

2019-03-05,108.2682

2019-03-04,107.6525

2019-03-01,107.0316

2019-02-28,106.3418

2019-02-27,105.5754

2019-02-26,104.7237

2019-02-25,103.9863

2019-02-22,103.3590

2019-02-21,102.8983

2019-02-20,102.5305

2019-02-19,102.1393

2019-02-15,101.8151

2019-02-14,101.5615

2019-02-13,101.2974

2019-02-12,101.0223

2019-02-11,100.7357

2019-02-08,100.4372

2019-02-07,100.1263

2019-02-06,99.8024

2019-02-05,99.4650

2019-02-04,99.1135

2019-02-01,98.7474

2019-01-31,98.3660

2019-01-30,97.9688

2019-01-29,97.5550

2019-01-28,97.1239

2019-01-25,96.6749

2019-01-24,96.2072

2019-01-23,95.7200

2019-01-22,95.2125

2019-01-18,94.6839

2019-01-17,94.3146

2019-01-16,94.0709

2019-01-15,93.9600

2019-01-14,105.2510

2019-01-11,105.7215

2019-01-10,106.2115

2019-01-09,106.7220

2019-01-08,107.2538

2019-01-07,107.8077

2019-01-04,108.3847

2019-01-03,108.9857

2019-01-02,109.6118

2018-12-31,110.2639

2018-12-28,110.9433

2018-12-27,111.6509

2018-12-26,112.3880

2018-12-24,112.9573

2018-12-21,113.2736

2018-12-20,113.4200

2018-12-19,100.8253

2018-12-18,100.6981

2018-12-17,100.5696

2018-12-14,100.4398

2018-12-13,100.3086

2018-12-12,100.1762

2018-12-11,100.0424

2018-12-10,99.9073

2018-12-07,99.7708

2018-12-06,99.6329

2018-12-04,99.4937

2018-12-03,99.3530

2018-11-30,111.3653

2018-11-29,111.4867

2018-11-28,111.6092

2018-11-27,111.7330

2018-11-26,111.8581

2018-11-23,111.9844

2018-11-21,112.1120

2018-11-20,112.2409

2018-11-19,102.9288

2018-11-16,102.6408

2018-11-15,102.3439

2018-11-14,102.0378

2018-11-13,101.7222

2018-11-12,101.3969

2018-11-09,101.0615

2018-11-08,100.7158

2018-11-07,100.3593

2018-11-06,100.1863

2018-11-05,100.1100

2018-11-02,108.1400

2018-11-01,108.1400

2018-10-31,108.7000

2018-10-30,109.0778

2018-10-29,109.5558

2018-10-26,110.0642

2018-10-25,110.6051

2018-10-24,111.1806

2018-10-23,111.5479

2018-10-22,111.9347

2018-10-19,112.3418

2018-10-18,112.7703

2018-10-17,113.2214

2018-10-16,113.6962

2018-10-15,114.1960

2018-10-12,114.7221

2018-10-11,115.2759

2018-10-10,115.6711

2018-10-09,115.8669

2018-10-08,116.0688

2018-10-05,116.1796

2018-10-04,116.1796

2018-10-03,112.4223

2018-10-02,112.0426

2018-10-01,111.6828

2018-09-28,111.3692

2018-09-27,111.0282

2018-09-26,110.6576

2018-09-25,110.2548

2018-09-24,109.8170

2018-09-21,109.3411

2018-09-20,109.0043

2018-09-19,108.7026

2018-09-18,108.3817

2018-09-17,108.0403

2018-09-14,107.6772

2018-09-13,107.3589

2018-09-12,107.1331

2018-09-11,106.8980

2018-09-10,106.6530

2018-09-07,106.3978

2018-09-06,106.1320

2018-09-05,105.8552

2018-09-04,105.5667

2018-08-31,105.2663

2018-08-30,105.0392

2018-08-29,104.8965

2018-08-28,104.8400

2018-08-27,110.1590

2018-08-24,110.2127

2018-08-23,110.2670

2018-08-22,110.3218

2018-08-21,110.3772

2018-08-20,110.4331

2018-08-17,110.4896

2018-08-16,110.5467

2018-08-15,110.6043

2018-08-14,110.6625

2018-08-13,110.7213

2018-08-10,110.7807

2018-08-09,110.8407

2018-08-08,110.9014

2018-08-07,110.9626

2018-08-06,111.0244

2018-08-03,111.0869

2018-08-02,111.1500

2018-08-01,104.7600

2018-07-31,104.5746

2018-07-30,103.9243

2018-07-27,103.2096

2018-07-26,102.4243

2018-07-25,101.5613

2018-07-24,100.9301

2018-07-23,100.3830

2018-07-20,99.7946

2018-07-19,99.3666

2018-07-18,98.9112

2018-07-17,98.4269

2018-07-16,98.0377

2018-07-13,97.7226

2018-07-12,97.5158

2018-07-11,97.4139

2018-07-10,97.3099

2018-07-09,97.2600

2018-07-06,101.8745

2018-07-05,101.9687

2018-07-03,102.0647

2018-07-02,102.1628

2018-06-29,102.2629

2018-06-28,102.3650

2018-06-27,102.4161

2018-06-26,102.4678

2018-06-25,102.5200

2018-06-22,99.4817

2018-06-21,99.4510

2018-06-20,99.4200

2018-06-19,102.5008

2018-06-18,102.5961

2018-06-15,102.6476

2018-06-14,102.6687

2018-06-13,102.6900

2018-06-12,100.5342

2018-06-11,100.3800

2018-06-08,100.0362

2018-06-07,99.4926

2018-06-06,98.9007

2018-06-05,98.2956

2018-06-04,97.7153

2018-06-01,97.2454

2018-05-31,96.8712

2018-05-30,96.5771

2018-05-29,96.3102

2018-05-25,96.0135

2018-05-24,95.7241

2018-05-23,95.4627

2018-05-22,95.2198

2018-05-21,94.9586

2018-05-18,94.6777

2018-05-17,94.3757

2018-05-16,94.0510

2018-05-15,93.7018

2018-05-14,93.3263

2018-05-11,93.0312

2018-05-10,92.7173

2018-05-09,92.4445

2018-05-08,92.1573

