time,ATR

2019-11-01,15.4104

2019-10-31,16.9605

2019-10-30,18.4231

2019-10-29,20.1589

2019-10-28,18.6261

2019-10-25,19.1926

2019-10-24,20.4358

2019-10-23,18.7697

2019-10-22,18.7842

2019-10-21,15.6052

2019-10-18,15.7690

2019-10-17,13.9938

2019-10-16,14.9222

2019-10-15,12.6927

2019-10-14,14.4309

2019-10-11,13.6987

2019-10-10,13.9058

2019-10-09,12.8123

2019-10-08,14.6004

2019-10-07,14.3705

2019-10-04,15.6106

2019-10-03,16.9257

2019-10-02,15.5511

2019-10-01,16.3089

2019-09-30,17.5861

2019-09-27,18.3677

2019-09-26,19.2871

2019-09-25,20.6514

2019-09-24,18.3754

2019-09-23,15.9018

2019-09-20,16.1883

2019-09-19,15.5103

2019-09-18,16.7304

2019-09-17,17.3280

2019-09-16,18.0350

2019-09-13,17.8087

2019-09-12,17.2959

2019-09-11,18.2924

2019-09-10,19.2155

2019-09-09,18.1244

2019-09-06,14.2317

2019-09-05,13.8872

2019-09-04,14.2052

2019-09-03,15.5090

2019-08-30,16.2363

2019-08-29,14.6179

2019-08-28,15.4498

2019-08-27,15.0473

2019-08-26,15.3966

2019-08-23,15.4433

2019-08-22,14.3256

2019-08-21,14.7045

2019-08-20,14.2606

2019-08-19,13.5807

2019-08-16,15.1834

2019-08-15,15.6268

2019-08-14,16.5785

2019-08-13,15.3032

2019-08-12,15.2865

2019-08-09,16.3306

2019-08-08,16.0682

2019-08-07,15.7678

2019-08-06,16.1347

2019-08-05,17.1709

2019-08-02,16.7636

2019-08-01,16.2746

2019-07-31,12.1157

2019-07-30,12.4896

2019-07-29,12.6170

2019-07-26,9.9030

2019-07-25,10.7162

2019-07-24,10.6467

2019-07-23,11.3794

2019-07-22,11.6343

2019-07-19,11.8339

2019-07-18,12.4623

2019-07-17,12.9200

2019-07-16,11.2600

2019-07-15,11.8425

2019-07-12,10.2371

2019-07-11,9.4944

2019-07-10,10.4808

2019-07-09,10.9809

2019-07-08,12.5077

2019-07-05,11.4246

2019-07-03,11.6507

2019-07-02,12.5484

2019-07-01,13.1905

2019-06-28,14.3331

2019-06-27,14.9289

2019-06-26,15.3086

2019-06-25,15.6818

2019-06-24,12.0823

2019-06-21,11.1528

2019-06-20,12.1235

2019-06-19,11.9194

2019-06-18,8.5768

2019-06-17,8.8109

2019-06-14,9.8126

2019-06-13,11.0033

2019-06-12,11.6404

2019-06-11,11.8755

2019-06-10,11.6093

2019-06-07,11.7155

2019-06-06,11.5668

2019-06-05,11.9335

2019-06-04,10.2019

2019-06-03,10.2549

2019-05-31,8.9836

2019-05-30,9.5259

2019-05-29,10.1484

2019-05-28,9.7080

2019-05-24,9.6075

2019-05-23,10.1944

2019-05-22,9.9930

2019-05-21,10.1012

2019-05-20,11.0245

2019-05-17,11.5916

2019-05-16,12.5245

2019-05-15,11.8256

2019-05-14,10.9370

2019-05-13,10.7193

2019-05-10,10.0966

2019-05-09,10.0371

2019-05-08,10.6939

2019-05-07,11.5899

2019-05-06,11.5374

2019-05-03,11.5217

2019-05-02,11.4996

2019-05-01,10.4596

2019-04-30,9.3464

2019-04-29,6.2556

2019-04-26,6.2025

2019-04-25,6.2006

2019-04-24,6.3583

2019-04-23,6.4537

2019-04-22,6.7468

2019-04-18,6.7285

2019-04-17,6.4981

2019-04-16,6.3676

2019-04-15,5.9071

2019-04-12,5.8138

2019-04-11,6.2823

2019-04-10,6.5465

2019-04-09,6.9506

2019-04-08,6.9685

2019-04-05,7.3200

2019-04-04,8.3325

2019-04-03,6.7306

2019-04-02,6.6858

2019-04-01,6.4572

2019-03-29,6.3266

2019-03-28,6.8307

2019-03-27,6.8509

2019-03-26,6.2861

2019-03-25,6.3676

2019-03-22,6.3895

2019-03-21,6.3894

2019-03-20,6.3905

2019-03-19,6.8956

2019-03-18,6.0328

2019-03-15,6.4085

2019-03-14,6.5631

2019-03-13,6.6539

2019-03-12,7.1698

2019-03-11,7.2773

2019-03-08,6.3516

2019-03-07,5.6895

2019-03-06,5.7169

2019-03-05,5.9811

2019-03-04,6.2739

2019-03-01,4.7341

2019-02-28,5.0101

2019-02-27,5.3481

2019-02-26,5.5702

2019-02-25,5.9427

2019-02-22,6.1459

2019-02-21,6.3849

2019-02-20,7.1863

2019-02-19,7.3004

2019-02-15,7.1217

2019-02-14,7.6497

2019-02-13,7.6421

2019-02-12,7.3124

2019-02-11,5.3252

2019-02-08,4.8903

2019-02-07,4.2654

2019-02-06,4.5587

2019-02-05,4.7484

2019-02-04,5.0566

2019-02-01,5.2232

2019-01-31,5.6565

2019-01-30,5.1507

2019-01-29,4.9708

2019-01-28,4.7186

2019-01-25,4.7882

2019-01-24,4.6777

2019-01-23,5.0597

2019-01-22,4.8958

2019-01-18,5.0023

2019-01-17,5.6179

2019-01-16,5.9823

2019-01-15,6.1554

2019-01-14,6.0843

2019-01-11,6.2953

2019-01-10,7.0467

2019-01-09,7.4608

2019-01-08,7.8435

2019-01-07,8.3519

2019-01-04,8.4924

2019-01-03,8.1875

2019-01-02,8.2044

2018-12-31,8.2630

2018-12-28,8.5602

2018-12-27,9.0228

2018-12-26,9.3885

2018-12-24,8.8731

2018-12-21,9.7839

2018-12-20,10.5339

2018-12-19,9.8021

2018-12-18,10.0427

2018-12-17,10.9184

2018-12-14,10.8029

2018-12-13,8.2387

2018-12-12,9.1383

2018-12-11,9.1479

2018-12-10,9.6024

2018-12-07,10.0823

2018-12-06,8.9279

2018-12-04,7.4226

2018-12-03,6.8408

2018-11-30,6.9410

2018-11-29,7.4038

2018-11-28,7.9532

2018-11-27,8.5540

2018-11-26,9.4137

2018-11-23,9.3396

2018-11-21,10.0358

2018-11-20,10.6297

2018-11-19,9.6822

2018-11-16,7.6977

2018-11-15,8.0271

2018-11-14,7.5914

2018-11-13,8.0593

2018-11-12,8.4816

2018-11-09,8.1020

2018-11-08,7.3917

2018-11-07,8.1276

2018-11-06,8.0170

2018-11-05,8.8187

2018-11-02,9.5759

2018-11-01,10.3049

2018-10-31,10.5261

2018-10-30,10.7802

2018-10-29,11.0852

2018-10-26,10.7065

2018-10-25,10.9106

2018-10-24,9.6208

2018-10-23,8.8885

2018-10-22,9.1956

2018-10-19,9.0077

2018-10-18,8.4644

2018-10-17,8.9355

2018-10-16,8.0119

2018-10-15,7.4223

2018-10-12,8.0504

2018-10-11,7.9180

2018-10-10,8.0726

2018-10-09,7.0382

2018-10-08,7.6915

2018-10-05,7.7369

2018-10-04,7.0861

2018-10-03,5.7576

2018-10-02,5.7570

2018-10-01,5.1888

2018-09-28,5.3975

2018-09-27,5.5643

2018-09-26,6.2779

2018-09-25,6.6174

2018-09-24,6.7367

2018-09-21,6.4384

2018-09-20,6.1605

2018-09-19,6.5881

2018-09-18,6.9889

2018-09-17,6.0936

2018-09-14,6.1221

2018-09-13,6.3196

2018-09-12,6.5570

2018-09-11,6.3087

2018-09-10,5.9761

2018-09-07,6.5952

2018-09-06,5.5990

2018-09-05,4.9719

2018-09-04,3.7549

2018-08-31,3.8657

2018-08-30,4.1146

2018-08-29,4.3425

2018-08-28,4.7456

2018-08-27,5.1070

2018-08-24,4.9462

2018-08-23,5.1803

2018-08-22,5.5127

2018-08-21,5.3509

2018-08-20,5.5586

2018-08-17,5.5773

2018-08-16,5.8591

2018-08-15,6.5088

2018-08-14,6.2736

2018-08-13,6.7944

2018-08-10,6.3431

2018-08-09,6.1713

2018-08-08,6.4792

2018-08-07,7.2764

2018-08-06,7.7283

2018-08-03,8.5579

2018-08-02,9.5374

2018-08-01,9.0267

2018-07-31,9.9511

2018-07-30,8.7341

2018-07-27,7.6427

2018-07-26,6.2803

2018-07-25,6.5679

2018-07-24,6.0949

2018-07-23,5.1264

2018-07-20,5.1250

2018-07-19,5.4087

2018-07-18,5.7809

2018-07-17,6.1138

2018-07-16,5.3298

2018-07-13,5.5122

2018-07-12,5.7937

2018-07-11,5.4371

2018-07-10,5.3736

2018-07-09,6.0783

2018-07-06,6.0578

2018-07-05,6.2373

2018-07-03,6.8446

2018-07-02,7.3817

2018-06-29,7.1771

2018-06-28,7.8228

2018-06-27,7.9210

2018-06-26,6.9213

2018-06-25,7.2726

2018-06-22,6.2208

2018-06-21,6.1235

2018-06-20,5.2816

2018-06-19,5.4770

2018-06-18,5.4038

2018-06-15,5.2237

2018-06-14,5.3526

2018-06-13,5.7483

2018-06-12,5.3554

2018-06-11,5.2542

2018-06-08,5.3511

2018-06-07,5.3563

2018-06-06,4.9129

2018-06-05,4.7637

2018-06-04,4.6646

2018-06-01,4.0657

2018-05-31,4.0534

2018-05-30,3.9518

2018-05-29,4.0622

2018-05-25,4.2003

2018-05-24,4.7554

2018-05-23,5.0890

2018-05-22,5.4237

2018-05-21,4.9797

2018-05-18,4.3371

2018-05-17,4.6788

2018-05-16,4.6691

2018-05-15,5.2063

2018-05-14,5.2279

2018-05-11,5.0199

2018-05-10,5.2848

2018-05-09,6.1460

2018-05-08,6.8138

2018-05-07,6.6448

2018-05-04,7.5759

2018-05-03,8.0622

2018-05-02,7.2577

2018-05-01,7.2572

2018-04-30,5.3663

2018-04-27,4.7553

2018-04-26,5.2066

2018-04-25,5.1333

2018-04-24,5.2204

2018-04-23,5.1905

2018-04-20,4.9706

2018-04-19,5.6345

2018-04-18,6.0419

2018-04-17,6.2899

2018-04-16,5.2673

2018-04-13,5.5042

2018-04-12,5.3927

2018-04-11,6.2111

2018-04-10,6.5539

2018-04-09,7.0574

2018-04-06,7.2492

2018-04-05,7.8540

2018-04-04,8.3375

2018-04-03,8.2094

2018-04-02,8.3418

2018-03-29,8.6272

2018-03-28,8.8566

2018-03-27,9.0357

2018-03-26,8.3165

2018-03-23,6.0656

2018-03-22,5.7139

2018-03-21,5.2749

2018-03-20,5.1586

2018-03-19,3.9932

2018-03-16,3.6765

2018-03-15,3.9006

2018-03-14,4.1758

2018-03-13,4.1597

2018-03-12,4.1389

2018-03-09,4.4812

2018-03-08,4.8365

2018-03-07,4.9606

2018-03-06,4.8401

2018-03-05,5.0302

2018-03-02,4.8252

2018-03-01,5.2740

2018-02-28,5.1350

2018-02-27,5.7088

2018-02-26,6.1735

2018-02-23,6.9218

2018-02-22,7.6773

2018-02-21,8.6904

2018-02-20,8.3605

2018-02-16,8.0756

2018-02-15,8.9570

2018-02-14,8.5856

2018-02-13,7.4470

2018-02-12,7.9863

2018-02-09,7.6329

2018-02-08,7.0986

2018-02-07,6.7285

2018-02-06,6.8382

2018-02-05,5.8877

2018-02-02,5.1127

2018-02-01,5.1708

2018-01-31,5.0988

2018-01-30,5.2785

2018-01-29,4.5456

2018-01-26,4.4946

2018-01-25,4.0007

2018-01-24,3.3584

2018-01-23,3.2730

2018-01-22,3.0249

2018-01-19,2.7286

2018-01-18,3.1083

2018-01-17,3.2203

2018-01-16,2.9354

2018-01-12,2.7992

2018-01-11,2.6466

2018-01-10,2.9957

2018-01-09,3.1296

2018-01-08,2.9270

2018-01-05,2.9844

2018-01-04,3.0431

2018-01-03,3.0913

2018-01-02,3.2067

2017-12-29,2.8283

2017-12-28,2.9979

2017-12-27,2.8399

2017-12-26,3.0798

2017-12-22,2.8898

2017-12-21,2.9448

2017-12-20,3.1735

2017-12-19,3.1593

2017-12-18,3.4441

2017-12-15,3.6002

2017-12-14,3.6127

2017-12-13,4.0537

2017-12-12,4.3621

2017-12-11,4.5501

2017-12-08,4.6014

2017-12-07,4.9592

2017-12-06,5.1490

2017-12-05,5.7365

2017-12-04,5.6282

2017-12-01,4.7652

2017-11-30,4.7890

2017-11-29,5.3200

2017-11-28,3.7750

2017-11-27,3.8096

2017-11-24,3.4469

2017-11-22,3.7537

2017-11-21,3.7016

2017-11-20,3.6720

2017-11-17,3.5675

2017-11-16,3.8441

2017-11-15,3.1226

2017-11-14,3.3499

2017-11-13,3.5623

2017-11-10,3.8920

2017-11-09,3.7718

2017-11-08,3.7522

2017-11-07,4.3215

2017-11-06,4.8594

2017-11-03,5.5517

2017-11-02,6.0934

2017-11-01,6.1678

2017-10-31,6.3347

2017-10-30,4.2059

2017-10-27,4.1890

