time,RSI
2019-11-29,70.8506
2019-11-27,76.7822
2019-11-26,74.4009
2019-11-25,73.1018
2019-11-22,67.9800
2019-11-21,66.2726
2019-11-20,68.7389
2019-11-19,74.7301
2019-11-18,75.2023
2019-11-15,74.8248
2019-11-14,70.8056
2019-11-13,69.9094
2019-11-12,69.7176
2019-11-11,68.5059
2019-11-08,70.8970
2019-11-07,69.6290
2019-11-06,67.7765
2019-11-05,67.6578
2019-11-04,68.8011
2019-11-01,66.9234
2019-10-31,62.0824
2019-10-30,64.6136
2019-10-29,63.0055
2019-10-28,63.2639
2019-10-25,60.4170
2019-10-24,58.2429
2019-10-23,57.3769
2019-10-22,55.8679
2019-10-21,58.0163
2019-10-18,54.6807
2019-10-17,57.4283
2019-10-16,56.0508
2019-10-15,56.9847
2019-10-14,52.4985
2019-10-11,53.0775
2019-10-10,48.1903
2019-10-09,44.7260
2019-10-08,39.5016
2019-10-07,46.2410
2019-10-04,48.3804
2019-10-03,40.4657
2019-10-02,34.8999
2019-10-01,43.1153
2019-09-30,50.6618
2019-09-27,47.3401
2019-09-26,51.0687
2019-09-25,52.5582
2019-09-24,48.6313
2019-09-23,54.2018
2019-09-20,54.3748
2019-09-19,61.6885
2019-09-18,61.7436
2019-09-17,61.4559
2019-09-16,60.2853
2019-09-13,62.4402
2019-09-12,62.8891
2019-09-11,61.5545
2019-09-10,58.7463
2019-09-09,58.8781
2019-09-06,58.6936
2019-09-05,58.3466
2019-09-04,53.8057
2019-09-03,49.4464
2019-08-30,51.8489
2019-08-29,52.0244
2019-08-28,47.2157
2019-08-27,44.3820
2019-08-26,45.6552
2019-08-23,41.2961
2019-08-22,50.2126
2019-08-21,50.3335
2019-08-20,47.2393
2019-08-19,49.9838
2019-08-16,45.4084
2019-08-15,39.1724
2019-08-14,37.9980
2019-08-13,47.9028
2019-08-12,40.4358
2019-08-09,45.2030
2019-08-08,48.1742
2019-08-07,37.3765
2019-08-06,37.0098
2019-08-05,27.8225
2019-08-02,39.7154
2019-08-01,44.1348
2019-07-31,50.1845
2019-07-30,59.8634
2019-07-29,62.3760
2019-07-26,64.2368
2019-07-25,60.2086
2019-07-24,65.0855
2019-07-23,62.3097
2019-07-22,57.5788
2019-07-19,55.8138
2019-07-18,61.1897
2019-07-17,58.7682
2019-07-16,65.6415
2019-07-15,69.6337
2019-07-12,69.4679
2019-07-11,67.2425
2019-07-10,66.0418
2019-07-09,63.5234
2019-07-08,62.8569
2019-07-05,67.9683
2019-07-03,69.0492
2019-07-02,65.4976
2019-07-01,64.2604
2019-06-28,59.6149
2019-06-27,56.6654
2019-06-26,54.5489
2019-06-25,55.2544
2019-06-24,62.7377
2019-06-21,63.7396
2019-06-20,69.0288
2019-06-19,64.9649
2019-06-18,63.9290
2019-06-17,58.7263
2019-06-14,58.5246
2019-06-13,59.3074
2019-06-12,57.3370
2019-06-11,58.4636
2019-06-10,58.6104
2019-06-07,56.7072
2019-06-06,52.3110
2019-06-05,49.2196
2019-06-04,44.8343
2019-06-03,31.3277
2019-05-31,32.1872
2019-05-30,37.2898
2019-05-29,35.3667
2019-05-28,38.0467
2019-05-24,42.2009
2019-05-23,40.7388
2019-05-22,46.7237
2019-05-21,48.3881
2019-05-20,42.8929
2019-05-17,46.2702
2019-05-16,49.8577
2019-05-15,44.1507
2019-05-14,40.1750
2019-05-13,33.4434
2019-05-10,47.6282
2019-05-09,43.1770
2019-05-08,45.3388
2019-05-07,46.3292
2019-05-06,61.6042
2019-05-03,66.6537
2019-05-02,59.3699
2019-05-01,62.1567
2019-04-30,73.3759
2019-04-29,73.0695
2019-04-26,72.1572
2019-04-25,69.3022
2019-04-24,70.1867
2019-04-23,73.3248
2019-04-22,67.9882
2019-04-18,67.4083
2019-04-17,66.1084
2019-04-16,69.3056
2019-04-15,68.9322
2019-04-12,69.7197
2019-04-11,66.0202
2019-04-10,66.3289
2019-04-09,64.4374
2019-04-08,69.9478
2019-04-05,69.5889
2019-04-04,67.2971
2019-04-03,65.9960
2019-04-02,65.2356
2019-04-01,65.0096
2019-03-29,59.1006
2019-03-28,55.4058
2019-03-27,53.0471
2019-03-26,56.9244
2019-03-25,52.3482
2019-03-22,52.8748
2019-03-21,69.9183
2019-03-20,63.5952
2019-03-19,67.0957
2019-03-18,66.9566
2019-03-15,64.9521
2019-03-14,64.6593
2019-03-13,65.2668
2019-03-12,61.8457
2019-03-11,59.7567
2019-03-08,50.1499
2019-03-07,51.7347
2019-03-06,59.0427
2019-03-05,65.2802
2019-03-04,66.7526
2019-03-01,70.7288
2019-02-28,67.6791
2019-02-27,69.6941
2019-02-26,70.1416
2019-02-25,70.8456
2019-02-22,70.3201
2019-02-21,67.8869
2019-02-20,70.9977
2019-02-19,70.2824
2019-02-15,69.6874
2019-02-14,65.7171
2019-02-13,67.3892
2019-02-12,66.2249
2019-02-11,61.1944
2019-02-08,60.9617
2019-02-07,60.4775
2019-02-06,66.5129
2019-02-05,67.3774
2019-02-04,66.0811
2019-02-01,63.8584
2019-01-31,63.7073
2019-01-30,60.9682
2019-01-29,55.4249
2019-01-28,56.0453
2019-01-25,59.6215
2019-01-24,56.7954
2019-01-23,56.6184
2019-01-22,55.9602
2019-01-18,61.6448
2019-01-17,57.7722
2019-01-16,55.4071
2019-01-15,54.6568
2019-01-14,51.0775
2019-01-11,53.1647
2019-01-10,53.0519
2019-01-09,52.0771
2019-01-08,50.8269
2019-01-07,48.3341
2019-01-04,46.2264
2019-01-03,36.3093
2019-01-02,41.4956
2018-12-31,41.1557
2018-12-28,38.3812
2018-12-27,38.6306
2018-12-26,36.3627
2018-12-24,18.9359
2018-12-21,21.9316
2018-12-20,25.7849
2018-12-19,28.7500
2018-12-18,31.9349
2018-12-17,32.1775
2018-12-14,36.9324
2018-12-13,42.5281
2018-12-12,42.6383
2018-12-11,40.5238
2018-12-10,40.4319
2018-12-07,39.7103
2018-12-06,46.2307
2018-12-04,46.6963
2018-12-03,58.8418
2018-11-30,54.4000
2018-11-29,52.2087
2018-11-28,53.0593
2018-11-27,44.3945
2018-11-26,42.9709
2018-11-23,35.7592
2018-11-21,37.5979
2018-11-20,36.0453
2018-11-19,41.3288
2018-11-16,47.3165
2018-11-15,46.2067
2018-11-14,41.6756
2018-11-13,43.9425
2018-11-12,44.5597
2018-11-09,51.3780
2018-11-08,55.5446
2018-11-07,56.3342
2018-11-06,48.4800
2018-11-05,45.8221
2018-11-02,43.4743
2018-11-01,45.4495
2018-10-31,41.0265
2018-10-30,36.2608
2018-10-29,28.9746
2018-10-26,30.1790
2018-10-25,34.4792
2018-10-24,24.4638
2018-10-23,32.4971
2018-10-22,34.2614
2018-10-19,35.8627
2018-10-18,36.0520
2018-10-17,41.5497
2018-10-16,41.4473
2018-10-15,27.2513
2018-10-12,28.9341
2018-10-11,17.3812
2018-10-10,23.0154
2018-10-09,41.6069
2018-10-08,43.0990
2018-10-05,43.0990
2018-10-04,48.9353
2018-10-03,59.4577
2018-10-02,58.8815
2018-10-01,59.7188
2018-09-28,56.2898
2018-09-27,56.1869
2018-09-26,53.4397
2018-09-25,57.0046
2018-09-24,58.1220
2018-09-21,62.1884
2018-09-20,69.6002
2018-09-19,63.6251
2018-09-18,62.7316
2018-09-17,57.8644
2018-09-14,65.6768
2018-09-13,65.5366
2018-09-12,60.3962
2018-09-11,60.1704
2018-09-10,57.0869
2018-09-07,55.3994
2018-09-06,57.7616
2018-09-05,61.5477
2018-09-04,65.1000
2018-08-31,67.4161
2018-08-30,67.3945
2018-08-29,72.6582
2018-08-28,69.7587
2018-08-27,69.4891
2018-08-24,64.7582
2018-08-23,60.4427
2018-08-22,62.0003
2018-08-21,62.6711
2018-08-20,61.1320
2018-08-17,59.7282
2018-08-16,57.3852
2018-08-15,51.3990
2018-08-14,58.4934
2018-08-13,53.4251
2018-08-10,57.2476
2018-08-09,65.0332
2018-08-08,66.7545
2018-08-07,67.2632
2018-08-06,65.3423
2018-08-03,63.1189
2018-08-02,60.3725
2018-08-01,56.5757
2018-07-31,58.1654
2018-07-30,54.6946
2018-07-27,59.5842
2018-07-26,66.8303
2018-07-25,69.5718
2018-07-24,64.7638
2018-07-23,61.4400
2018-07-20,60.1527
2018-07-19,61.3225
2018-07-18,65.2239
2018-07-17,64.0415
2018-07-16,61.7272
2018-07-13,62.5543
2018-07-12,62.1398
2018-07-11,57.1097
2018-07-10,63.4742
2018-07-09,61.5223
2018-07-06,56.1229
2018-07-05,50.0618
2018-07-03,43.0762
2018-07-02,45.6521
