time,ADX

2019-11-04,51.6602

2019-11-01,52.4646

2019-10-31,55.7538

2019-10-30,56.7099

2019-10-29,57.9625

2019-10-28,55.9130

2019-10-25,47.4037

2019-10-24,37.2391

2019-10-23,26.1236

2019-10-22,30.8114

2019-10-21,36.6711

2019-10-18,43.9957

2019-10-17,49.0642

2019-10-16,43.5653

2019-10-15,38.0882

2019-10-14,32.4302

2019-10-11,26.1659

2019-10-10,23.7913

2019-10-09,22.5893

2019-10-08,22.9966

2019-10-07,26.8633

2019-10-04,29.0301

2019-10-03,26.2614

2019-10-02,22.3833

2019-10-01,24.9246

2019-09-30,28.1013

2019-09-27,33.9072

2019-09-26,38.6040

2019-09-25,47.9622

2019-09-24,42.2672

2019-09-23,36.5745

2019-09-20,43.1054

2019-09-19,51.2690

2019-09-18,51.6579

2019-09-17,52.1441

2019-09-16,55.2437

2019-09-13,57.3042

2019-09-12,51.1399

2019-09-11,43.4346

2019-09-10,35.0694

2019-09-09,31.1883

2019-09-06,28.1558

2019-09-05,29.6773

2019-09-04,31.5792

2019-09-03,35.6054

2019-08-30,33.4396

2019-08-29,28.7125

2019-08-28,30.2834

2019-08-27,33.3949

2019-08-26,37.2843

2019-08-23,34.5872

2019-08-22,31.2158

2019-08-21,32.9343

2019-08-20,31.2252

2019-08-19,36.0457

2019-08-16,40.0582

2019-08-15,34.7887

2019-08-14,26.8115

2019-08-13,20.8237

2019-08-12,21.0673

2019-08-09,22.9977

2019-08-08,23.9179

2019-08-07,25.0680

2019-08-06,27.6402

2019-08-05,29.0887

2019-08-02,29.2261

2019-08-01,32.1661

2019-07-31,37.9132

2019-07-30,45.5413

2019-07-29,56.2233

2019-07-26,63.2611

2019-07-25,66.3880

2019-07-24,71.4010

2019-07-23,68.1341

2019-07-22,66.0002

2019-07-19,63.3328

2019-07-18,60.8363

2019-07-17,59.6126

2019-07-16,54.5330

2019-07-15,49.6349

2019-07-12,43.5122

2019-07-11,39.3435

2019-07-10,36.4041

2019-07-09,34.3827

2019-07-08,38.9345

2019-07-05,42.4102

2019-07-03,43.4825

2019-07-02,38.9632

2019-07-01,41.3201

2019-06-28,35.2457

2019-06-27,34.2988

2019-06-26,36.3874

2019-06-25,37.1039

2019-06-24,40.2935

2019-06-21,41.2290

2019-06-20,46.0920

2019-06-19,50.8019

2019-06-18,48.7699

2019-06-17,43.5394

2019-06-14,39.9412

2019-06-13,42.9060

2019-06-12,48.5211

2019-06-11,53.1925

2019-06-10,51.4990

2019-06-07,51.3367

2019-06-06,54.9217

2019-06-05,59.4030

2019-06-04,72.5257

2019-06-03,83.0286

2019-05-31,80.6800

2019-05-30,78.8544

2019-05-29,77.2890

2019-05-28,75.3322

2019-05-24,73.5271

2019-05-23,71.4720

2019-05-22,67.9222

2019-05-21,64.3061

2019-05-20,60.5055

2019-05-17,53.7325

2019-05-16,46.9416

2019-05-15,44.4313

2019-05-14,41.2933

2019-05-13,38.9116

2019-05-10,32.4274

2019-05-09,30.6813

2019-05-08,29.2354

2019-05-07,34.4296

2019-05-06,41.9691

2019-05-03,49.6910

2019-05-02,60.9056

2019-05-01,66.8340

2019-04-30,61.8455

2019-04-29,56.5592

2019-04-26,49.5072

2019-04-25,40.6923

2019-04-24,32.2505

2019-04-23,26.5601

2019-04-22,19.4471

2019-04-18,14.8200

2019-04-17,16.5947

2019-04-16,18.7407

2019-04-15,21.4232

2019-04-12,17.5726

2019-04-11,19.0839

2019-04-10,19.2986

2019-04-09,22.1665

2019-04-08,26.5779

2019-04-05,32.7374

2019-04-04,36.5672

2019-04-03,37.4413

2019-04-02,32.1047

2019-04-01,29.4004

2019-03-29,26.1685

2019-03-28,29.3921

2019-03-27,32.6446

2019-03-26,40.2672

2019-03-25,44.0865

2019-03-22,38.5629

2019-03-21,36.3143

2019-03-20,36.8946

2019-03-19,35.1444

2019-03-18,30.3850

2019-03-15,26.1701

2019-03-14,24.7074

2019-03-13,24.8925

2019-03-12,28.7790

2019-03-11,33.4240

2019-03-08,39.2302

2019-03-07,39.6183

2019-03-06,38.9909

2019-03-05,34.5798

2019-03-04,29.0658

2019-03-01,25.9797

2019-02-28,25.8304

2019-02-27,25.6428

2019-02-26,27.7578

2019-02-25,25.4846

2019-02-22,29.4321

2019-02-21,24.3418

2019-02-20,17.9790

2019-02-19,15.6783

2019-02-15,19.5141

2019-02-14,19.5317

2019-02-13,17.8125

2019-02-12,19.5210

2019-02-11,23.2599

2019-02-08,27.1110

2019-02-07,25.1373

2019-02-06,25.5401

2019-02-05,25.2504

2019-02-04,26.3724

2019-02-01,31.3048

2019-01-31,39.0337

2019-01-30,44.2728

2019-01-29,54.1488

2019-01-28,55.1467

2019-01-25,54.9757

2019-01-24,55.3326

2019-01-23,50.9285

2019-01-22,45.7814

2019-01-18,41.6333

2019-01-17,37.2512

2019-01-16,35.4584

2019-01-15,33.2174

2019-01-14,32.2562

2019-01-11,35.2014

2019-01-10,33.1617

2019-01-09,32.1194

2019-01-08,31.6976

2019-01-07,31.1704

2019-01-04,33.1737

2019-01-03,37.7183

2019-01-02,36.9907

2018-12-31,36.5314

2018-12-28,42.7443

2018-12-27,52.2786

2018-12-26,56.1109

2018-12-24,60.9013

2018-12-21,55.6504

2018-12-20,51.6667

2018-12-19,46.6870

2018-12-18,44.7835

2018-12-17,43.7811

2018-12-14,46.7668

2018-12-13,47.0805

2018-12-12,43.0519

2018-12-11,40.6154

2018-12-10,37.5697

2018-12-07,36.7560

2018-12-06,29.5974

2018-12-04,25.7979

2018-12-03,19.1935

2018-11-30,12.0994

2018-11-29,12.6409

2018-11-28,13.8832

2018-11-27,16.6658

2018-11-26,20.3796

2018-11-23,24.4746

2018-11-21,22.9847

2018-11-20,27.7871

2018-11-19,31.3751

2018-11-16,25.8352

2018-11-15,25.2702

2018-11-14,31.5433

2018-11-13,37.6452

2018-11-12,42.5882

2018-11-09,48.7669

2018-11-08,51.9485

2018-11-07,51.5834

2018-11-06,54.1025

2018-11-05,58.4552

2018-11-02,66.3465

2018-11-01,64.1583

2018-10-31,61.6732

2018-10-30,59.5942

2018-10-29,57.7308

2018-10-26,51.7170

2018-10-25,44.8285

2018-10-24,38.2939

2018-10-23,32.9652

2018-10-22,27.7212

2018-10-19,29.1770

2018-10-18,31.6676

2018-10-17,36.2598

2018-10-16,39.0597

2018-10-15,46.1112

2018-10-12,45.4049

2018-10-11,42.5992

2018-10-10,39.0921

2018-10-09,34.7081

2018-10-08,30.6144

2018-10-05,25.4972

2018-10-04,21.4777

2018-10-03,21.3168

2018-10-02,26.2768

2018-10-01,29.9943

2018-09-28,36.4248

2018-09-27,30.7142

2018-09-26,24.8074

2018-09-25,18.0438

2018-09-24,16.8768

2018-09-21,17.2023

2018-09-20,20.1996

2018-09-19,23.9461

2018-09-18,25.4662

2018-09-17,27.3662

2018-09-14,28.6009

2018-09-13,32.5444

2018-09-12,38.9881

2018-09-11,48.5241

2018-09-10,54.1358

2018-09-07,61.1504

2018-09-06,56.8822

2018-09-05,56.9539

2018-09-04,51.1417

2018-08-31,45.9699

2018-08-30,42.9978

2018-08-29,38.2084

2018-08-28,34.3497

2018-08-27,32.9113

2018-08-24,31.1132
