time,MFI
2019-11-15,50.8997
2019-11-14,50.8136
2019-11-13,40.5507
2019-11-12,39.5084
2019-11-11,57.4438
2019-11-08,27.8462
2019-11-07,34.3135
2019-11-06,22.5728
2019-11-05,31.2265
2019-11-04,32.7475
2019-11-01,45.3841
2019-10-31,41.9377
2019-10-30,85.1626
2019-10-29,57.0300
2019-10-28,47.2640
2019-10-25,33.6969
2019-10-24,17.3422
2019-10-23,-0.0000
2019-10-22,-0.0000
2019-10-21,13.7062
2019-10-18,26.6689
2019-10-17,54.6287
2019-10-16,70.6453
2019-10-15,100.0000
2019-10-14,78.1497
2019-10-11,78.4641
2019-10-10,76.3201
2019-10-09,81.5461
2019-10-08,65.3173
2019-10-07,82.9494
2019-10-04,85.2908
2019-10-03,66.7568
2019-10-02,62.0977
2019-10-01,58.1781
2019-09-30,38.1142
2019-09-27,17.1109
2019-09-26,15.2825
2019-09-25,26.1886
2019-09-24,41.9749
2019-09-23,61.1960
2019-09-20,58.6093
2019-09-19,64.0711
2019-09-18,65.1002
2019-09-17,70.9342
2019-09-16,47.8376
2019-09-13,36.3186
2019-09-12,35.9887
2019-09-11,20.0074
2019-09-10,7.0272
2019-09-09,8.4555
2019-09-06,13.4021
2019-09-05,33.1839
2019-09-04,40.5735
2019-09-03,44.5890
2019-08-30,44.7844
2019-08-29,41.7483
2019-08-28,22.4385
2019-08-27,43.9593
2019-08-26,40.1424
2019-08-23,60.1021
2019-08-22,82.0951
2019-08-21,76.0667
2019-08-20,47.5111
2019-08-19,53.6251
2019-08-16,35.4384
2019-08-15,41.8234
2019-08-14,61.6536
2019-08-13,64.3594
2019-08-12,66.6285
2019-08-09,53.4728
2019-08-08,36.0136
2019-08-07,16.2627
2019-08-06,14.8703
2019-08-05,-0.0000
2019-08-02,-0.0000
2019-08-01,12.1540
2019-07-31,26.4852
2019-07-30,45.3027
2019-07-29,49.5913
2019-07-26,80.2977
2019-07-25,79.6748
2019-07-24,81.8083
2019-07-23,81.8632
2019-07-22,80.6931
2019-07-19,79.4814
2019-07-18,60.5524
2019-07-17,36.9329
2019-07-16,41.2570
2019-07-15,62.2135
2019-07-12,64.4143
2019-07-11,62.6641
2019-07-10,78.8886
2019-07-09,77.7170
2019-07-08,77.4053
2019-07-05,51.5435
2019-07-03,73.3794
2019-07-02,54.6271
2019-07-01,36.6680
2019-06-28,18.5569
2019-06-27,18.4177
2019-06-26,19.6594
2019-06-25,36.0727
2019-06-24,55.7436
2019-06-21,76.0477
2019-06-20,85.4216
2019-06-19,67.9635
2019-06-18,68.3167
2019-06-17,42.7311
2019-06-14,46.1588
2019-06-13,66.5282
2019-06-12,81.5616
2019-06-11,83.0445
2019-06-10,79.8778
2019-06-07,58.5228
2019-06-06,64.7463
2019-06-05,49.6227
2019-06-04,35.0492
2019-06-03,33.4554
2019-05-31,49.0191
2019-05-30,16.4110
2019-05-29,17.7737
2019-05-28,35.3416
2019-05-24,40.6604
2019-05-23,18.2090
2019-05-22,48.7665
2019-05-21,63.8361
2019-05-20,66.5979
2019-05-17,60.0761
2019-05-16,77.3620
2019-05-15,73.7664
2019-05-14,71.4791
2019-05-13,50.6808
2019-05-10,58.0759
2019-05-09,35.9661
2019-05-08,13.9803
2019-05-07,0.0000
2019-05-06,0.0000
2019-05-03,11.4052
2019-05-02,20.6607
2019-05-01,32.7421
2019-04-30,68.4911
2019-04-29,100.0000
2019-04-26,100.0000
2019-04-25,73.1405
2019-04-24,54.3395
2019-04-23,56.1690
2019-04-22,54.1599
2019-04-18,53.2725
2019-04-17,78.0510
2019-04-16,100.0000
2019-04-15,100.0000
2019-04-12,78.0193
2019-04-11,49.1230
2019-04-10,25.8722
2019-04-09,24.7994
2019-04-08,23.3825
2019-04-05,21.7750
2019-04-04,40.9356
2019-04-03,50.4499
2019-04-02,33.2197
2019-04-01,34.3965
2019-03-29,33.4038
2019-03-28,14.2239
2019-03-27,34.4841
2019-03-26,52.2097
2019-03-25,53.7453
2019-03-22,76.4688
2019-03-21,79.4064
2019-03-20,79.2286
2019-03-19,80.6357
2019-03-18,81.4057
2019-03-15,81.3438
2019-03-14,86.1196
2019-03-13,86.0216
2019-03-12,85.0279
2019-03-11,60.6251
2019-03-08,34.0731
2019-03-07,48.1528
2019-03-06,48.7902
2019-03-05,49.1431
2019-03-04,54.4034
2019-03-01,86.1359
2019-02-28,86.1017
2019-02-27,60.9073
2019-02-26,69.1887
2019-02-25,83.5096
2019-02-22,66.5689
2019-02-21,46.1152
2019-02-20,32.8118
2019-02-19,15.9311
2019-02-15,13.9632
2019-02-14,21.6435
2019-02-13,24.8851
2019-02-12,42.7302
2019-02-11,69.9560
2019-02-08,63.4899
2019-02-07,66.1140
2019-02-06,87.6474
2019-02-05,100.0000
2019-02-04,89.1858
2019-02-01,76.9895
2019-01-31,74.1149
2019-01-30,62.2298
2019-01-29,63.2643
2019-01-28,55.9722
2019-01-25,75.6271
2019-01-24,78.3079
2019-01-23,80.8109
2019-01-22,81.2545
2019-01-18,82.7863
2019-01-17,84.3383
2019-01-16,71.7751
2019-01-15,54.5496
2019-01-14,58.8430
2019-01-11,81.2789
2019-01-10,78.5875
2019-01-09,72.4211
2019-01-08,69.8181
2019-01-07,67.7285
2019-01-04,59.1838
2019-01-03,59.7797
2019-01-02,82.1532
2018-12-31,92.0811
2018-12-28,68.2771
2018-12-27,41.6491
2018-12-26,42.0581
2018-12-24,18.2929
2018-12-21,16.0852
2018-12-20,15.6227
2018-12-19,17.2293
2018-12-18,30.1703
2018-12-17,45.9468
2018-12-14,46.9675
2018-12-13,48.4178
2018-12-12,68.2149
2018-12-11,40.6343
2018-12-10,46.8281
2018-12-07,62.0192
2018-12-06,78.7174
2018-12-04,78.9367
2018-12-03,82.6160
2018-11-30,83.0990
2018-11-29,81.8023
2018-11-28,80.9665
2018-11-27,56.7170
2018-11-26,48.2908
2018-11-23,41.4764
2018-11-21,51.9251
2018-11-20,38.5252
2018-11-19,39.3467
2018-11-16,38.0284
2018-11-15,21.3753
2018-11-14,27.8236
2018-11-13,61.7081
2018-11-12,61.6011
2018-11-09,69.3646
2018-11-08,79.3812
2018-11-07,75.1898
2018-11-06,41.4787
2018-11-05,66.4627
2018-11-02,85.3243
2018-11-01,85.3026
2018-10-31,85.3093
2018-10-30,64.4739
2018-10-29,62.3226
2018-10-26,40.5832
2018-10-25,35.5448
2018-10-24,15.7585
2018-10-23,42.0274
2018-10-22,14.7200
2018-10-19,22.8618
2018-10-18,33.0543
2018-10-17,32.5122
2018-10-16,18.3306
2018-10-15,52.5247
2018-10-12,35.9466
2018-10-11,17.0347
2018-10-10,19.1305
2018-10-09,38.7359
2018-10-08,16.3913
2018-10-05,17.0243
2018-10-04,34.8634
2018-10-03,38.5386
2018-10-02,19.2217
2018-10-01,46.8747
2018-09-28,48.7932
2018-09-27,46.3667
