time,SlowD,SlowK
2019-11-18,80.8251,87.9150
2019-11-15,75.4165,84.5839
2019-11-14,67.5502,69.9763
2019-11-13,60.5807,71.6893
2019-11-12,46.4330,60.9850
2019-11-11,31.2286,49.0678
2019-11-08,18.6918,29.2460
2019-11-07,12.7850,15.3720
2019-11-06,13.0836,11.4575
2019-11-05,22.6070,11.5255
2019-11-04,36.5861,16.2678
2019-11-01,55.5371,40.0278
2019-10-31,68.2845,53.4626
2019-10-30,75.4934,73.1209
2019-10-29,67.9891,78.2700
2019-10-28,49.3990,75.0894
2019-10-25,27.0178,50.6078
2019-10-24,13.9221,22.4998
2019-10-23,11.9802,7.9460
2019-10-22,14.6532,11.3205
2019-10-21,21.8965,16.6742
2019-10-18,35.6038,15.9650
2019-10-17,57.8714,33.0503
2019-10-16,70.8424,57.7960
2019-10-15,72.9542,82.7679
2019-10-14,62.2157,71.9634
2019-10-11,61.1176,64.1312
2019-10-10,64.8555,50.5524
2019-10-09,77.9739,68.6691
2019-10-08,78.2587,75.3449
2019-10-07,73.7448,89.9078
2019-10-04,61.5280,69.5235
2019-10-03,54.7899,61.8031
2019-10-02,48.3542,53.2575
2019-10-01,42.7372,49.3090
2019-09-30,38.9021,42.4961
2019-09-27,36.4402,36.4065
2019-09-26,38.7563,37.8036
2019-09-25,47.0325,35.1105
2019-09-24,59.0001,43.3547
2019-09-23,67.4604,62.6323
2019-09-20,65.1468,71.0132
2019-09-19,54.5038,68.7356
2019-09-18,40.5239,55.6915
2019-09-17,27.4982,39.0843
2019-09-16,19.5887,26.7961
2019-09-13,14.4510,16.6143
2019-09-12,11.9529,15.3557
2019-09-11,12.5198,11.3829
2019-09-10,21.1338,9.1201
2019-09-09,33.2808,17.0565
2019-09-06,44.4057,37.2247
2019-09-05,48.3065,45.5612
2019-09-04,52.3905,50.4312
2019-09-03,56.2248,48.9272
2019-08-30,59.4508,57.8132
2019-08-29,57.7423,61.9340
2019-08-28,56.7012,58.6053
2019-08-27,59.7342,52.6876
2019-08-26,67.7007,58.8107
2019-08-23,67.9679,67.7044
2019-08-22,58.2500,76.5871
2019-08-21,39.4633,59.6121
2019-08-20,24.3416,38.5509
2019-08-19,22.2547,20.2269
2019-08-16,33.2952,14.2470
2019-08-15,55.0892,32.2902
2019-08-14,69.6411,53.3484
2019-08-13,70.0769,79.6289
2019-08-12,53.4794,75.9460
2019-08-09,32.0557,54.6559
2019-08-08,17.7580,29.8362
2019-08-07,11.6827,11.6750
2019-08-06,12.7710,11.7627
2019-08-05,13.3429,11.6104
2019-08-02,13.7888,14.9400
2019-08-01,21.1525,13.4784
2019-07-31,35.5654,12.9481
2019-07-30,55.4088,37.0310
2019-07-29,61.3587,56.7171
2019-07-26,61.0945,72.4783
2019-07-25,56.5379,54.8808
2019-07-24,62.1835,55.9243
2019-07-23,68.7528,58.8087
2019-07-22,68.9064,71.8176
2019-07-19,61.5364,75.6320
2019-07-18,48.0501,59.2695
2019-07-17,44.6660,49.7077
2019-07-16,46.6241,35.1732
2019-07-15,59.2816,49.1171
2019-07-12,70.5912,55.5820
