time,TRIX
2019-11-15,0.3954
2019-11-14,0.4893
2019-11-13,0.6597
2019-11-12,0.4834
2019-11-11,0.4193
2019-11-08,0.4920
2019-11-07,0.5413
2019-11-06,0.6135
2019-11-05,0.6216
2019-11-04,0.5357
2019-11-01,0.3647
2019-10-31,0.2490
2019-10-30,0.2136
2019-10-29,0.0454
2019-10-28,-0.1422
2019-10-25,-0.3840
2019-10-24,-0.5223
2019-10-23,-0.5691
2019-10-22,-0.4144
2019-10-21,-0.1292
2019-10-18,0.0731
2019-10-17,0.3226
2019-10-16,0.4340
2019-10-15,0.5598
2019-10-14,0.6009
2019-10-11,0.5725
2019-10-10,0.4918
2019-10-09,0.4024
2019-10-08,0.3101
2019-10-07,0.1425
2019-10-04,-0.1790
2019-10-03,-0.5520
2019-10-02,-0.8059
2019-10-01,-0.8436
2019-09-30,-0.8769
2019-09-27,-0.9525
2019-09-26,-0.9533
2019-09-25,-0.9802
2019-09-24,-0.9554
2019-09-23,-0.8430
2019-09-20,-0.8717
2019-09-19,-0.9176
2019-09-18,-1.0071
2019-09-17,-1.1048
2019-09-16,-1.1775
2019-09-13,-1.1290
2019-09-12,-1.0124
2019-09-11,-0.9067
2019-09-10,-0.8071
2019-09-09,-0.7208
2019-09-06,-0.7269
2019-09-05,-0.6967
2019-09-04,-0.6480
2019-09-03,-0.5629
2019-08-30,-0.4349
2019-08-29,-0.3222
2019-08-28,-0.1255
2019-08-27,0.0990
2019-08-26,0.1530
2019-08-23,0.1574
2019-08-22,0.0948
2019-08-21,-0.0552
2019-08-20,-0.1456
2019-08-19,-0.1988
2019-08-16,-0.2059
2019-08-15,-0.1323
2019-08-14,0.0055
2019-08-13,0.0877
2019-08-12,-0.0062
2019-08-09,-0.0311
2019-08-08,-0.1322
2019-08-07,-0.1977
2019-08-06,-0.1310
2019-08-05,0.0387
2019-08-02,0.2393
2019-08-01,0.2682
2019-07-31,0.2804
2019-07-30,0.3079
2019-07-29,0.3439
2019-07-26,0.3722
2019-07-25,0.3415
2019-07-24,0.3351
2019-07-23,0.1408
2019-07-22,0.0537
2019-07-19,-0.0488
2019-07-18,-0.1569
2019-07-17,-0.1681
2019-07-16,-0.1016
2019-07-15,0.0451
2019-07-12,0.1101
2019-07-11,0.1547
2019-07-10,0.1461
2019-07-09,0.0956
2019-07-08,0.0395
2019-07-05,-0.0017
2019-07-03,-0.0514
2019-07-02,-0.1230
2019-07-01,-0.2275
2019-06-28,-0.2732
2019-06-27,-0.2488
2019-06-26,-0.1235
2019-06-25,0.1034
2019-06-24,0.3443
2019-06-21,0.4465
2019-06-20,0.4080
2019-06-19,0.3338
2019-06-18,0.3391
2019-06-17,0.3708
2019-06-14,0.4002
2019-06-13,0.4952
2019-06-12,0.5771
2019-06-11,0.6294
2019-06-10,0.6432
2019-06-07,0.4869
2019-06-06,0.3042
2019-06-05,0.1474
2019-06-04,-0.0010
2019-06-03,-0.0648
2019-05-31,-0.0407
2019-05-30,-0.1574
2019-05-29,-0.3206
2019-05-28,-0.3203
2019-05-24,-0.3187
2019-05-23,-0.2792
2019-05-22,-0.1824
2019-05-21,-0.1356
2019-05-20,-0.0417
2019-05-17,0.0519
2019-05-16,0.1285
2019-05-15,0.3259
2019-05-14,0.3773
2019-05-13,0.5869
2019-05-10,0.7772
2019-05-09,0.7975
2019-05-08,0.8683
2019-05-07,0.9482
2019-05-06,1.0577
2019-05-03,0.9575
2019-05-02,0.8371
2019-05-01,0.8291
2019-04-30,0.8757
2019-04-29,0.8428
2019-04-26,0.7563
2019-04-25,0.6192
2019-04-24,0.5311
2019-04-23,0.4089
2019-04-22,0.3140
2019-04-18,0.3133
2019-04-17,0.4101
2019-04-16,0.4896
2019-04-15,0.4658
2019-04-12,0.3795
2019-04-11,0.2714
2019-04-10,0.2398
2019-04-09,0.1729
2019-04-08,0.1853
2019-04-05,0.2336
2019-04-04,0.2810
2019-04-03,0.3925
2019-04-02,0.5031
2019-04-01,0.6275
2019-03-29,0.7558
2019-03-28,0.8461
2019-03-27,1.0081
2019-03-26,1.1596
2019-03-25,1.1035
2019-03-22,1.0364
2019-03-21,0.8170
2019-03-20,0.3098
2019-03-19,-0.0607
2019-03-18,-0.1217
2019-03-15,-0.1579
2019-03-14,-0.2012
2019-03-13,-0.3318
2019-03-12,-0.4361
2019-03-11,-0.5651
2019-03-08,-0.6623
2019-03-07,-0.6643
2019-03-06,-0.6687
2019-03-05,-0.6124
2019-03-04,-0.5255
2019-03-01,-0.4449
2019-02-28,-0.3174
2019-02-27,-0.1869
2019-02-26,-0.1801
2019-02-25,-0.1384
2019-02-22,0.0082
2019-02-21,0.3748
2019-02-20,0.9297
2019-02-19,1.3145
2019-02-15,1.1344
2019-02-14,1.0036
2019-02-13,0.8264
2019-02-12,0.5913
2019-02-11,0.4585
2019-02-08,0.4945
2019-02-07,0.5678
2019-02-06,0.7367
2019-02-05,0.8086
2019-02-04,0.7821
2019-02-01,0.7180
2019-01-31,0.6235
2019-01-30,0.5371
2019-01-29,0.5470
2019-01-28,0.6583
2019-01-25,0.6896
2019-01-24,0.6742
2019-01-23,0.7771
2019-01-22,0.9506
2019-01-18,1.1132
2019-01-17,1.1483
2019-01-16,1.1776
2019-01-15,1.2675
2019-01-14,1.3300
2019-01-11,1.3815
2019-01-10,1.2443
2019-01-09,1.0541
2019-01-08,0.8366
2019-01-07,0.6087
2019-01-04,0.3675
2019-01-03,0.3154
2019-01-02,0.4924
2018-12-31,0.3591
2018-12-28,0.1475
2018-12-27,-0.1383
2018-12-26,-0.5346
2018-12-24,-0.8557
2018-12-21,-0.8461
2018-12-20,-0.8002
2018-12-19,-0.8487
2018-12-18,-0.8726
2018-12-17,-0.8022
2018-12-14,-0.5708
2018-12-13,-0.4261
2018-12-12,-0.2168
2018-12-11,-0.0507
2018-12-10,0.0297
2018-12-07,0.2052
2018-12-06,0.4600
2018-12-04,0.5140
2018-12-03,0.4771
2018-11-30,0.2692
2018-11-29,0.0732
2018-11-28,-0.1886
2018-11-27,-0.5238
2018-11-26,-0.7171
2018-11-23,-0.9966
2018-11-21,-1.0506
2018-11-20,-0.9492
2018-11-19,-0.7374
2018-11-16,-0.5372
2018-11-15,-0.7690
2018-11-14,-0.8200
2018-11-13,-0.5291
2018-11-12,-0.1541
2018-11-09,0.3747
2018-11-08,0.5981
2018-11-07,0.5666
2018-11-06,0.4823
2018-11-05,0.4305
2018-11-02,0.2904
2018-11-01,-0.0982
2018-10-31,-0.5346
2018-10-30,-0.7536
2018-10-29,-0.7018
2018-10-26,-0.5893
2018-10-25,-0.6145
2018-10-24,-0.6613
2018-10-23,-0.5235
2018-10-22,-0.6044
2018-10-19,-0.6810
2018-10-18,-0.6826
2018-10-17,-0.8761
2018-10-16,-1.3225
2018-10-15,-1.7464
2018-10-12,-1.9204
2018-10-11,-1.9310
2018-10-10,-1.5932
2018-10-09,-1.1847
2018-10-08,-0.8164
2018-10-05,-0.4127
2018-10-04,-0.2077
2018-10-03,0.0486
2018-10-02,0.2043
2018-10-01,0.4327
2018-09-28,0.5057
2018-09-27,0.3690
2018-09-26,0.2288
2018-09-25,0.1728
2018-09-24,0.1269
2018-09-21,0.2339
2018-09-20,0.3022
2018-09-19,0.3756
2018-09-18,0.5071
2018-09-17,0.5807
2018-09-14,0.7284
2018-09-13,0.6462
2018-09-12,0.4990
2018-09-11,0.3669
2018-09-10,0.2226
2018-09-07,0.1788
2018-09-06,0.3118
2018-09-05,0.5543
2018-09-04,0.7644
2018-08-31,0.7772
2018-08-30,0.7618
2018-08-29,0.7436
2018-08-28,0.6575
2018-08-27,0.5103
2018-08-24,0.3083
2018-08-23,0.1145
2018-08-22,-0.0529
2018-08-21,-0.1594
2018-08-20,-0.1766
2018-08-17,-0.0878
2018-08-16,-0.0214
2018-08-15,0.2000
2018-08-14,0.4200
2018-08-13,0.4757
2018-08-10,0.4131
2018-08-09,0.1705
2018-08-08,-0.1443
2018-08-07,-0.4146
2018-08-06,-0.7072
2018-08-03,-0.9194
2018-08-02,-1.0523
2018-08-01,-1.0964
2018-07-31,-0.8493
2018-07-30,-0.4650
2018-07-27,-0.0790
2018-07-26,0.1582
2018-07-25,0.2039
2018-07-24,0.0977
2018-07-23,0.1857
2018-07-20,0.1996
2018-07-19,0.4121
2018-07-18,0.5957
2018-07-17,0.6026
2018-07-16,0.5693
2018-07-13,0.5382
2018-07-12,0.5022
2018-07-11,0.3869
2018-07-10,0.4114
2018-07-09,0.3914
2018-07-06,0.2787
2018-07-05,0.0889
2018-07-03,-0.0947
2018-07-02,-0.2331
2018-06-29,-0.3703
2018-06-28,-0.3901
2018-06-27,-0.2787
2018-06-26,0.0388
2018-06-25,0.4086
2018-06-22,0.9029
2018-06-21,1.2356
2018-06-20,1.3889
2018-06-19,1.4116
2018-06-18,1.4035
2018-06-15,1.3483
2018-06-14,1.3127
2018-06-13,1.2642
2018-06-12,1.2993
2018-06-11,1.2887
2018-06-08,1.2246
2018-06-07,1.1079
2018-06-06,1.0984
2018-06-05,0.8420
2018-06-04,0.5420
2018-06-01,0.2864
2018-05-31,0.0674
2018-05-30,-0.0236
2018-05-29,-0.0413
2018-05-25,-0.0563
2018-05-24,-0.0691
2018-05-23,0.0252
2018-05-22,0.2068
2018-05-21,0.3961
2018-05-18,0.4240
2018-05-17,0.2532
2018-05-16,0.0987
2018-05-15,0.0506
2018-05-14,0.1941
2018-05-11,0.2101
2018-05-10,0.1328
2018-05-09,0.2089
2018-05-08,0.2256
2018-05-07,0.0824
2018-05-04,-0.0515
2018-05-03,-0.1609
2018-05-02,-0.3236
2018-05-01,-0.4030
2018-04-30,-0.3911
2018-04-27,-0.3776
2018-04-26,-0.3067
2018-04-25,-0.2383
2018-04-24,-0.0023
2018-04-23,0.3091
2018-04-20,0.5809
2018-04-19,0.7659
2018-04-18,0.8129
2018-04-17,0.6607
2018-04-16,0.5227
2018-04-13,0.4724
2018-04-12,0.4290
2018-04-11,0.3403
2018-04-10,0.2870
2018-04-09,0.1358
2018-04-06,0.0879
2018-04-05,-0.0703
2018-04-04,-0.3415
2018-04-03,-0.6025
2018-04-02,-0.7263
2018-03-29,-0.6613
2018-03-28,-0.5768
2018-03-27,-0.2547
2018-03-26,0.0665
2018-03-23,0.2499
2018-03-22,0.6292
2018-03-21,0.7219
2018-03-20,0.6460
2018-03-19,0.5968
2018-03-16,0.6780
2018-03-15,0.7258
2018-03-14,0.8557
2018-03-13,0.9502
2018-03-12,1.0784
