time,PPO
2019-11-15,7.4521
2019-11-14,8.3644
2019-11-13,9.2357
2019-11-12,9.3383
2019-11-11,9.1744
2019-11-08,8.6972
2019-11-07,8.1382
2019-11-06,7.4838
2019-11-05,6.8718
2019-11-04,6.0378
2019-11-01,5.2366
2019-10-31,4.2215
2019-10-30,3.3586
2019-10-29,2.1921
2019-10-28,1.0517
2019-10-25,0.1044
2019-10-24,-0.8149
2019-10-23,-1.3149
2019-10-22,-1.5633
2019-10-21,-1.5044
2019-10-18,-1.6959
2019-10-17,-1.7341
2019-10-16,-1.8341
2019-10-15,-1.3950
2019-10-14,-1.2932
2019-10-11,-0.8584
2019-10-10,-0.5202
2019-10-09,-0.1642
2019-10-08,0.2625
2019-10-07,0.3602
2019-10-04,0.4648
2019-10-03,0.6890
2019-10-02,1.1486
2019-10-01,1.3039
2019-09-30,1.5547
2019-09-27,1.2197
2019-09-26,0.9552
2019-09-25,0.4437
2019-09-24,0.0385
2019-09-23,-0.0038
2019-09-20,0.1607
2019-09-19,0.1016
2019-09-18,-0.2739
2019-09-17,-0.3067
2019-09-16,-0.3079
2019-09-13,-0.4784
2019-09-12,-0.7264
2019-09-11,-0.8299
2019-09-10,-0.8282
2019-09-09,-0.4640
2019-09-06,-0.2358
2019-09-05,-0.4427
2019-09-04,-0.7022
2019-09-03,-0.3734
2019-08-30,-0.2490
2019-08-29,-0.1258
2019-08-28,0.2564
2019-08-27,0.5572
2019-08-26,1.1652
2019-08-23,2.0470
2019-08-22,2.5873
2019-08-21,2.7523
2019-08-20,2.6242
2019-08-19,2.6002
2019-08-16,2.6559
2019-08-15,3.1366
2019-08-14,3.7122
2019-08-13,3.0310
2019-08-12,2.2079
2019-08-09,1.3241
2019-08-08,0.3554
2019-08-07,-0.7590
2019-08-06,-1.7589
2019-08-05,-2.7995
2019-08-02,-3.6533
2019-08-01,-3.7802
2019-07-31,-3.8613
2019-07-30,-4.2247
2019-07-29,-4.6327
2019-07-26,-4.6143
2019-07-25,-3.8853
2019-07-24,-3.1522
2019-07-23,-2.3129
2019-07-22,-1.0957
2019-07-19,0.1407
2019-07-18,1.1366
2019-07-17,2.0384
2019-07-16,2.5823
2019-07-15,3.1392
2019-07-12,3.6968
